nuclide,z,n,A,symbol,E_keV,E_eV,unc_e_keV,jp,half_life,unit_hl,half_life_sec,idx,ENSDF_cut_off,Extraction_date,source_file,source,note,has_halflife
Bk-249,97,152,249,Bk,8.773,8773.0,0.014,3/2-,0.3,ms,0.0003,1,12-Oct-2023,2026-07-17,iaea_livechart_levels_249bk.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Bk-250,97,153,250,Bk,34.47,34470.0,,(3-),,,,1,1-Aug-2001,2026-07-17,iaea_livechart_levels_250bk.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-241,98,143,241,Cf,155.0,155000.0,,(1/2+),,,,1,30-Sep-2015,2026-07-17,iaea_livechart_levels_241cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-242,98,144,242,Cf,45.0,45000.0,,(2+),,,,2,31-Dec-2021,2026-07-17,iaea_livechart_levels_242cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-243,98,145,243,Cf,7.0,7000.0,,(3/2+),,,,1,30-Sep-2013,2026-07-17,iaea_livechart_levels_243cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-244,98,146,244,Cf,37.0,37000.0,22,2+,,,,1,31-Aug-2017,2026-07-17,iaea_livechart_levels_244cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-245,98,147,245,Cf,10.0,10000.0,,(3/2+),,,,1,14-Feb-2023,2026-07-17,iaea_livechart_levels_245cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-246,98,148,246,Cf,41.0,41000.0,15,(2+),,,,1,31-Jul-2022,2026-07-17,iaea_livechart_levels_246cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-247,98,149,247,Cf,55.0,55000.0,0.11,(9/2+),,,,1,31-Mar-2014,2026-07-17,iaea_livechart_levels_247cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-248,98,150,248,Cf,41.53,41530.0,0.06,2+,,,,1,1-Sep-2014,2026-07-17,iaea_livechart_levels_248cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-249,98,151,249,Cf,62.48,62480.0,0.05,11/2-,,,,1,12-Oct-2023,2026-07-17,iaea_livechart_levels_249cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Cf-250,98,152,250,Cf,42.721,42721.0,0.005,2+,96,ps,0.000000000096,1,1-Aug-2001,2026-07-17,iaea_livechart_levels_250cf.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
