name,value_gev,source,pdf_file
electron,0.0005109989499999999,PDG 2024 listing PDF,electron.pdf
muon,0.1056583755,PDG 2024 listing PDF,muon.pdf
tau,1.7769300000000001,PDG 2024 listing PDF,tau.pdf
W boson,80.3692,PDG 2024 listing PDF,w_boson.pdf
