species,class,order,family,mass_kg,brain_size,brain_units,source
Dendrolagus lumholtzi,Mammalia,Diprotodontia,Macropodidae,4.366,0.0271432,kg,AnimalTraits
Dendrolagus ursinus,Mammalia,Diprotodontia,Macropodidae,5.009,0.0272468,kg,AnimalTraits
Dendrolagus matschiei,Mammalia,Diprotodontia,Macropodidae,4.16,0.02849,kg,AnimalTraits
Dendrolagus goodfellowi,Mammalia,Diprotodontia,Macropodidae,5.968,0.0294224,kg,AnimalTraits
Dendrolagus spadix,Mammalia,Diprotodontia,Macropodidae,4.947,0.029526,kg,AnimalTraits
Dendrolagus scottae,Mammalia,Diprotodontia,Macropodidae,8.666,0.0302512,kg,AnimalTraits
Macropus dorsalis,Mammalia,Diprotodontia,Macropodidae,8.728,0.0302512,kg,AnimalTraits
Dendrolagus inustus,Mammalia,Diprotodontia,Macropodidae,10.119,0.0311836,kg,AnimalTraits
Dendrolagus dorianus,Mammalia,Diprotodontia,Macropodidae,7.879,0.0334628,kg,AnimalTraits
Wallabia bicolor,Mammalia,Diprotodontia,Macropodidae,8.949,0.0340844,kg,AnimalTraits
Macropus agilis,Mammalia,Diprotodontia,Macropodidae,14.066,0.0344988,kg,AnimalTraits
Macropus rufogriseus,Mammalia,Diprotodontia,Macropodidae,12.09,0.037296,kg,AnimalTraits
Macropus parryi,Mammalia,Diprotodontia,Macropodidae,15.194,0.0427868,kg,AnimalTraits
Lasiorhinus latifrons,Mammalia,Diprotodontia,Vombatidae,19.264,0.057498,kg,AnimalTraits
Macropus antilopinus,Mammalia,Diprotodontia,Macropodidae,31.286,0.0588448,kg,AnimalTraits
Macropus fuliginosus,Mammalia,Diprotodontia,Macropodidae,31.04,0.060088,kg,AnimalTraits
Macropus robustus,Mammalia,Diprotodontia,Macropodidae,35.54,0.061124,kg,AnimalTraits
Vombatus ursinus,Mammalia,Diprotodontia,Vombatidae,27.192,0.061124,kg,AnimalTraits
Macropus rufus,Mammalia,Diprotodontia,Macropodidae,44.841,0.0646464,kg,AnimalTraits
Macropus giganteus,Mammalia,Diprotodontia,Macropodidae,38.977,0.0723128,kg,AnimalTraits
Dromiciops gliroides,Mammalia,Microbiotheria,Microbiotheriidae,0.0214,0.00083916,kg,AnimalTraits
Notoryctes caurinus,Mammalia,Notoryctemorphia,Notoryctidae,0.055,0.00080808,kg,AnimalTraits
Rhyncholestes raphanurus,Mammalia,Paucituberculata,Caenolestidae,0.02,0.0006734,kg,AnimalTraits
Caenolestes fuliginosus,Mammalia,Paucituberculata,Caenolestidae,0.0179,0.00070448,kg,AnimalTraits
Chaeropus ecaudatus,Mammalia,Peramelemorphia,Chaeropodidae,0.327,0.0024864,kg,AnimalTraits
Perameles bougainville,Mammalia,Peramelemorphia,Peramelidae,0.457,0.00332556,kg,AnimalTraits
Echymipera kalubu,Mammalia,Peramelemorphia,Peramelidae,0.697,0.00380212,kg,AnimalTraits
Echymipera rufescens,Mammalia,Peramelemorphia,Peramelidae,0.798,0.00386428,kg,AnimalTraits
Microperoryctes longicauda,Mammalia,Peramelemorphia,Peramelidae,0.479,0.00394716,kg,AnimalTraits
Macrotis leucura,Mammalia,Peramelemorphia,Thylacomyidae,0.877,0.0044548,kg,AnimalTraits
Isoodon macrourus,Mammalia,Peramelemorphia,Peramelidae,0.822,0.00457912,kg,AnimalTraits
Echymipera clara,Mammalia,Peramelemorphia,Peramelidae,1.207,0.00464128,kg,AnimalTraits
Perameles gunnii,Mammalia,Peramelemorphia,Peramelidae,1.002,0.004662,kg,AnimalTraits
Perameles nasuta,Mammalia,Peramelemorphia,Peramelidae,0.96,0.00513856,kg,AnimalTraits
Peroryctes raffrayana,Mammalia,Peramelemorphia,Peramelidae,0.977,0.00655788,kg,AnimalTraits
Macrotis lagotis,Mammalia,Peramelemorphia,Thylacomyidae,1.859,0.00680652,kg,AnimalTraits
Antechinus wilhelmina,Mammalia,Dasyuromorphia,Dasyuridae,0.0182,0.00080808,kg,AnimalTraits
Isoodon obesulus,Mammalia,Peramelemorphia,Peramelidae,0.691,0.00403004,kg,AnimalTraits
Marmosa mitis,Mammalia,Didelphimorphia,Didelphidae,0.0505,0.0007252,kg,AnimalTraits
Petauroides volans,Mammalia,Diprotodontia,Pseudocheiridae,0.631,0.00521108,kg,AnimalTraits
Petrogale venusta,Mammalia,Diprotodontia,Macropodidae,2.127,0.017094,kg,AnimalTraits
Pseudocheirus occidentalis,Mammalia,Diprotodontia,Pseudocheiridae,0.759,0.00578088,kg,AnimalTraits
Trichosurus fuliginosus,Mammalia,Diprotodontia,Phalangeridae,3.492,0.012432,kg,AnimalTraits
Solenodon paradoxus,Mammalia,Eulipotyphla,Solenodontidae,0.9,0.00467,kg,AnimalTraits
Tenrec ecaudatus,Mammalia,Afrosoricida,Tenrecidae,0.832,0.00257,kg,AnimalTraits
Setifer setosus,Mammalia,Afrosoricida,Tenrecidae,0.248,0.00151,kg,AnimalTraits
Hemicentetes semispinosus,Mammalia,Afrosoricida,Tenrecidae,0.11,0.00083,kg,AnimalTraits
Echinops telfairi,Mammalia,Afrosoricida,Tenrecidae,0.0875,0.00062,kg,AnimalTraits
Oryzorictes hova,Mammalia,Afrosoricida,Tenrecidae,0.0442,0.00058,kg,AnimalTraits
Microgale cowani,Mammalia,Afrosoricida,Tenrecidae,0.0152,0.00042,kg,AnimalTraits
Microgale dobsoni,Mammalia,Afrosoricida,Tenrecidae,0.0326,0.00056,kg,AnimalTraits
Limnogale mergulus,Mammalia,Afrosoricida,Tenrecidae,0.092,0.00115,kg,AnimalTraits
Potamogale velox,Mammalia,Afrosoricida,Tenrecidae,0.66,0.0041,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.86,0.00335,kg,AnimalTraits
Sorex minutus,Mammalia,Eulipotyphla,Soricidae,0.0053,0.0001,kg,AnimalTraits
Sorex araneus,Mammalia,Eulipotyphla,Soricidae,0.0103,0.0002,kg,AnimalTraits
Blarina brevicauda,Mammalia,Eulipotyphla,Soricidae,0.0185,0.00037,kg,AnimalTraits
Neomys fodiens,Mammalia,Eulipotyphla,Soricidae,0.0152,0.00032,kg,AnimalTraits
Sylvisorex megalura,Mammalia,Eulipotyphla,Soricidae,0.0053,0.00015,kg,AnimalTraits
Sylvisorex lunaris,Mammalia,Eulipotyphla,Soricidae,0.0185,0.00034,kg,AnimalTraits
Suncus murinus,Mammalia,Eulipotyphla,Soricidae,0.0355,0.00038,kg,AnimalTraits
Crocidura hildegardeae,Mammalia,Eulipotyphla,Soricidae,0.0106,0.00022,kg,AnimalTraits
Crocidura russula,Mammalia,Eulipotyphla,Soricidae,0.011,0.00019,kg,AnimalTraits
Crocidura niobe,Mammalia,Eulipotyphla,Soricidae,0.0115,0.00028,kg,AnimalTraits
Crocidura jacksoni,Mammalia,Eulipotyphla,Soricidae,0.0126,0.00025,kg,AnimalTraits
Crocidura occidenlalis,Mammalia,Eulipotyphla,Soricidae,0.028,0.00044,kg,AnimalTraits
Crocidura giffardi,Mammalia,Eulipotyphla,Soricidae,0.082,0.00055,kg,AnimalTraits
Crocidura pyrenaicus,Mammalia,Eulipotyphla,Soricidae,0.0575,0.00133,kg,AnimalTraits
Desmana moschata,Mammalia,Soricomorpha,Talpidae,0.44,0.004,kg,AnimalTraits
Talpa europaea,Mammalia,Eulipotyphla,Talpidae,0.076,0.00102,kg,AnimalTraits
Scalopus aquaticus,Mammalia,Eulipotyphla,Talpidae,0.0396,0.00116,kg,AnimalTraits
Chrysochloris asiatica,Mammalia,Afrosoricida,Chrysochloridae,0.049,0.0007,kg,AnimalTraits
