species,class,order,family,mass_kg,brain_size,brain_units,source
Callithrix jacchus,Mammalia,Primates,Cebidae,0.187,0.0076,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.235,0.0072,kg,AnimalTraits
Leontopithecus rosalia,Mammalia,Primates,Cebidae,0.407,0.0127,kg,AnimalTraits
Midas ursulus,Mammalia,Primates,Cebidae,0.225,0.0084,kg,AnimalTraits
Eulemur macaco,Mammalia,Primates,Lemuridae,1.29,0.0245,kg,AnimalTraits
Eulemur macaco,Mammalia,Primates,Lemuridae,1.2485,0.024,kg,AnimalTraits
Eulemur macaco,Mammalia,Primates,Lemuridae,1.94,0.022,kg,AnimalTraits
Eulemur rufriventer,Mammalia,Primates,Lemuridae,1.015,0.0249,kg,AnimalTraits
Eulemur rufriventer,Mammalia,Primates,Lemuridae,1.79,0.0283,kg,AnimalTraits
Eulemur albifrons,Mammalia,Primates,Lemuridae,1.54,0.0223,kg,AnimalTraits
Eulemur mongoz,Mammalia,Primates,Lemuridae,1.808,0.0232,kg,AnimalTraits
Eulemur mongoz,Mammalia,Primates,Lemuridae,1.305,0.0258,kg,AnimalTraits
Eulemur mongoz,Mammalia,Primates,Lemuridae,1.565,0.0231,kg,AnimalTraits
Lemur catta,Mammalia,Primates,Lemuridae,2.35,0.0208,kg,AnimalTraits
Perodicticus potto,Mammalia,Primates,Lorisidae,0.538,0.0109,kg,AnimalTraits
Nycticebus tardigradus,Mammalia,Primates,Lorisidae,0.527,0.0144,kg,AnimalTraits
Nycticebus tardigradus,Mammalia,Primates,Lorisidae,0.365,0.0105,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.382,0.01,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.414,0.007,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.325,0.0062,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.405,0.0063,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.323,0.0075,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.38,0.0073,kg,AnimalTraits
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,0.395,0.0068,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.718,0.0065,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.669,0.0036,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.515,0.0035,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.497,0.003,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.925,0.0033,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.92,0.0035,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.985,0.0033,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.448,0.0035,kg,AnimalTraits
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,0.69,0.003,kg,AnimalTraits
Talpa europaea,Mammalia,Eulipotyphla,Talpidae,0.077,0.0015,kg,AnimalTraits
Ailurus fulgens,Mammalia,Carnivora,Ailuridae,5.59,0.0468,kg,AnimalTraits
Mustela putorius,Mammalia,Carnivora,Mustelidae,0.415,0.0066,kg,AnimalTraits
Mustela erminea,Mammalia,Carnivora,Mustelidae,0.179,0.0046,kg,AnimalTraits
Mustela erminea,Mammalia,Carnivora,Mustelidae,0.098,0.004,kg,AnimalTraits
Mustela erminea,Mammalia,Carnivora,Mustelidae,0.102,0.0033,kg,AnimalTraits
Galictis vittata,Mammalia,Carnivora,Mustelidae,0.92,0.0153,kg,AnimalTraits
Eira barbara,Mammalia,Carnivora,Mustelidae,2,0.0442,kg,AnimalTraits
Canis mesomelas,Mammalia,Carnivora,Canidae,8,0.0548,kg,AnimalTraits
Vulpes vulpes,Mammalia,Carnivora,Canidae,2.91,0.0468,kg,AnimalTraits
Vulpes vulpes,Mammalia,Carnivora,Canidae,2.55,0.0436,kg,AnimalTraits
Vulpes vulpes,Mammalia,Carnivora,Canidae,4.235,0.0505,kg,AnimalTraits
Mungos mungo,Mammalia,Dasyuromorphia,Herpestidae,0.93,0.0108,kg,AnimalTraits
Paradoxurus hermaphroditus,Mammalia,Dasyuromorphia,Viverridae,3.047,0.0237,kg,AnimalTraits
Herpestes smithii,Mammalia,Carnivora,Herpestidae,1.205,0.0146,kg,AnimalTraits
Genetta pardina,Mammalia,Carnivora,Viverridae,1.032,0.0154,kg,AnimalTraits
Caracal caracal,Mammalia,Carnivora,Felidae,7.67,0.0519,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.96,0.032,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.62,0.03,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.46,0.0251,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.743,0.0328,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,2.577,0.0285,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.48,0.0252,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,3.58,0.0248,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,2.58,0.0215,kg,AnimalTraits
Panthera leo,Mammalia,Carnivora,Felidae,84,0.2595,kg,AnimalTraits
Rubrisciurus rubriventer,Mammalia,Rodentia,Sciuridae,0.365,0.0069,kg,AnimalTraits
Rubrisciurus rubriventer,Mammalia,Rodentia,Sciuridae,0.365,0.0065,kg,AnimalTraits
Sciurus niger,Mammalia,Rodentia,Sciuridae,0.328,0.0072,kg,AnimalTraits
Marmota sibirica,Mammalia,Rodentia,Sciuridae,1.89,0.0181,kg,AnimalTraits
Ictidomys tridecemlineatus,Mammalia,Rodentia,Sciuridae,0.2,0.0022,kg,AnimalTraits
Ictidomys tridecemlineatus,Mammalia,Rodentia,Sciuridae,0.115,0.0024,kg,AnimalTraits
Glis glis,Mammalia,Rodentia,Gliridae,0.148,0.0019,kg,AnimalTraits
Cricetus cricetus,Mammalia,Rodentia,Cricetidae,0.297,0.0022,kg,AnimalTraits
Rattus norvegicus,Mammalia,Rodentia,Muridae,0.465,0.00875,kg,AnimalTraits
Rattus norvegicus,Mammalia,Rodentia,Muridae,0.254,0.0073,kg,AnimalTraits
Gerbillus gerbillus,Mammalia,Rodentia,Muridae,0.095,0.0034,kg,AnimalTraits
Muscardinus avellanarius,Mammalia,Rodentia,Gliridae,0.013,0.0005,kg,AnimalTraits
Allactaga saliens,Mammalia,Rodentia,Dipodidae,0.193,0.0035,kg,AnimalTraits
Jaculus orientalis,Mammalia,Rodentia,Dipodidae,0.098,0.0025,kg,AnimalTraits
Capromys pilorides,Mammalia,Rodentia,Capromyidae,0.155,0.0045,kg,AnimalTraits
Atherurus africanus,Mammalia,Rodentia,Hystricidae,3.629,0.0253,kg,AnimalTraits
Lagidium viscacia,Mammalia,Rodentia,Chinchillidae,2.252,0.016,kg,AnimalTraits
Lagidium viscacia,Mammalia,Rodentia,Chinchillidae,2.35,0.0152,kg,AnimalTraits
Lagidium viscacia,Mammalia,Rodentia,Chinchillidae,3.845,0.0148,kg,AnimalTraits
Lagidium viscacia,Mammalia,Rodentia,Chinchillidae,1.395,0.0143,kg,AnimalTraits
Cuniculus paca,Mammalia,Rodentia,Cuniculidae,5.635,0.0358,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.348,0.0064,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.648,0.0041,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.493,0.0038,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.1065,0.0029,kg,AnimalTraits
Cavia apera,Mammalia,Rodentia,Caviidae,0.088,0.0028,kg,AnimalTraits
Oryctolagus cuniculus,Mammalia,Lagomorpha,Leporidae,2.844,0.0137,kg,AnimalTraits
Oryctolagus cuniculus,Mammalia,Lagomorpha,Leporidae,2.217,0.0106,kg,AnimalTraits
Oryctolagus cuniculus,Mammalia,Lagomorpha,Leporidae,0.622,0.00905,kg,AnimalTraits
Procavia capensis,Mammalia,Hyracoidea,Procaviidae,1.92,0.02,kg,AnimalTraits
Procavia capensis,Mammalia,Hyracoidea,Procaviidae,0.6,0.0148,kg,AnimalTraits
Cervus canadensis,Mammalia,Artiodactyla,Cervidae,200,0.4093,kg,AnimalTraits
Boselaphus tragocamelus,Mammalia,Artiodactyla,Bovidae,125,0.2555,kg,AnimalTraits
Boselaphus tragocamelus,Mammalia,Artiodactyla,Bovidae,125,0.288,kg,AnimalTraits
Euphractus sexcinctus,Mammalia,Cingulata,Chlamyphoridae,7.99,0.0335,kg,AnimalTraits
Bradypus tridactylus,Mammalia,Pilosa,Bradypodidae,4.097,0.0249,kg,AnimalTraits
Trichosurus vulpecula,Mammalia,Diprotodontia,Phalangeridae,1.62,0.0114,kg,AnimalTraits
Onychogalea fraenata,Mammalia,Diprotodontia,Macropodidae,1.433,0.0135,kg,AnimalTraits
Didelphis marsupialis,Mammalia,Didelphimorphia,Didelphidae,1.7,0.0063,kg,AnimalTraits
Lumbricus terrestris,Clitellata,Haplotaxida,Lumbricidae,0.00609,2.14e-05,kg,AnimalTraits
Periplaneta americana,Insecta,Blattodea,Blattidae,9.2e-05,1.95e-07,kg,AnimalTraits
Melanoplus femurrubrum,Insecta,Orthoptera,Acrididae,0.000458,2.33e-06,kg,AnimalTraits
Blaberus craniifer,Insecta,Blattodea,Blaberidae,0.004727,9.7e-06,kg,AnimalTraits
Limax maximus,Gastropoda,Stylommatophora,Limacidae,0.00417,1.33e-05,kg,AnimalTraits
Rana catesbeiana,Amphibia,Anura,Ranidae,0.5199,0.0004625,kg,AnimalTraits
Phrynosoma coronatum,Reptilia,Squamata,Iguanidae,0.025,0.0001383,kg,AnimalTraits
Phrynosoma coronatum,Reptilia,Squamata,Iguanidae,0.0249,0.0001269,kg,AnimalTraits
Quiscalus quiscula aeneus,Aves,Passeriformes,Icteridae,0.082,0.00292,kg,AnimalTraits
Sialia sialis,Aves,Passeriformes,Turdidae,0.034,0.001281,kg,AnimalTraits
Sialia sialis,Aves,Passeriformes,Turdidae,0.029,0.001392,kg,AnimalTraits
Buteo vulpinus,Aves,Accipitriformes,Accipitridae,0.558,0.00799,kg,AnimalTraits
Cathartes aura,Aves,Accipitriformes,Cathartidae,0.494,0.0093,kg,AnimalTraits
Dumetella carolinensis,Aves,Passeriformes,Mimidae,0.033,0.001412,kg,AnimalTraits
Serinus canaria,Aves,Passeriformes,Fringillidae,0.0171,0.000848,kg,AnimalTraits
Serinus canaria,Aves,Passeriformes,Fringillidae,0.0153,0.000564,kg,AnimalTraits
Molothrus ater,Aves,Passeriformes,Icteridae,0.066,0.002693,kg,AnimalTraits
Balearica pavonina,Aves,Gruiformes,Gruidae,4.071,0.01354,kg,AnimalTraits
Balearica pavonina,Aves,Gruiformes,Gruidae,4.825,0.01285,kg,AnimalTraits
Antigone canadensis,Aves,Gruiformes,Gruidae,1.651,0.00858,kg,AnimalTraits
Corvus brachyrhynchos,Aves,Passeriformes,Corvidae,0.337,0.0093,kg,AnimalTraits
Alle alle,Aves,Charadriiformes,Alcidae,0.102,0.00193,kg,AnimalTraits
Alle alle,Aves,Charadriiformes,Alcidae,0.104,0.00192,kg,AnimalTraits
Anas acuta,Aves,Anseriformes,Anatidae,0.67,0.0049548,kg,AnimalTraits
Haliaeetus vocifer,Aves,Accipitriformes,Accipitridae,3.5,0.01293,kg,AnimalTraits
Aquila rapax,Aves,Accipitriformes,Accipitridae,2.625,0.01409,kg,AnimalTraits
Aquila rapax,Aves,Accipitriformes,Accipitridae,1.67,0.01362,kg,AnimalTraits
Aquila rapax,Aves,Accipitriformes,Accipitridae,2.438,0.01391,kg,AnimalTraits
Casmerodius albus,Aves,Pelecaniformes,Ardeidae,1.03,0.00612,kg,AnimalTraits
Ardea intermedia,Aves,Pelecaniformes,Ardeidae,0.525,0.0047,kg,AnimalTraits
Phoeniconaias minor,Aves,Phoenicopteriformes,Phoenicopteridae,1.483,0.00699,kg,AnimalTraits
Phoeniconaias minor,Aves,Phoenicopteriformes,Phoenicopteridae,1.598,0.00805,kg,AnimalTraits
Gallus bankiva,Aves,Galliformes,Phasianidae,1.263,0.003916,kg,AnimalTraits
Gallus bankiva,Aves,Galliformes,Phasianidae,2.2,0.00355,kg,AnimalTraits
Alopochen aegyptiaca,Aves,Anseriformes,Anatidae,1.935,0.00764,kg,AnimalTraits
Numida meleagris,Aves,Galliformes,Numididdae,1.62,0.0042,kg,AnimalTraits
Larus philadelphia,Aves,Charadriiformes,Laridae,0.205,0.00249,kg,AnimalTraits
Larus argentatus,Aves,Charadriiformes,Laridae,0.535,0.00508,kg,AnimalTraits
Larus delawarensis,Aves,Charadriiformes,Laridae,0.72,0.00872,kg,AnimalTraits
Puffinus griseus,Aves,Procellariiformes,Procellariidae,0.268,0.00301,kg,AnimalTraits
Accipiter striatus,Aves,Accipitriformes,Accipitridae,0.52,0.0057,kg,AnimalTraits
Falco sparverius,Aves,Falconiformes,Falconidae,0.112,0.00251,kg,AnimalTraits
Bucorvus leadbeateri,Aves,Bucerotiformes,Bucorvidae,2.15,0.02625,kg,AnimalTraits
Amazilia tzacatl,Aves,Apodiformes,Trochilidae,0.0048,0.0001998,kg,AnimalTraits
Gavia stellata,Aves,Gaviiformes,Gaviidae,1.53,0.00612,kg,AnimalTraits
Gavia stellata,Aves,Gaviiformes,Gaviidae,1.568,0.00638,kg,AnimalTraits
Fregata aquila,Aves,Suliformes,Fregatidae,1.405,0.00945,kg,AnimalTraits
Mergus serrator,Aves,Anseriformes,Anatidae,0.77,0.005289,kg,AnimalTraits
Struthio camelus,Aves,Struthioniformes,Struthionidae,123,0.04211,kg,AnimalTraits
Bubo virginianus,Aves,Stringiformes,Strigidae,1.177,0.0137,kg,AnimalTraits
Dendroperdix sephaena,Aves,Galliformes,Phasianidae,0.208,0.0015,kg,AnimalTraits
Pelicanus occidentalis,Aves,Pelecaniformes,Pelecanidae,3.29,0.01745,kg,AnimalTraits
Phasianus colchicus,Aves,Galliformes,Phasianidae,0.625,0.003289,kg,AnimalTraits
Sayornis phoebe,Aves,Passeriformes,Tyrannidae,0.0181,0.000793,kg,AnimalTraits
Sayornis phoebe,Aves,Passeriformes,Tyrannidae,0.0175,0.00075,kg,AnimalTraits
Columba livia,Aves,Columbiformes,Columbiformes,0.247,0.002285,kg,AnimalTraits
Columba livia,Aves,Columbiformes,Columbiformes,0.282,0.002694,kg,AnimalTraits
Lagopus lagopus,Aves,Galliformes,Phasianidae,0.542,0.002377,kg,AnimalTraits
Lagopus lagopus,Aves,Galliformes,Phasianidae,0.54,0.0028,kg,AnimalTraits
Turdus migratorius,Aves,Passeriformes,Turdidae,0.0693,0.00209,kg,AnimalTraits
Aythya marila,Aves,Anseriformes,Anatidae,0.787,0.0047859,kg,AnimalTraits
Passer domesticus,Aves,Passeriformes,Passeridae,0.02326,0.0010185,kg,AnimalTraits
Passer domesticus,Aves,Passeriformes,Passeridae,0.02357,0.0010278,kg,AnimalTraits
Melospiza melodia,Aves,Passeriformes,Passerellidae,0.021,0.0011,kg,AnimalTraits
Ciconia abdimii,Aves,Ciconiiformes,Ciconiidae,0.95,0.0073,kg,AnimalTraits
Ciconia ciconia,Aves,Ciconiiformes,Ciconiidae,3.35,0.01624,kg,AnimalTraits
Ciconia ciconia,Aves,Ciconiiformes,Ciconiidae,3.334,0.01578,kg,AnimalTraits
Scopus umbretta,Aves,Pelecaniformes,Scopidae,0.3175,0.00393,kg,AnimalTraits
Leptoptilos crumeniferus,Aves,Ciconiiformes,Ciconiidae,7.13,0.03014,kg,AnimalTraits
Hirundo rustica,Aves,Passeriformes,Hirundinidae,0.0215,0.000904,kg,AnimalTraits
Hirundo rustica,Aves,Passeriformes,Hirundinidae,0.021,0.000879,kg,AnimalTraits
Anas carolinensis,Aves,Anseriformes,Anatidae,0.305,0.003116,kg,AnimalTraits
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,0.05835,0.0018248,kg,AnimalTraits
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,0.05736,0.0018701,kg,AnimalTraits
Gyps africanus,Aves,Accipitriformes,Accipitridae,5.27,0.0196,kg,AnimalTraits
Ursus arctos,Mammalia,Carnivora,Ursidae,142.88,0.2339,kg,AnimalTraits
Ursus maritimus,Mammalia,Carnivora,Ursidae,199.57,0.489,kg,AnimalTraits
Ursus maritimus,Mammalia,Carnivora,Ursidae,317,0.507,kg,AnimalTraits
Felis silestris,Mammalia,Carnivora,Felidae,1.542,0.018,kg,AnimalTraits
Felis silestris,Mammalia,Carnivora,Felidae,2.885,0.02346,kg,AnimalTraits
Felis silestris,Mammalia,Carnivora,Felidae,3.778,0.02837,kg,AnimalTraits
Felis silestris,Mammalia,Carnivora,Felidae,5.012,0.02823,kg,AnimalTraits
Genetta tigrina,Mammalia,Carnivora,Viverridae,1.302,0.01589,kg,AnimalTraits
Genetta tigrina,Mammalia,Carnivora,Viverridae,1.525,0.01535,kg,AnimalTraits
Felis silvestris,Mammalia,Carnivora,Felidae,2.7,0.02848,kg,AnimalTraits
Nasua narica,Mammalia,Carnivora,Procyonidae,6.25,0.04417,kg,AnimalTraits
Canis latrans,Mammalia,Carnivora,Canidae,8.51,0.08424,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,14.56,0.07999,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,12.47,0.08114,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,24.49,0.1059,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,31.75,0.1307,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,26.94,0.0793,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,14.75,0.06653,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,11.26,0.0876,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,23.71,0.08463,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,19.28,0.09,kg,AnimalTraits
Canis familiaris,Mammalia,Carnivora,Canidae,38.42,0.0952,kg,AnimalTraits
Otocyon megalotis,Mammalia,Carnivora,Canidae,3.335,0.02609,kg,AnimalTraits
Urocyon cinereoargenteus,Mammalia,Carnivora,Canidae,3.749,0.03728,kg,AnimalTraits
Vulpes fulva,Mammalia,Carnivora,Canidae,4.625,0.0533,kg,AnimalTraits
Vulpes lagopus,Mammalia,Carnivora,Canidae,3.385,0.0445,kg,AnimalTraits
Crocuta crocuta,Mammalia,Carnivora,Hyaenidae,62.37,0.175,kg,AnimalTraits
Canis mesomelas,Mammalia,Carnivora,Canidae,2.85,0.046,kg,AnimalTraits
Panthera onca,Mammalia,Carnivora,Felidae,34.47,0.147,kg,AnimalTraits
Potos flavus,Mammalia,Carnivora,Procyonidae,2.62,0.03105,kg,AnimalTraits
Panthera pardus,Mammalia,Carnivora,Felidae,48,0.135,kg,AnimalTraits
Puma concolor,Mammalia,Carnivora,Felidae,28.79,0.1067,kg,AnimalTraits
Ichneumia albicauda,Mammalia,Carnivora,Herpestidae,4.4,0.0283,kg,AnimalTraits
Procyon lotor,Mammalia,Carnivora,Procyonidae,5.175,0.04,kg,AnimalTraits
Procyon lotor,Mammalia,Carnivora,Procyonidae,2.226,0.03355,kg,AnimalTraits
Procyon lotor,Mammalia,Carnivora,Procyonidae,4.536,0.0405,kg,AnimalTraits
Procyon lotor,Mammalia,Carnivora,Procyonidae,5.216,0.0427,kg,AnimalTraits
Mephitis mephitis,Mammalia,Carnivora,Mephitidae,1.7,0.0103,kg,AnimalTraits
Mephitis mephitis,Mammalia,Carnivora,Mephitidae,2.26,0.01,kg,AnimalTraits
Leptailurus serval,Mammalia,Carnivora,Felidae,9.955,0.06674,kg,AnimalTraits
Leptailurus serval,Mammalia,Carnivora,Felidae,5.819,0.05316,kg,AnimalTraits
Panthera tigris,Mammalia,Carnivora,Felidae,160,0.225,kg,AnimalTraits
Panthera tigris,Mammalia,Carnivora,Felidae,209,0.302,kg,AnimalTraits
Mustela arctica,Mammalia,Carnivora,Mustelidae,0.1693,0.00564,kg,AnimalTraits
Mustela arctica,Mammalia,Carnivora,Mustelidae,0.121,0.00347,kg,AnimalTraits
Canis lupus,Mammalia,Carnivora,Canidae,22.68,0.119,kg,AnimalTraits
Canis lubilus,Mammalia,Carnivora,Canidae,29.94,0.152,kg,AnimalTraits
Desmodus rotundus,Mammalia,Chiroptera,Phyllostomidae,0.028,0.000936,kg,AnimalTraits
Tamanduas tetradactyla,Mammalia,Pilosa,Myrmecophagidae,3.692,0.025,kg,AnimalTraits
Dasypus novemcinctus,Mammalia,Cingulata,Dasypodidae,2.086,0.0095,kg,AnimalTraits
Dasypus novemcinctus,Mammalia,Cingulata,Dasypodidae,3.401,0.0075,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,0.676,0.015,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,1.115,0.014,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,1.601,0.013,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,2.894,0.015,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,3.121,0.0151,kg,AnimalTraits
Bradypus griseus,Mammalia,Pilosa,Bradypodidae,3.774,0.018,kg,AnimalTraits
Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,4.825,0.02307,kg,AnimalTraits
Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,5.271,0.026,kg,AnimalTraits
Scalopus aquaticus,Mammalia,Eulipotyphla,Talpidae,0.0396,0.00116,kg,AnimalTraits
Blarina brevicauda,Mammalia,Eulipotyphla,Soricidae,0.0163,0.0003443,kg,AnimalTraits
Blarina brevicauda,Mammalia,Eulipotyphla,Soricidae,0.0188,0.000352,kg,AnimalTraits
Didelphis marsupialis,Mammalia,Didelphimorphia,Didelphidae,1.147,0.0048,kg,AnimalTraits
Papio cynocephalus,Mammalia,Primates,Cercopithecidae,19.51,0.175,kg,AnimalTraits
Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,1.22,0.0503,kg,AnimalTraits
Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,2.9,0.06146,kg,AnimalTraits
Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,4.55,0.0666,kg,AnimalTraits
Alouatta palliata,Mammalia,Primates,Atelidae,6.174,0.05034,kg,AnimalTraits
Alouatta palliata,Mammalia,Primates,Atelidae,4.309,0.05425,kg,AnimalTraits
Alouatta palliata,Mammalia,Primates,Atelidae,6.577,0.05405,kg,AnimalTraits
Alouatta palliata,Mammalia,Primates,Atelidae,7.938,0.05345,kg,AnimalTraits
Alouatta palliata,Mammalia,Primates,Atelidae,3.119,0.0423,kg,AnimalTraits
Lagothrix lagothricha,Mammalia,Primates,Atelidae,5.26,0.0862,kg,AnimalTraits
Galago senegalensis,Mammalia,Primates,Galagidae,0.2,0.005,kg,AnimalTraits
Lemur catta,Mammalia,Primates,Lemuridae,1.725,0.0218,kg,AnimalTraits
Macacus mulatta,Mammalia,Primates,Cercopithecidae,3.627,0.0931,kg,AnimalTraits
Macacus mulatta,Mammalia,Primates,Cercopithecidae,3.292,0.0917,kg,AnimalTraits
Macacus mulatta,Mammalia,Primates,Cercopithecidae,9.163,0.109,kg,AnimalTraits
Macacus mulatta,Mammalia,Primates,Cercopithecidae,8.89,0.118,kg,AnimalTraits
Ateles dariensis,Mammalia,Primates,Atelidae,8.89,0.1184,kg,AnimalTraits
Cercopithecus sp.,Mammalia,Primates,Cercopithecidae,4.937,0.0607,kg,AnimalTraits
Cercopithecus aethiops,Mammalia,Primates,Cercopithecidae,3.955,0.06089,kg,AnimalTraits
Cebus capucinus,Mammalia,Primates,Cebidae,2.718,0.0716,kg,AnimalTraits
Cebus capucinus,Mammalia,Primates,Cebidae,3.833,0.0733,kg,AnimalTraits
Cebus capucinus,Mammalia,Primates,Cebidae,3.101,0.07218,kg,AnimalTraits
Saimiri oerstedii,Mammalia,Primates,Cebidae,0.607,0.0199,kg,AnimalTraits
Saimiri oerstedii,Mammalia,Primates,Cebidae,0.907,0.0253,kg,AnimalTraits
Saimiri oerstedii,Mammalia,Primates,Cebidae,0.603,0.025,kg,AnimalTraits
Pan troglodytes,Mammalia,Primates,Hominidae,25.85,0.4305,kg,AnimalTraits
Pan troglodytes,Mammalia,Primates,Hominidae,56.69,0.44,kg,AnimalTraits
Pan troglodytes,Mammalia,Primates,Hominidae,43.99,0.325,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,57.2,1.248,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,95,1.235,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,42,1.27,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,43.4,1.375,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,49.9,1.4,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,36.3,1.28,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,45,1.19,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,37,1.1,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,45.8,1,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,76.2,1.348,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,86.2,1.265,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,71.2,1.28,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,73,1.365,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,78.5,1.54,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,36,1.327,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,61,1.2,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,46,1.16,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,43,1.24,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,63,1.18,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,43,1.35,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,44,1.3,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,45,1.14,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,51,1.5,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,83,1.42,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,56,1.57,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,61,1.49,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,51,1.31,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,81.6,1.35,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,79.4,1.274,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,81.6,1.13,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,74,1.377,kg,AnimalTraits
