species,order,family,mass_g,mass_kg,bmr_mLO2_hr,bmr_W,specific_bmr_mLO2_hr_kg,specific_bmr_W_kg,source
Pteropus pumilus,Chiroptera,Pteropodidae,194.2,0.1942,126.2,0.70461667,649.84552,3.6283042,PanTHERIA_WR05
Pteropus rodricensis,Chiroptera,Pteropodidae,254.5,0.2545,134.9,0.75319167,530.05894,2.9594957,PanTHERIA_WR05
Pteropus scapulatus,Chiroptera,Pteropodidae,362,0.362,242.54,1.3541817,670,3.7408333,PanTHERIA_WR05
Ptilocercus lowii,Scandentia,Ptilocercidae,58,0.058,43.5,0.242875,750,4.1875,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,51800,51.8,13300.8,74.2628,256.7722,1.4336448,PanTHERIA_WR05
Pusa hispida,Carnivora,Phocidae,69083.33,69.08333,12813,71.53925,185.47166,1.0355501,PanTHERIA_WR05
Saccopteryx bilineata,Chiroptera,Emballonuridae,8.05,0.00805,14.97,0.0835825,1859.6273,10.382919,PanTHERIA_WR05
Saccostomus campestris,Rodentia,Nesomyidae,61.3,0.0613,51.49,0.28748583,839.96737,4.6898178,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,9600,9.6,3696,20.636,385,2.1495833,PanTHERIA_WR05
Rattus colletti,Rodentia,Muridae,165.7,0.1657,122.94,0.686415,741.94327,4.1425166,PanTHERIA_WR05
Rattus fuscipes,Rodentia,Muridae,76,0.076,84.36,0.47101,1110,6.1975,PanTHERIA_WR05
Rattus lutreolus,Rodentia,Muridae,109,0.109,63.22,0.35297833,580,3.2383333,PanTHERIA_WR05
Rattus sordidus,Rodentia,Muridae,187,0.187,106.59,0.5951275,570,3.1825,PanTHERIA_WR05
Rattus villosissimus,Rodentia,Muridae,250.6,0.2506,145.84,0.81427333,581.96329,3.249295,PanTHERIA_WR05
Reithrodon auritus,Rodentia,Cricetidae,78.7,0.0787,76.81,0.42885583,975.98475,5.4492482,PanTHERIA_WR05
Reithrodontomys megalotis,Rodentia,Cricetidae,9,0.009,22.5,0.125625,2500,13.958333,PanTHERIA_WR05
Rhabdomys pumilio,Rodentia,Muridae,39.62,0.03962,32.09,0.17916917,809.94447,4.52219,PanTHERIA_WR05
Rhinophylla fischerae,Chiroptera,Phyllostomidae,9.5,0.0095,16.24,0.090673333,1709.4737,9.5445614,PanTHERIA_WR05
Rhinophylla pumilio,Chiroptera,Phyllostomidae,9.5,0.0095,16.24,0.090673333,1709.4737,9.5445614,PanTHERIA_WR05
