species,order,family,mass_g,mass_kg,bmr_mLO2_hr,bmr_W,specific_bmr_mLO2_hr_kg,specific_bmr_W_kg,source
Tolypeutes matacus,Cingulata,Dasypodidae,1160,1.16,209.96,1.1722767,181,1.0105833,PanTHERIA_WR05
Tonatia bidens,Chiroptera,Phyllostomidae,27.4,0.0274,39.18,0.218755,1429.927,7.9837591,PanTHERIA_WR05
Tupaia glis,Scandentia,Tupaiidae,123,0.123,93.48,0.52193,760,4.2433333,PanTHERIA_WR05
Tympanoctomys barrerae,Rodentia,Octodontidae,71.4,0.0714,73.18,0.40858833,1024.93,5.7225257,PanTHERIA_WR05
Uroderma bilobatum,Chiroptera,Phyllostomidae,16.2,0.0162,26.56,0.14829333,1639.5062,9.1539095,PanTHERIA_WR05
Urogale everetti,Scandentia,Tupaiidae,260.6,0.2606,224.11,1.2512808,859.97698,4.8015381,PanTHERIA_WR05
Uromys caudimaculatus,Rodentia,Muridae,812,0.812,570.83,3.1871342,702.99261,3.9250421,PanTHERIA_WR05
Ursus americanus,Carnivora,Ursidae,110500,110.5,24365.4,136.04015,220.50136,1.2311326,PanTHERIA_WR05
Ursus arctos,Carnivora,Ursidae,162428.57,162.42857,20790.6,116.08085,127.99842,0.71465783,PanTHERIA_WR05
Ursus maritimus,Carnivora,Ursidae,365000,365,44346,247.5985,121.49589,0.67835205,PanTHERIA_WR05
Vampyressa pusilla,Chiroptera,Phyllostomidae,8.8,0.0088,20.5,0.11445833,2329.5455,13.006629,PanTHERIA_WR05
Vulpes lagopus,Carnivora,Canidae,3200,3.2,1627.2,9.0852,508.5,2.839125,PanTHERIA_WR05
Vulpes velox,Carnivora,Canidae,2088,2.088,1114.2,6.22095,533.62069,2.9793822,PanTHERIA_WR05
Vulpes vulpes,Carnivora,Canidae,4100,4.1,2152.8,12.0198,525.07317,2.9316585,PanTHERIA_WR05
Vulpes zerda,Carnivora,Canidae,1303,1.303,467.97,2.6128325,359.14812,2.0052437,PanTHERIA_WR05
Xerus inauris,Rodentia,Sciuridae,515.3,0.5153,310.21,1.7320058,601.99884,3.3611602,PanTHERIA_WR05
Xerus princeps,Rodentia,Sciuridae,627,0.627,354.25,1.9778958,564.99203,3.1545388,PanTHERIA_WR05
Zaedyus pichiy,Cingulata,Dasypodidae,1740,1.74,396.72,2.21502,228,1.273,PanTHERIA_WR05
Zaglossus bruijni,Monotremata,Tachyglossidae,10700,10.7,1215.4,6.7859833,113.58879,0.63420405,PanTHERIA_WR05
Zapus hudsonius,Rodentia,Dipodidae,30,0.03,45,0.25125,1500,8.375,PanTHERIA_WR05
