species,order,family,mass_g,mass_kg,gestation_days,source
Chrysospalax trevelyani,Afrosoricida,Chrysochloridae,434.04,0.43404,115,PanTHERIA_WR05
Civettictis civetta,Carnivora,Viverridae,12075.58,12.07558,68.4,PanTHERIA_WR05
Cloeotis percivali,Chiroptera,Hipposideridae,4.16,0.00416,91.24,PanTHERIA_WR05
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,4.1162,200.74,PanTHERIA_WR05
Colobus guereza,Primates,Cercopithecidae,9925.88,9.92588,169.02,PanTHERIA_WR05
Colobus polykomos,Primates,Cercopithecidae,8797.29,8.79729,172.69,PanTHERIA_WR05
Colobus satanas,Primates,Cercopithecidae,9055.32,9.05532,192.76,PanTHERIA_WR05
Condylura cristata,Soricomorpha,Talpidae,48.15,0.04815,40,PanTHERIA_WR05
Conepatus leuconotus,Carnivora,Mephitidae,3293.91,3.29391,60.83,PanTHERIA_WR05
Conilurus penicillatus,Rodentia,Muridae,175.02,0.17502,35.99,PanTHERIA_WR05
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,156.54753,256.76,PanTHERIA_WR05
Dasyprocta leporina,Rodentia,Dasyproctidae,3009.99,3.00999,106.39,PanTHERIA_WR05
Dasyprocta punctata,Rodentia,Dasyproctidae,2309.12,2.30912,107.65,PanTHERIA_WR05
Dasypus hybridus,Cingulata,Dasypodidae,1500,1.5,126.4,PanTHERIA_WR05
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,3.94901,134,PanTHERIA_WR05
Dasypus sabanicola,Cingulata,Dasypodidae,1150.01,1.15001,91.24,PanTHERIA_WR05
Euoticus elegantulus,Primates,Galagidae,295.48,0.29548,133.45,PanTHERIA_WR05
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,4.73116,64.66,PanTHERIA_WR05
Eupleres goudotii,Carnivora,Eupleridae,2763.34,2.76334,93.86,PanTHERIA_WR05
Euroscaptor mizura,Soricomorpha,Talpidae,25.05,0.02505,40,PanTHERIA_WR05
Connochaetes taurinus,Artiodactyla,Bovidae,198619.68,198.61968,251.49,PanTHERIA_WR05
