species,order,family,mass_g,mass_kg,gestation_days,source
Lemmiscus curtatus,Rodentia,Cricetidae,28.27,0.02827,25.16,PanTHERIA_WR05
Marmosa murina,Didelphimorphia,Didelphidae,36.28,0.03628,13.27,PanTHERIA_WR05
Marmosa robinsoni,Didelphimorphia,Didelphidae,60.57,0.06057,13.83,PanTHERIA_WR05
Hylobates moloch,Primates,Hylobatidae,5860.81,5.86081,241.2,PanTHERIA_WR05
Hylobates muelleri,Primates,Hylobatidae,5909.81,5.90981,206.7,PanTHERIA_WR05
Hylobates pileatus,Primates,Hylobatidae,5542.37,5.54237,200.16,PanTHERIA_WR05
Hylochoerus meinertzhageni,Artiodactyla,Suidae,198130.47,198.13047,151,PanTHERIA_WR05
Hylomys suillus,Erinaceomorpha,Erinaceidae,57.61,0.05761,32.71,PanTHERIA_WR05
Hylomyscus alleni,Rodentia,Muridae,19.94,0.01994,29,PanTHERIA_WR05
Hylomyscus stella,Rodentia,Muridae,18.99,0.01899,29.49,PanTHERIA_WR05
Hylopetes lepidus,Rodentia,Sciuridae,63.28,0.06328,40,PanTHERIA_WR05
Hyperoodon ampullatus,Cetacea,Ziphiidae,3393361.1,3393.3611,365,PanTHERIA_WR05
Hypsignathus monstrosus,Chiroptera,Pteropodidae,336.97,0.33697,125.14,PanTHERIA_WR05
Hystrix africaeaustralis,Rodentia,Hystricidae,14936.02,14.93602,93.49,PanTHERIA_WR05
Hystrix brachyura,Rodentia,Hystricidae,8000,8,112,PanTHERIA_WR05
Hystrix crassispinis,Rodentia,Hystricidae,4584.6,4.5846,112,PanTHERIA_WR05
Hystrix cristata,Rodentia,Hystricidae,13406.27,13.40627,79.19,PanTHERIA_WR05
Hystrix indica,Rodentia,Hystricidae,14298.6,14.2986,112,PanTHERIA_WR05
Hystrix pumila,Rodentia,Hystricidae,3544.26,3.54426,112,PanTHERIA_WR05
Ictonyx libyca,Carnivora,Mustelidae,225.18,0.22518,37.78,PanTHERIA_WR05
Ictonyx striatus,Carnivora,Mustelidae,811.02,0.81102,36.76,PanTHERIA_WR05
Indri indri,Primates,Indriidae,8565.48,8.56548,136.5,PanTHERIA_WR05
Inia geoffrensis,Cetacea,Iniidae,121430.76,121.43076,314.25,PanTHERIA_WR05
Isoodon auratus,Peramelemorphia,Peramelidae,425,0.425,12,PanTHERIA_WR05
Isoodon macrourus,Peramelemorphia,Peramelidae,1505.77,1.50577,12.51,PanTHERIA_WR05
Isoodon obesulus,Peramelemorphia,Peramelidae,824.76,0.82476,15,PanTHERIA_WR05
Kerodon rupestris,Rodentia,Caviidae,799.15,0.79915,75.89,PanTHERIA_WR05
Kobus ellipsiprymnus,Artiodactyla,Bovidae,204393.48,204.39348,270,PanTHERIA_WR05
Kobus kob,Artiodactyla,Bovidae,80035.21,80.03521,254.76,PanTHERIA_WR05
Kobus leche,Artiodactyla,Bovidae,88645.04,88.64504,229.8,PanTHERIA_WR05
Kobus vardonii,Artiodactyla,Bovidae,71462.72,71.46272,258.09,PanTHERIA_WR05
Kogia sima,Cetacea,Physeteridae,183066.66,183.06666,273.75,PanTHERIA_WR05
Lagenorhynchus acutus,Cetacea,Delphinidae,186517.55,186.51755,319.37,PanTHERIA_WR05
Lagenorhynchus albirostris,Cetacea,Delphinidae,186634.86,186.63486,365,PanTHERIA_WR05
Lagenorhynchus obliquidens,Cetacea,Delphinidae,109694.46,109.69446,319.01,PanTHERIA_WR05
Lagidium peruanum,Rodentia,Chinchillidae,1220,1.22,140,PanTHERIA_WR05
Lagidium viscacia,Rodentia,Chinchillidae,1539.99,1.53999,129.99,PanTHERIA_WR05
Lagorchestes conspicillatus,Diprotodontia,Macropodidae,2821.01,2.82101,31.09,PanTHERIA_WR05
Manis temminckii,Pholidota,Manidae,11943.74,11.94374,139,PanTHERIA_WR05
Manis tricuspis,Pholidota,Manidae,1539.31,1.53931,126.85,PanTHERIA_WR05
Meriones persicus,Rodentia,Muridae,107.52,0.10752,28,PanTHERIA_WR05
Meriones shawi,Rodentia,Muridae,90.6,0.0906,24.8,PanTHERIA_WR05
Meriones tristrami,Rodentia,Muridae,111.62,0.11162,23.99,PanTHERIA_WR05
Meriones unguiculatus,Rodentia,Muridae,57.75,0.05775,25.09,PanTHERIA_WR05
Meriones vinogradovi,Rodentia,Muridae,117,0.117,21.89,PanTHERIA_WR05
Mesembriomys gouldii,Rodentia,Muridae,716.49,0.71649,44.03,PanTHERIA_WR05
Monachus monachus,Carnivora,Phocidae,294881.33,294.88133,334.58,PanTHERIA_WR05
Monachus schauinslandi,Carnivora,Phocidae,222999.99,222.99999,344.15,PanTHERIA_WR05
Monodelphis domestica,Didelphimorphia,Didelphidae,93.45,0.09345,14.55,PanTHERIA_WR05
Megaptera novaeangliae,Cetacea,Balaenopteridae,30000000,30000,349.79,PanTHERIA_WR05
Meles meles,Carnivora,Mustelidae,11884.03,11.88403,48.6,PanTHERIA_WR05
Mellivora capensis,Carnivora,Mustelidae,8999.99,8.99999,181.46,PanTHERIA_WR05
Miopithecus talapoin,Primates,Cercopithecidae,1248.86,1.24886,164.38,PanTHERIA_WR05
Mirounga angustirostris,Carnivora,Phocidae,1112390.8,1112.3908,290.63,PanTHERIA_WR05
Mirounga leonina,Carnivora,Phocidae,1600000,1600,243.33,PanTHERIA_WR05
Mirza coquereli,Primates,Cheirogaleidae,326.5,0.3265,88.58,PanTHERIA_WR05
Mogera tokudae,Soricomorpha,Talpidae,133.48,0.13348,40,PanTHERIA_WR05
Mogera wogura,Soricomorpha,Talpidae,96.88,0.09688,40,PanTHERIA_WR05
Molossus molossus,Chiroptera,Molossidae,13.7,0.0137,107.97,PanTHERIA_WR05
Monodon monoceros,Cetacea,Monodontidae,938126.44,938.12644,441.04,PanTHERIA_WR05
Mops condylurus,Chiroptera,Molossidae,26.59,0.02659,88.64,PanTHERIA_WR05
Mormopterus planiceps,Chiroptera,Molossidae,9.24,0.00924,106.86,PanTHERIA_WR05
Moschiola meminna,Artiodactyla,Tragulidae,3130.95,3.13095,153.53,PanTHERIA_WR05
Moschus berezovskii,Artiodactyla,Moschidae,12477.41,12.47741,184.24,PanTHERIA_WR05
Moschus chrysogaster,Artiodactyla,Moschidae,13697.9,13.6979,188,PanTHERIA_WR05
Moschus moschiferus,Artiodactyla,Moschidae,13315.57,13.31557,175.92,PanTHERIA_WR05
Mungos mungo,Carnivora,Herpestidae,1260,1.26,60.91,PanTHERIA_WR05
Mungotictis decemlineata,Carnivora,Eupleridae,657.03,0.65703,100.83,PanTHERIA_WR05
Muntiacus crinifrons,Artiodactyla,Cervidae,18590.01,18.59001,195.57,PanTHERIA_WR05
Marmota caligata,Rodentia,Sciuridae,2253.71,2.25371,30,PanTHERIA_WR05
Marmota caudata,Rodentia,Sciuridae,4350,4.35,30.74,PanTHERIA_WR05
Marmota flaviventris,Rodentia,Sciuridae,3709.73,3.70973,30.39,PanTHERIA_WR05
Marmota marmota,Rodentia,Sciuridae,4059.15,4.05915,35.22,PanTHERIA_WR05
Marmota monax,Rodentia,Sciuridae,3880.93,3.88093,31.5,PanTHERIA_WR05
Lemmus lemmus,Rodentia,Cricetidae,67.62,0.06762,20.11,PanTHERIA_WR05
Lemmus sibiricus,Rodentia,Cricetidae,53.81,0.05381,20.74,PanTHERIA_WR05
Lemmus trimucronatus,Rodentia,Cricetidae,69.82,0.06982,20.77,PanTHERIA_WR05
Lasiorhinus latifrons,Diprotodontia,Vombatidae,26163.8,26.1638,20.74,PanTHERIA_WR05
Lemniscomys striatus,Rodentia,Muridae,43.65,0.04365,25.15,PanTHERIA_WR05
Lemur catta,Primates,Lemuridae,2626.48,2.62648,134.74,PanTHERIA_WR05
Leontopithecus rosalia,Primates,Cebidae,592.52,0.59252,134,PanTHERIA_WR05
Leopardus pardalis,Carnivora,Felidae,11880,11.88,81.99,PanTHERIA_WR05
Leopardus wiedii,Carnivora,Felidae,3270.81,3.27081,82.2,PanTHERIA_WR05
Lepilemur leucopus,Primates,Lepilemuridae,599.99,0.59999,135.92,PanTHERIA_WR05
Lepilemur mustelinus,Primates,Lepilemuridae,669.03,0.66903,133.45,PanTHERIA_WR05
Lepilemur ruficaudatus,Primates,Lepilemuridae,763.36,0.76336,135.92,PanTHERIA_WR05
Lepilemur septentrionalis,Primates,Lepilemuridae,755.77,0.75577,134.99,PanTHERIA_WR05
Leporillus conditor,Rodentia,Muridae,328.82,0.32882,43.49,PanTHERIA_WR05
Leptailurus serval,Carnivora,Felidae,11999.96,11.99996,73.74,PanTHERIA_WR05
Leptonychotes weddellii,Carnivora,Phocidae,400000,400,314.99,PanTHERIA_WR05
Leptonycteris curasoae,Chiroptera,Phyllostomidae,25.27,0.02527,121.66,PanTHERIA_WR05
Leptonycteris nivalis,Chiroptera,Phyllostomidae,24.26,0.02426,121.66,PanTHERIA_WR05
Lepus alleni,Lagomorpha,Leporidae,3930,3.93,41.99,PanTHERIA_WR05
Lepus americanus,Lagomorpha,Leporidae,1568.42,1.56842,36.57,PanTHERIA_WR05
Lepus arcticus,Lagomorpha,Leporidae,4412.73,4.41273,51.99,PanTHERIA_WR05
Lepus brachyurus,Lagomorpha,Leporidae,2519.45,2.51945,38.49,PanTHERIA_WR05
Lepus californicus,Lagomorpha,Leporidae,2422.48,2.42248,41.77,PanTHERIA_WR05
Lepus capensis,Lagomorpha,Leporidae,2047.11,2.04711,41.99,PanTHERIA_WR05
Lepus europaeus,Lagomorpha,Leporidae,3816.43,3.81643,41.99,PanTHERIA_WR05
Lepus nigricollis,Lagomorpha,Leporidae,2294.25,2.29425,36.16,PanTHERIA_WR05
Lepus othus,Lagomorpha,Leporidae,4837.35,4.83735,45.99,PanTHERIA_WR05
Lepus saxatilis,Lagomorpha,Leporidae,2593.63,2.59363,38.49,PanTHERIA_WR05
Lepus timidus,Lagomorpha,Leporidae,3105.42,3.10542,50.1,PanTHERIA_WR05
Lepus townsendii,Lagomorpha,Leporidae,3371.64,3.37164,40.73,PanTHERIA_WR05
Liomys pictus,Rodentia,Heteromyidae,43.28,0.04328,25.16,PanTHERIA_WR05
Liomys salvini,Rodentia,Heteromyidae,41.99,0.04199,27.68,PanTHERIA_WR05
Lipotes vexillifer,Cetacea,Iniidae,112138.32,112.13832,319.37,PanTHERIA_WR05
Lissonycteris angolensis,Chiroptera,Pteropodidae,68.31,0.06831,121.66,PanTHERIA_WR05
Litocranius walleri,Artiodactyla,Bovidae,38804.37,38.80437,204.15,PanTHERIA_WR05
Lobodon carcinophaga,Carnivora,Phocidae,224999.99,224.99999,269.81,PanTHERIA_WR05
Lontra canadensis,Carnivora,Mustelidae,8087.42,8.08742,58.4,PanTHERIA_WR05
Lontra felina,Carnivora,Mustelidae,11195.36,11.19536,75.97,PanTHERIA_WR05
Lophocebus albigena,Primates,Cercopithecidae,7418.71,7.41871,182.64,PanTHERIA_WR05
Lophuromys flavopunctatus,Rodentia,Muridae,57.07,0.05707,30.7,PanTHERIA_WR05
Lophuromys woosnami,Rodentia,Muridae,42.14,0.04214,32,PanTHERIA_WR05
Loris tardigradus,Primates,Lorisidae,249.22,0.24922,165.99,PanTHERIA_WR05
Loxodonta africana,Proboscidea,Elephantidae,3824539.9,3824.5399,660,PanTHERIA_WR05
Lutra lutra,Carnivora,Mustelidae,8868.69,8.86869,64.27,PanTHERIA_WR05
Lutreolina crassicaudata,Didelphimorphia,Didelphidae,554.77,0.55477,14,PanTHERIA_WR05
Lutrogale perspicillata,Carnivora,Mustelidae,8912.49,8.91249,63.31,PanTHERIA_WR05
Lycalopex culpaeus,Carnivora,Canidae,8616.24,8.61624,58.72,PanTHERIA_WR05
Lycalopex gymnocercus,Carnivora,Canidae,4542.67,4.54267,59.23,PanTHERIA_WR05
Lycaon pictus,Carnivora,Canidae,21999.99,21.99999,71.18,PanTHERIA_WR05
Lynx canadensis,Carnivora,Felidae,9682.82,9.68282,62.5,PanTHERIA_WR05
Lynx lynx,Carnivora,Felidae,19300,19.3,66.99,PanTHERIA_WR05
Lynx pardinus,Carnivora,Felidae,11050,11.05,69.44,PanTHERIA_WR05
Lynx rufus,Carnivora,Felidae,6374.47,6.37447,59.99,PanTHERIA_WR05
Macaca arctoides,Primates,Cercopithecidae,9358.04,9.35804,176.6,PanTHERIA_WR05
Macaca cyclopis,Primates,Cercopithecidae,5748.94,5.74894,161.06,PanTHERIA_WR05
Macaca fascicularis,Primates,Cercopithecidae,4569.32,4.56932,164.69,PanTHERIA_WR05
Macaca fuscata,Primates,Cercopithecidae,10114.76,10.11476,172.99,PanTHERIA_WR05
Macaca maura,Primates,Cercopithecidae,7290.3,7.2903,167.19,PanTHERIA_WR05
Macaca mulatta,Primates,Cercopithecidae,6455.19,6.45519,166.07,PanTHERIA_WR05
Macaca nemestrina,Primates,Cercopithecidae,7820.78,7.82078,171,PanTHERIA_WR05
Macaca nigra,Primates,Cercopithecidae,7359.39,7.35939,172.43,PanTHERIA_WR05
Macaca radiata,Primates,Cercopithecidae,4999.99,4.99999,161.56,PanTHERIA_WR05
Macaca silenus,Primates,Cercopithecidae,5995.25,5.99525,172,PanTHERIA_WR05
Macaca sinica,Primates,Cercopithecidae,4655.99,4.65599,180.9,PanTHERIA_WR05
Macaca sylvanus,Primates,Cercopithecidae,11471.53,11.47153,164.84,PanTHERIA_WR05
Macaca thibetana,Primates,Cercopithecidae,10593.06,10.59306,169.02,PanTHERIA_WR05
Meriones hurrianae,Rodentia,Muridae,71.02,0.07102,29.19,PanTHERIA_WR05
Meriones libycus,Rodentia,Muridae,91.33,0.09133,25.43,PanTHERIA_WR05
Mesocricetus auratus,Rodentia,Cricetidae,98.6,0.0986,15.49,PanTHERIA_WR05
Mesocricetus brandti,Rodentia,Cricetidae,198,0.198,15,PanTHERIA_WR05
Mesoplodon bidens,Cetacea,Ziphiidae,3400000,3400,365,PanTHERIA_WR05
Mesoplodon carlhubbsi,Cetacea,Ziphiidae,3400000,3400,365,PanTHERIA_WR05
Macroglossus minimus,Chiroptera,Pteropodidae,16.3,0.0163,125.14,PanTHERIA_WR05
Macropus agilis,Diprotodontia,Macropodidae,11815.75,11.81575,30.51,PanTHERIA_WR05
Macropus antilopinus,Diprotodontia,Macropodidae,27250.1,27.2501,34,PanTHERIA_WR05
Macropus dorsalis,Diprotodontia,Macropodidae,11249.96,11.24996,34.98,PanTHERIA_WR05
Macropus eugenii,Diprotodontia,Macropodidae,5278.48,5.27848,29.89,PanTHERIA_WR05
Macropus fuliginosus,Diprotodontia,Macropodidae,25564.7,25.5647,30.8,PanTHERIA_WR05
Macropus giganteus,Diprotodontia,Macropodidae,33409.89,33.40989,36.56,PanTHERIA_WR05
Macropus parma,Diprotodontia,Macropodidae,4156.62,4.15662,34.66,PanTHERIA_WR05
Macropus parryi,Diprotodontia,Macropodidae,12629.83,12.62983,37.14,PanTHERIA_WR05
Macropus robustus,Diprotodontia,Macropodidae,25978.92,25.97892,34.59,PanTHERIA_WR05
Macropus rufogriseus,Diprotodontia,Macropodidae,16850,16.85,30,PanTHERIA_WR05
Macropus rufus,Diprotodontia,Macropodidae,38968.39,38.96839,33.99,PanTHERIA_WR05
Macroscelides proboscideus,Macroscelidea,Macroscelididae,38.64,0.03864,58.49,PanTHERIA_WR05
Macrotarsomys bastardi,Rodentia,Nesomyidae,28.45,0.02845,23.99,PanTHERIA_WR05
Macrotis lagotis,Peramelemorphia,Thylacomyidae,1229.58,1.22958,14.6,PanTHERIA_WR05
Macrotus californicus,Chiroptera,Phyllostomidae,11.83,0.01183,250.29,PanTHERIA_WR05
Madoqua guentheri,Artiodactyla,Bovidae,4623.7,4.6237,175,PanTHERIA_WR05
Madoqua kirkii,Artiodactyla,Bovidae,4833.4,4.8334,171.49,PanTHERIA_WR05
Malacothrix typica,Rodentia,Nesomyidae,17.02,0.01702,26.37,PanTHERIA_WR05
Mandrillus leucophaeus,Primates,Cercopithecidae,14253.3,14.2533,179.22,PanTHERIA_WR05
Mandrillus sphinx,Primates,Cercopithecidae,16685.06,16.68506,173.99,PanTHERIA_WR05
Manis crassicaudata,Pholidota,Manidae,8017.56,8.01756,67.5,PanTHERIA_WR05
Marmota vancouverensis,Rodentia,Sciuridae,5232.43,5.23243,31.65,PanTHERIA_WR05
Martes americana,Carnivora,Mustelidae,873.69,0.87369,27.63,PanTHERIA_WR05
Martes flavigula,Carnivora,Mustelidae,2504.64,2.50464,149.65,PanTHERIA_WR05
Martes foina,Carnivora,Mustelidae,1675,1.675,29.86,PanTHERIA_WR05
Martes martes,Carnivora,Mustelidae,1299.99,1.29999,30.63,PanTHERIA_WR05
Martes pennanti,Carnivora,Mustelidae,3750,3.75,31.28,PanTHERIA_WR05
Martes zibellina,Carnivora,Mustelidae,1173.91,1.17391,30.8,PanTHERIA_WR05
Massoutiera mzabi,Rodentia,Ctenodactylidae,194,0.194,55.72,PanTHERIA_WR05
Mastacomys fuscus,Rodentia,Muridae,125.72,0.12572,35.46,PanTHERIA_WR05
Mastomys erythroleucus,Rodentia,Muridae,64.07,0.06407,21.13,PanTHERIA_WR05
Mastomys natalensis,Rodentia,Muridae,41.85,0.04185,23.64,PanTHERIA_WR05
Mazama americana,Artiodactyla,Cervidae,20546.86,20.54686,225,PanTHERIA_WR05
Mazama chunyi,Artiodactyla,Cervidae,16071.74,16.07174,243.33,PanTHERIA_WR05
Mazama gouazoubira,Artiodactyla,Cervidae,16633.17,16.63317,219.86,PanTHERIA_WR05
Mazama rufina,Artiodactyla,Cervidae,21099.25,21.09925,231.64,PanTHERIA_WR05
Megaderma lyra,Chiroptera,Megadermatidae,39.27,0.03927,152.08,PanTHERIA_WR05
Megaderma spasma,Chiroptera,Megadermatidae,24.71,0.02471,80,PanTHERIA_WR05
Melomys cervinipes,Rodentia,Muridae,71.2,0.0712,35.83,PanTHERIA_WR05
Melursus ursinus,Carnivora,Ursidae,99999.99,99.99999,203.36,PanTHERIA_WR05
Mephitis macroura,Carnivora,Mephitidae,1097.76,1.09776,58.2,PanTHERIA_WR05
Mephitis mephitis,Carnivora,Mephitidae,2399.99,2.39999,63.29,PanTHERIA_WR05
Meriones crassus,Rodentia,Muridae,69.94,0.06994,23.5,PanTHERIA_WR05
Microtus miurus,Rodentia,Cricetidae,41,0.041,21,PanTHERIA_WR05
Microtus montanus,Rodentia,Cricetidae,42.85,0.04285,21.13,PanTHERIA_WR05
Microtus montebelli,Rodentia,Cricetidae,29.49,0.02949,22.24,PanTHERIA_WR05
Microtus ochrogaster,Rodentia,Cricetidae,42.5,0.0425,21.5,PanTHERIA_WR05
Microtus oeconomus,Rodentia,Cricetidae,33.1,0.0331,21.51,PanTHERIA_WR05
Microtus oregoni,Rodentia,Cricetidae,20.35,0.02035,23.83,PanTHERIA_WR05
Microtus pennsylvanicus,Rodentia,Cricetidae,42.53,0.04253,21.24,PanTHERIA_WR05
Microtus pinetorum,Rodentia,Cricetidae,25.95,0.02595,23.99,PanTHERIA_WR05
Microtus richardsoni,Rodentia,Cricetidae,85.5,0.0855,22.29,PanTHERIA_WR05
Microtus socialis,Rodentia,Cricetidae,48,0.048,19.5,PanTHERIA_WR05
Microtus subterraneus,Rodentia,Cricetidae,17.74,0.01774,21,PanTHERIA_WR05
Microtus townsendii,Rodentia,Cricetidae,52.02,0.05202,23.2,PanTHERIA_WR05
Millardia meltada,Rodentia,Muridae,67.17,0.06717,20,PanTHERIA_WR05
Miniopterus australis,Chiroptera,Vespertilionidae,7.4,0.0074,132.74,PanTHERIA_WR05
Miniopterus fraterculus,Chiroptera,Vespertilionidae,7.38,0.00738,155.09,PanTHERIA_WR05
Miniopterus inflatus,Chiroptera,Vespertilionidae,14.9,0.0149,91.24,PanTHERIA_WR05
Miniopterus natalensis,Chiroptera,Vespertilionidae,10.43,0.01043,126.88,PanTHERIA_WR05
Miniopterus schreibersii,Chiroptera,Vespertilionidae,11.46,0.01146,182.5,PanTHERIA_WR05
Muntiacus feae,Artiodactyla,Cervidae,21999.99,21.99999,195.57,PanTHERIA_WR05
Muntiacus muntjak,Artiodactyla,Cervidae,17611.59,17.61159,210,PanTHERIA_WR05
Muntiacus reevesi,Artiodactyla,Cervidae,13499.94,13.49994,214.24,PanTHERIA_WR05
Muntiacus rooseveltorum,Artiodactyla,Cervidae,10762.64,10.76264,212.49,PanTHERIA_WR05
Micaelamys namaquensis,Rodentia,Muridae,57.1,0.0571,21.99,PanTHERIA_WR05
Microcavia australis,Rodentia,Caviidae,261.49,0.26149,54.91,PanTHERIA_WR05
Microcavia niata,Rodentia,Caviidae,254.67,0.25467,54,PanTHERIA_WR05
Microcavia shiptoni,Rodentia,Caviidae,185,0.185,54,PanTHERIA_WR05
Microcebus murinus,Primates,Cheirogaleidae,69,0.069,60.34,PanTHERIA_WR05
Microcebus myoxinus,Primates,Cheirogaleidae,31.23,0.03123,59.99,PanTHERIA_WR05
Microcebus rufus,Primates,Cheirogaleidae,48.39,0.04839,59.99,PanTHERIA_WR05
Microgale dobsoni,Afrosoricida,Tenrecidae,36.66,0.03666,61.64,PanTHERIA_WR05
Microgale talazaci,Afrosoricida,Tenrecidae,43.07,0.04307,60.74,PanTHERIA_WR05
Micromys minutus,Rodentia,Muridae,6.99,0.00699,21,PanTHERIA_WR05
Micronycteris megalotis,Chiroptera,Phyllostomidae,6.4,0.0064,121.66,PanTHERIA_WR05
Micropteropus pusillus,Chiroptera,Pteropodidae,25.38,0.02538,161.77,PanTHERIA_WR05
Microtus abbreviatus,Rodentia,Cricetidae,66.06,0.06606,21.27,PanTHERIA_WR05
Microtus agrestis,Rodentia,Cricetidae,35.87,0.03587,20.72,PanTHERIA_WR05
Microtus arvalis,Rodentia,Cricetidae,26.9,0.0269,21,PanTHERIA_WR05
Microtus californicus,Rodentia,Cricetidae,57.42,0.05742,21.18,PanTHERIA_WR05
Microtus canicaudus,Rodentia,Cricetidae,29.93,0.02993,22.97,PanTHERIA_WR05
Microtus chrotorrhinus,Rodentia,Cricetidae,38.99,0.03899,20,PanTHERIA_WR05
Myotis thysanodes,Chiroptera,Vespertilionidae,8.49,0.00849,53.55,PanTHERIA_WR05
Myotis tricolor,Chiroptera,Vespertilionidae,13.67,0.01367,77.43,PanTHERIA_WR05
Myotis velifer,Chiroptera,Vespertilionidae,9.82,0.00982,63.77,PanTHERIA_WR05
Myotomys sloggetti,Rodentia,Muridae,106.25,0.10625,38,PanTHERIA_WR05
Myotomys unisulcatus,Rodentia,Muridae,102.5,0.1025,36.57,PanTHERIA_WR05
Myrmecobius fasciatus,Dasyuromorphia,Myrmecobiidae,511.44,0.51144,14,PanTHERIA_WR05
Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,29531.83,29.53183,182.74,PanTHERIA_WR05
Mystromys albicaudatus,Rodentia,Nesomyidae,86.85,0.08685,37,PanTHERIA_WR05
Naemorhedus baileyi,Artiodactyla,Bovidae,28863.45,28.86345,212.91,PanTHERIA_WR05
Naemorhedus goral,Artiodactyla,Bovidae,28796.51,28.79651,212.91,PanTHERIA_WR05
Nandinia binotata,Carnivora,Nandiniidae,2167.2,2.1672,65.35,PanTHERIA_WR05
Microtus guentheri,Rodentia,Cricetidae,49.99,0.04999,21,PanTHERIA_WR05
Mus caroli,Rodentia,Muridae,14.26,0.01426,18.1,PanTHERIA_WR05
Mus minutoides,Rodentia,Muridae,6.43,0.00643,20.71,PanTHERIA_WR05
Mus musculoides,Rodentia,Muridae,8.23,0.00823,23.5,PanTHERIA_WR05
Mus musculus,Rodentia,Muridae,19.3,0.0193,19.6,PanTHERIA_WR05
Muscardinus avellanarius,Rodentia,Gliridae,29.19,0.02919,24.97,PanTHERIA_WR05
Mustela altaica,Carnivora,Mustelidae,180.24,0.18024,40,PanTHERIA_WR05
Mustela erminea,Carnivora,Mustelidae,284.5,0.2845,66.35,PanTHERIA_WR05
Mustela eversmanii,Carnivora,Mustelidae,1684.21,1.68421,40.14,PanTHERIA_WR05
Mustela frenata,Carnivora,Mustelidae,190.03,0.19003,24.5,PanTHERIA_WR05
Mustela lutreola,Carnivora,Mustelidae,566.44,0.56644,43.74,PanTHERIA_WR05
Mustela nigripes,Carnivora,Mustelidae,907.1,0.9071,43,PanTHERIA_WR05
Mustela nivalis,Carnivora,Mustelidae,78.45,0.07845,36.49,PanTHERIA_WR05
Mustela putorius,Carnivora,Mustelidae,975.55,0.97555,41.49,PanTHERIA_WR05
Mustela sibirica,Carnivora,Mustelidae,530.85,0.53085,30.12,PanTHERIA_WR05
Myocastor coypus,Rodentia,Myocastoridae,6361.55,6.36155,131.86,PanTHERIA_WR05
Myodes californicus,Rodentia,Cricetidae,18.3,0.0183,18,PanTHERIA_WR05
Myodes gapperi,Rodentia,Cricetidae,19.83,0.01983,18,PanTHERIA_WR05
Myodes glareolus,Rodentia,Cricetidae,20.73,0.02073,19.74,PanTHERIA_WR05
Myodes rutilus,Rodentia,Cricetidae,19.94,0.01994,23.98,PanTHERIA_WR05
Myodes smithii,Rodentia,Cricetidae,34.94,0.03494,19,PanTHERIA_WR05
Myoprocta acouchy,Rodentia,Dasyproctidae,954.87,0.95487,98.43,PanTHERIA_WR05
Myoprocta pratti,Rodentia,Dasyproctidae,966.73,0.96673,99.65,PanTHERIA_WR05
Myopus schisticolor,Rodentia,Cricetidae,29.99,0.02999,23.74,PanTHERIA_WR05
Myotis albescens,Chiroptera,Vespertilionidae,5.69,0.00569,93.18,PanTHERIA_WR05
Myotis capaccinii,Chiroptera,Vespertilionidae,8.15,0.00815,54.99,PanTHERIA_WR05
Myotis daubentonii,Chiroptera,Vespertilionidae,7.63,0.00763,55.14,PanTHERIA_WR05
Myotis lucifugus,Chiroptera,Vespertilionidae,7.8,0.0078,59.79,PanTHERIA_WR05
Myotis myotis,Chiroptera,Vespertilionidae,25.59,0.02559,73,PanTHERIA_WR05
Nanger dama,Artiodactyla,Bovidae,71424.81,71.42481,194.93,PanTHERIA_WR05
Nanger granti,Artiodactyla,Bovidae,55464.46,55.46446,191.21,PanTHERIA_WR05
Nanger soemmerringii,Artiodactyla,Bovidae,41582.93,41.58293,192.53,PanTHERIA_WR05
Napaeozapus insignis,Rodentia,Dipodidae,22.25,0.02225,22.73,PanTHERIA_WR05
Nasalis larvatus,Primates,Cercopithecidae,12265.65,12.26565,165.04,PanTHERIA_WR05
Nasua narica,Carnivora,Procyonidae,4578.43,4.57843,76.82,PanTHERIA_WR05
Nasua nasua,Carnivora,Procyonidae,3775.5,3.7755,75.06,PanTHERIA_WR05
Natalus stramineus,Chiroptera,Natalidae,5.68,0.00568,244.85,PanTHERIA_WR05
Necromys lasiurus,Rodentia,Cricetidae,39.93,0.03993,21.97,PanTHERIA_WR05
Neofelis nebulosa,Carnivora,Felidae,14945.05,14.94505,93.44,PanTHERIA_WR05
Neofiber alleni,Rodentia,Cricetidae,265.38,0.26538,28.26,PanTHERIA_WR05
Neomys anomalus,Soricomorpha,Soricidae,13.19,0.01319,26,PanTHERIA_WR05
Neomys fodiens,Soricomorpha,Soricidae,15.26,0.01526,21.38,PanTHERIA_WR05
Neophoca cinerea,Carnivora,Otariidae,189274.99,189.27499,265.94,PanTHERIA_WR05
Neophocaena phocaenoides,Cetacea,Phocoenidae,32500,32.5,319.01,PanTHERIA_WR05
Neoromicia nanus,Chiroptera,Vespertilionidae,3.88,0.00388,75.56,PanTHERIA_WR05
Neotoma albigula,Rodentia,Cricetidae,208.18,0.20818,37,PanTHERIA_WR05
Neotoma cinerea,Rodentia,Cricetidae,285.89,0.28589,29.69,PanTHERIA_WR05
Neotoma floridana,Rodentia,Cricetidae,249.16,0.24916,34.84,PanTHERIA_WR05
Neotoma fuscipes,Rodentia,Cricetidae,213.26,0.21326,33.21,PanTHERIA_WR05
Neotoma lepida,Rodentia,Cricetidae,143.88,0.14388,32.99,PanTHERIA_WR05
