species,order,family,mass_g,mass_kg,home_range_km2,source
Potamochoerus larvatus,Artiodactyla,Suidae,69063.79,69.06379,4.47,PanTHERIA_WR05
Potorous longipes,Diprotodontia,Potoroidae,1835.06,1.83506,0.29,PanTHERIA_WR05
Potos flavus,Carnivora,Procyonidae,2441.81,2.44181,0.22,PanTHERIA_WR05
Praomys tullbergi,Rodentia,Muridae,37.1,0.0371,0.001625591,PanTHERIA_WR05
Presbytis comata,Primates,Cercopithecidae,6550.07,6.55007,0.13,PanTHERIA_WR05
Presbytis femoralis,Primates,Cercopithecidae,7026.91,7.02691,0.07,PanTHERIA_WR05
Presbytis hosei,Primates,Cercopithecidae,6277.78,6.27778,0.2,PanTHERIA_WR05
Presbytis melalophos,Primates,Cercopithecidae,6439.12,6.43912,0.12,PanTHERIA_WR05
Presbytis potenziani,Primates,Cercopithecidae,6449.53,6.44953,0.12,PanTHERIA_WR05
Presbytis rubicunda,Primates,Cercopithecidae,6348.53,6.34853,0.5,PanTHERIA_WR05
Presbytis thomasi,Primates,Cercopithecidae,6689.99,6.68999,0.09,PanTHERIA_WR05
Priodontes maximus,Cingulata,Dasypodidae,40641.89,40.64189,3.19,PanTHERIA_WR05
Prionailurus bengalensis,Carnivora,Felidae,2780.97,2.78097,1.87,PanTHERIA_WR05
Procavia capensis,Hyracoidea,Procaviidae,2952.48,2.95248,0.002638607,PanTHERIA_WR05
Procolobus verus,Primates,Cercopithecidae,3977.86,3.97786,0.17,PanTHERIA_WR05
Procyon lotor,Carnivora,Procyonidae,6373.72,6.37372,4.62,PanTHERIA_WR05
Proteles cristata,Carnivora,Hyaenidae,8139.39,8.13939,1.51,PanTHERIA_WR05
Pseudocheirus peregrinus,Diprotodontia,Pseudocheiridae,895.22,0.89522,0.00931273,PanTHERIA_WR05
Pseudomys chapmani,Rodentia,Muridae,10.95,0.01095,0.05,PanTHERIA_WR05
Pseudomys higginsi,Rodentia,Muridae,63.16,0.06316,0.002011653,PanTHERIA_WR05
Pudu puda,Artiodactyla,Cervidae,9642.62,9.64262,0.17,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,53954.05,53.95405,129.89,PanTHERIA_WR05
Puma yagouaroundi,Carnivora,Felidae,6875,6.875,52.35,PanTHERIA_WR05
Pygeretmus pumilio,Rodentia,Dipodidae,52.24,0.05224,0.002441076,PanTHERIA_WR05
Rucervus duvaucelii,Artiodactyla,Cervidae,171223.86,171.22386,14.11,PanTHERIA_WR05
Rupicapra rupicapra,Artiodactyla,Bovidae,33266.35,33.26635,2.65,PanTHERIA_WR05
Saccostomus mearnsi,Rodentia,Nesomyidae,64.91,0.06491,0.001303656,PanTHERIA_WR05
Saguinus fuscicollis,Primates,Cebidae,393.99,0.39399,0.2,PanTHERIA_WR05
Rangifer tarandus,Artiodactyla,Cervidae,109088.5,109.0885,2771.22,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,11661.53,11.66153,0.43,PanTHERIA_WR05
Rattus everetti,Rodentia,Muridae,253.53,0.25353,0.005001891,PanTHERIA_WR05
Rattus exulans,Rodentia,Muridae,50.63,0.05063,0.000935769,PanTHERIA_WR05
Rattus niobe,Rodentia,Muridae,45.07,0.04507,0.001058952,PanTHERIA_WR05
Rattus norvegicus,Rodentia,Muridae,282.89,0.28289,0.002927936,PanTHERIA_WR05
Rattus rattus,Rodentia,Muridae,142.68,0.14268,0.00231795,PanTHERIA_WR05
Rattus verecundus,Rodentia,Muridae,97.02,0.09702,0.001058952,PanTHERIA_WR05
Redunca fulvorufula,Artiodactyla,Bovidae,29352.66,29.35266,0.07,PanTHERIA_WR05
Reithrodontomys fulvescens,Rodentia,Cricetidae,11.55,0.01155,0.001343843,PanTHERIA_WR05
Reithrodontomys humulis,Rodentia,Cricetidae,8.25,0.00825,0.003188291,PanTHERIA_WR05
Reithrodontomys megalotis,Rodentia,Cricetidae,10.72,0.01072,0.001008937,PanTHERIA_WR05
Reithrodontomys montanus,Rodentia,Cricetidae,10.9,0.0109,0.002290248,PanTHERIA_WR05
Reithrodontomys raviventris,Rodentia,Cricetidae,10.95,0.01095,0.001664605,PanTHERIA_WR05
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,1843655.8,1843.6558,4.23,PanTHERIA_WR05
Rhinopithecus bieti,Primates,Cercopithecidae,11000.54,11.00054,20.4,PanTHERIA_WR05
Rhinopithecus brelichi,Primates,Cercopithecidae,12267.15,12.26715,7.41,PanTHERIA_WR05
Rhinopithecus roxellana,Primates,Cercopithecidae,13456.8,13.4568,24.28,PanTHERIA_WR05
Saguinus geoffroyi,Primates,Cebidae,492.5,0.4925,0.16,PanTHERIA_WR05
Saguinus imperator,Primates,Cebidae,407.91,0.40791,0.22,PanTHERIA_WR05
Saguinus labiatus,Primates,Cebidae,508.46,0.50846,0.19,PanTHERIA_WR05
Saguinus midas,Primates,Cebidae,540.56,0.54056,0.05,PanTHERIA_WR05
Saguinus mystax,Primates,Cebidae,555.87,0.55587,0.21,PanTHERIA_WR05
Saguinus nigricollis,Primates,Cebidae,450,0.45,0.25,PanTHERIA_WR05
Saguinus oedipus,Primates,Cebidae,462.04,0.46204,0.06,PanTHERIA_WR05
Spermophilus beecheyi,Rodentia,Sciuridae,597.82,0.59782,0.000293039,PanTHERIA_WR05
Sorex unguiculatus,Soricomorpha,Soricidae,14.11,0.01411,8.51806e-05,PanTHERIA_WR05
Sorex vagrans,Soricomorpha,Soricidae,5.99,0.00599,0.002073312,PanTHERIA_WR05
Spermophilus columbianus,Rodentia,Sciuridae,470.94,0.47094,0.001090594,PanTHERIA_WR05
Spermophilus elegans,Rodentia,Sciuridae,324.45,0.32445,0.00191853,PanTHERIA_WR05
Saimiri oerstedii,Primates,Cebidae,714.18,0.71418,0.1,PanTHERIA_WR05
Saimiri sciureus,Primates,Cebidae,749.47,0.74947,0.68,PanTHERIA_WR05
Scalopus aquaticus,Soricomorpha,Talpidae,87.15,0.08715,0.005706842,PanTHERIA_WR05
Scapanus orarius,Soricomorpha,Talpidae,62.13,0.06213,0.001058952,PanTHERIA_WR05
Sciurus aberti,Rodentia,Sciuridae,622.95,0.62295,0.05,PanTHERIA_WR05
Sciurus aureogaster,Rodentia,Sciuridae,455.57,0.45557,0.01,PanTHERIA_WR05
Sciurus carolinensis,Rodentia,Sciuridae,545.4,0.5454,0.008569038,PanTHERIA_WR05
Sciurus deppei,Rodentia,Sciuridae,249.5,0.2495,0.01,PanTHERIA_WR05
Sciurus granatensis,Rodentia,Sciuridae,318.44,0.31844,0.007784702,PanTHERIA_WR05
Sciurus griseus,Rodentia,Sciuridae,703.85,0.70385,0.008025903,PanTHERIA_WR05
Sciurus lis,Rodentia,Sciuridae,264.3,0.2643,0.13,PanTHERIA_WR05
Sciurus vulgaris,Rodentia,Sciuridae,333,0.333,0.05,PanTHERIA_WR05
Semnopithecus entellus,Primates,Cercopithecidae,12679.29,12.67929,1.3,PanTHERIA_WR05
Sigmodon hispidus,Rodentia,Cricetidae,110.65,0.11065,0.002399307,PanTHERIA_WR05
Sigmodon ochrognathus,Rodentia,Cricetidae,122,0.122,0.001664175,PanTHERIA_WR05
Simias concolor,Primates,Cercopithecidae,7393.9,7.3939,0.1,PanTHERIA_WR05
Sminthopsis leucopus,Dasyuromorphia,Dasyuridae,23.36,0.02336,0.008904945,PanTHERIA_WR05
Sorex araneus,Soricomorpha,Soricidae,9.18,0.00918,0.000446055,PanTHERIA_WR05
Sorex arcticus,Soricomorpha,Soricidae,8.19,0.00819,0.004174389,PanTHERIA_WR05
Sorex caecutiens,Soricomorpha,Soricidae,6.3,0.0063,0.000203282,PanTHERIA_WR05
Sorex cinereus,Soricomorpha,Soricidae,4.2,0.0042,0.004044228,PanTHERIA_WR05
Sorex coronatus,Soricomorpha,Soricidae,9.32,0.00932,0.0003073,PanTHERIA_WR05
Sorex gracillimus,Soricomorpha,Soricidae,4.4,0.0044,0.000316461,PanTHERIA_WR05
Sorex palustris,Soricomorpha,Soricidae,13.07,0.01307,0.002320105,PanTHERIA_WR05
Spalacopus cyanus,Rodentia,Octodontidae,100.86,0.10086,7.86164e-05,PanTHERIA_WR05
Aepyceros melampus,Artiodactyla,Bovidae,52591.69,52.59169,1.97,PanTHERIA_WR05
Spermophilus franklinii,Rodentia,Sciuridae,457.64,0.45764,0.13,PanTHERIA_WR05
Spermophilus mohavensis,Rodentia,Sciuridae,213.18,0.21318,0.01,PanTHERIA_WR05
Spermophilus mollis,Rodentia,Sciuridae,165.4,0.1654,0.000957999,PanTHERIA_WR05
Spermophilus parryii,Rodentia,Sciuridae,747.09,0.74709,0.02,PanTHERIA_WR05
Spermophilus richardsonii,Rodentia,Sciuridae,325.1,0.3251,0.00402332,PanTHERIA_WR05
Spermophilus spilosoma,Rodentia,Sciuridae,106.64,0.10664,0.009534137,PanTHERIA_WR05
Spermophilus tereticaudus,Rodentia,Sciuridae,147.57,0.14757,0.01,PanTHERIA_WR05
Spermophilus tridecemlineatus,Rodentia,Sciuridae,174.91,0.17491,0.01,PanTHERIA_WR05
Spermophilus undulatus,Rodentia,Sciuridae,742.91,0.74291,0.02,PanTHERIA_WR05
Spermophilus variegatus,Rodentia,Sciuridae,714.58,0.71458,0.03,PanTHERIA_WR05
Aethomys hindei,Rodentia,Muridae,140.65,0.14065,0.000609998,PanTHERIA_WR05
Ailuropoda melanoleuca,Carnivora,Ursidae,117999.99,117.99999,3.55,PanTHERIA_WR05
Ailurus fulgens,Carnivora,Ailuridae,5170.08,5.17008,1.43,PanTHERIA_WR05
Spilogale putorius,Carnivora,Mephitidae,566.49,0.56649,0.29,PanTHERIA_WR05
Stylodipus telum,Rodentia,Dipodidae,59.99,0.05999,0.00350188,PanTHERIA_WR05
Tragelaphus scriptus,Artiodactyla,Bovidae,43250.39,43.25039,0.02,PanTHERIA_WR05
Tragelaphus strepsiceros,Artiodactyla,Bovidae,206056.41,206.05641,835.1,PanTHERIA_WR05
Trichosurus caninus,Diprotodontia,Phalangeridae,3115.06,3.11506,0.02,PanTHERIA_WR05
Trichosurus vulpecula,Diprotodontia,Phalangeridae,2685.39,2.68539,0.03,PanTHERIA_WR05
Tapirus pinchaque,Perissodactyla,Tapiridae,156923.4,156.9234,6.38,PanTHERIA_WR05
Tarsipes rostratus,Diprotodontia,Tarsipedidae,9.66,0.00966,0.000814137,PanTHERIA_WR05
Tarsius bancanus,Primates,Tarsiidae,114.39,0.11439,0.01,PanTHERIA_WR05
Tarsius dentatus,Primates,Tarsiidae,110.42,0.11042,0.003855591,PanTHERIA_WR05
Acomys cahirinus,Rodentia,Muridae,41.16,0.04116,0.000880412,PanTHERIA_WR05
Acomys russatus,Rodentia,Muridae,42.35,0.04235,0.000488186,PanTHERIA_WR05
Acrobates pygmaeus,Diprotodontia,Acrobatidae,13.84,0.01384,0.005959065,PanTHERIA_WR05
Suricata suricatta,Carnivora,Herpestidae,729.99,0.72999,11.76,PanTHERIA_WR05
Sus salvanius,Artiodactyla,Suidae,7974.13,7.97413,0.15,PanTHERIA_WR05
Sus scrofa,Artiodactyla,Suidae,84471.54,84.47154,1.18,PanTHERIA_WR05
Sylvilagus aquaticus,Lagomorpha,Leporidae,2133.34,2.13334,0.01,PanTHERIA_WR05
Sylvilagus audubonii,Lagomorpha,Leporidae,880.88,0.88088,0.03,PanTHERIA_WR05
Sylvilagus bachmani,Lagomorpha,Leporidae,714.53,0.71453,0.0022227,PanTHERIA_WR05
Sylvilagus floridanus,Lagomorpha,Leporidae,1207.19,1.20719,0.01,PanTHERIA_WR05
Sylvilagus palustris,Lagomorpha,Leporidae,1355.23,1.35523,0.03,PanTHERIA_WR05
Sylvilagus transitionalis,Lagomorpha,Leporidae,813.51,0.81351,0.004289748,PanTHERIA_WR05
