species,order,family,mass_g,mass_kg,home_range_km2,source
Viverra zibetha,Carnivora,Viverridae,9148.77,9.14877,9.36,PanTHERIA_WR05
Vombatus ursinus,Diprotodontia,Vombatidae,26000,26,0.08,PanTHERIA_WR05
Vulpes cana,Carnivora,Canidae,988.5,0.9885,1.17,PanTHERIA_WR05
Vulpes lagopus,Carnivora,Canidae,3584.37,3.58437,14.1,PanTHERIA_WR05
Vulpes macrotis,Carnivora,Canidae,4499.97,4.49997,8.1,PanTHERIA_WR05
Vulpes rueppellii,Carnivora,Canidae,3249.97,3.24997,29.93,PanTHERIA_WR05
Vulpes velox,Carnivora,Canidae,2088,2.088,4.59,PanTHERIA_WR05
Vulpes vulpes,Carnivora,Canidae,4820.36,4.82036,3.5,PanTHERIA_WR05
Wallabia bicolor,Diprotodontia,Macropodidae,14999.95,14.99995,0.11,PanTHERIA_WR05
Xerus erythropus,Rodentia,Sciuridae,602.23,0.60223,0.09,PanTHERIA_WR05
Xerus rutilus,Rodentia,Sciuridae,316.96,0.31696,0.03,PanTHERIA_WR05
Zapus hudsonius,Rodentia,Dipodidae,18.43,0.01843,0.00185499,PanTHERIA_WR05
Zapus princeps,Rodentia,Dipodidae,27.2,0.0272,0.001944219,PanTHERIA_WR05
Zyzomys argurus,Rodentia,Muridae,40.42,0.04042,0.001039588,PanTHERIA_WR05
