species,class,order,family,mass_kg,metabolic_rate,metabolic_rate_units,source
Coturnix chinensis,Aves,Galliformes,Phasianidae,0.0449,0.36668333,W,AnimalTraits
Lichmera indistincta,Aves,Passeriformes,Meliphagidae,0.0101,0.21153889,W,AnimalTraits
Gliciphila melanops,Aves,Passeriformes,Meliphagidae,0.0188,0.2914,W,AnimalTraits
Melithreptus lunatus,Aves,Passeriformes,Meliphagidae,0.0143,0.24786667,W,AnimalTraits
Phylidonyris novaehollandiae,Aves,Passeriformes,Meliphagidae,0.0174,0.31712963,W,AnimalTraits
Acanthorhynchus tenuirostris,Aves,Passeriformes,Meliphagidae,0.0097,0.24884259,W,AnimalTraits
Phylidonyris pyrrhopterus,Aves,Passeriformes,Meliphagidae,0.0146,0.32175926,W,AnimalTraits
Auriparus flaviceps,Aves,Passeriformes,Remizidae,0.0068,0.16395556,W,AnimalTraits
Spizella arborea,Aves,Passeriformes,Passerellidae,0.0166,0.32951667,W,AnimalTraits
Junco hyemalis,Aves,Passeriformes,Passerellidae,0.018,0.29559583,W,AnimalTraits
Melospiza melodia,Aves,Passeriformes,Passerellidae,0.0186,0.377975,W,AnimalTraits
Zonotrichia albicollis,Aves,Passeriformes,Passerellidae,0.0236,0.46035417,W,AnimalTraits
Passerella iliaca,Aves,Passeriformes,Passerellidae,0.0317,0.54757917,W,AnimalTraits
Molothrus ater,Aves,Passeriformes,Icteridae,0.0337,0.53304167,W,AnimalTraits
Corvus cryptoleucus,Aves,Passeriformes,Corvidae,0.64,3.8282083,W,AnimalTraits
Corvus corax,Aves,Passeriformes,Corvidae,0.866,4.5986958,W,AnimalTraits
Excalfactoria chinensis,Aves,Galliformes,Phasianidae,0.0427,0.29075,W,AnimalTraits
Colinus virginianus,Aves,Galliformes,Odontophoridae,0.194,1.1145417,W,AnimalTraits
Leptotila verreauxi,Aves,Columbiformes,Columbidae,0.131,0.8867875,W,AnimalTraits
Ceratopipra mentalis,Aves,Passeriformes,Pipridae,0.0145,0.29753417,W,AnimalTraits
Manacus vitellinus,Aves,Passeriformes,Pipridae,0.0182,0.23647667,W,AnimalTraits
Manacus vitellinus,Aves,Passeriformes,Pipridae,0.015,0.28638875,W,AnimalTraits
Xiphorhynchus guttatus,Aves,Passeriformes,Furnariidade,0.0452,0.44630125,W,AnimalTraits
Thamnophilus punctatus,Aves,Passeriformes,Thamnophilidae,0.021,0.34163125,W,AnimalTraits
Lonchura malacca,Aves,Passeriformes,Estrildidae,0.0118,0.14097222,W,AnimalTraits
Lonchura maja,Aves,Passeriformes,Estrildidae,0.0128,0.15219907,W,AnimalTraits
Passer montanus,Aves,Passeriformes,Passeridae,0.0175,0.19768519,W,AnimalTraits
Pycnonotus goiavier,Aves,Passeriformes,Pycnonotidae,0.0286,0.24467593,W,AnimalTraits
Arachnothera longirostra,Aves,Passeriformes,Nectariniidae,0.013,0.18854167,W,AnimalTraits
Copsychus saularis,Aves,Passeriformes,Muscicapidae,0.0335,0.23113426,W,AnimalTraits
Pycnonotus finlaysoni,Aves,Passeriformes,Pycnonotidae,0.0263,0.22488426,W,AnimalTraits
Malacopteron cinereum,Aves,Passeriformes,Pellorneidae,0.0158,0.21122685,W,AnimalTraits
Alophoixus bres,Aves,Passeriformes,Pycnonotidae,0.035,0.35520833,W,AnimalTraits
Arachnothera flavigaster,Aves,Passeriformes,Nectariniidae,0.0363,0.29861111,W,AnimalTraits
Hypothymis azurea,Aves,Passeriformes,Monarchidae,0.0108,0.13888889,W,AnimalTraits
Chloropsis sonnerati,Aves,Cuculiformes,Chloropseidae,0.0397,0.37847222,W,AnimalTraits
Cacomantis variolosus,Aves,Cuculiformes,Cuculidae,0.0238,0.12152778,W,AnimalTraits
Lanius cristatus,Aves,Passeriformes,Laniidae,0.0268,0.25231481,W,AnimalTraits
Acrocephalus arundinaceus,Aves,Passeriformes,Acrocephalidae,0.0269,0.25578704,W,AnimalTraits
Acrocephalus bistrigiceps,Aves,Passeriformes,Acrocephalidae,0.0219,0.12847222,W,AnimalTraits
Larvivora cyane,Aves,Passeriformes,Muscicapidae,0.0079,0.17361111,W,AnimalTraits
Otus scops,Aves,Strigiformes,Strigidae,0.0134,0.35416667,W,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0784,2.8009259,W,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0867,2.4074074,W,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0845,2.0601852,W,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0794,1.7476852,W,AnimalTraits
Callipepla gambelii,Aves,Galliformes,Odontophoridae,0.145,0.53611111,W,AnimalTraits
Callipepla gambelii,Aves,Galliformes,Odontophoridae,0.145,0.73333333,W,AnimalTraits
Ardenna pacificus,Aves,Procellariiformes,Procellariidae,0.3378,1.5013333,W,AnimalTraits
Puffinus nativitatis,Aves,Procellariiformes,Procellariidae,0.3076,1.4867333,W,AnimalTraits
Pterodroma hypoleuca,Aves,Procellariiformes,Procellariidae,0.1674,0.8463,W,AnimalTraits
Bulweria bulwerii,Aves,Procellariiformes,Procellariidae,0.087,0.51233333,W,AnimalTraits
Phaethon rubricauda,Aves,Phaethontiformes,Phaethontidae,0.5932,3.3614667,W,AnimalTraits
Onychoprion lunatus,Aves,Charadriiformes,Laridae,0.1317,0.70971667,W,AnimalTraits
Gygis alba,Aves,Charadriiformes,Laridae,0.0981,0.82295,W,AnimalTraits
Anous minutus,Aves,Charadriiformes,Laridae,0.0902,0.64142222,W,AnimalTraits
Ocreatus underwoodii,Aves,Apodiformes,Trochilidae,0.0027,0.36975,W,AnimalTraits
Chlorostilbon mellisugus,Aves,Apodiformes,Trochilidae,0.0029,0.34477778,W,AnimalTraits
Orthorhyncus cristatus,Aves,Apodiformes,Trochilidae,0.0029,0.30208333,W,AnimalTraits
Orthorhyncus cristatus,Aves,Apodiformes,Trochilidae,0.0029,0.24166667,W,AnimalTraits
Archilochus alexandri,Aves,Apodiformes,Trochilidae,0.0029,0.38425,W,AnimalTraits
Archilochus alexandri,Aves,Apodiformes,Trochilidae,0.0032,0.42488889,W,AnimalTraits
Chaetocercus mulsant,Aves,Apodiformes,Trochilidae,0.0033,0.40883333,W,AnimalTraits
Urosticte benjamini,Aves,Apodiformes,Trochilidae,0.0039,0.29683333,W,AnimalTraits
Trochilus scitulus,Aves,Apodiformes,Trochilidae,0.004,0.57,W,AnimalTraits
Chrysuronia oenone,Aves,Apodiformes,Trochilidae,0.005,0.59861111,W,AnimalTraits
Florisuga mellivora,Aves,Apodiformes,Trochilidae,0.0069,0.77433333,W,AnimalTraits
Aglaeactis cupripennis,Aves,Apodiformes,Trochilidae,0.0072,0.494,W,AnimalTraits
Boissonneaua matthewsii,Aves,Apodiformes,Trochilidae,0.0072,0.552,W,AnimalTraits
Anthracothorax nigricollis,Aves,Apodiformes,Trochilidae,0.0077,0.57322222,W,AnimalTraits
Eugenes fulgens,Aves,Apodiformes,Trochilidae,0.0079,0.62541667,W,AnimalTraits
Lampornis clemenciae,Aves,Apodiformes,Trochilidae,0.008,0.56,W,AnimalTraits
Lampornis clemenciae,Aves,Apodiformes,Trochilidae,0.0083,0.69627778,W,AnimalTraits
Oreotrochilus estella,Aves,Apodiformes,Trochilidae,0.0085,0.68472222,W,AnimalTraits
Oreotrochilus estella,Aves,Apodiformes,Trochilidae,0.0089,0.53647222,W,AnimalTraits
Eulampis jugularis,Aves,Apodiformes,Trochilidae,0.0095,0.53833333,W,AnimalTraits
Patagona gigas,Aves,Apodiformes,Trochilidae,0.0175,0.95763889,W,AnimalTraits
Onychoprion fuscatus,Aves,Charadriiformes,Laridae,0.1504,0.81048889,W,AnimalTraits
Struthio camelus,Aves,Struthioniformes,Struthionidae,95.4,59.89,W,AnimalTraits
Requena verticalis,Insecta,Orthoptera,Tettigonildae,0.000371,0.0006744738,W,AnimalTraits
Fidicina mannifera,Insecta,Hemiptera,Cicadidae,0.00284,0.00376907,W,AnimalTraits
Blaberus giganteous,Insecta,Blattodea,Blaberidae,0.00433,0.0035911403,W,AnimalTraits
Aphodius fossor,Insecta,Coleoptera,Scarabaeidae,0.0001213,0.00027781069,W,AnimalTraits
Paraponera clavata,Insecta,Hymenoptera,Formicidae,0.00019,0.00041154121,W,AnimalTraits
Onymacris plana,Insecta,Coleoptera,Tenebrionidae,0.000691,0.0012860278,W,AnimalTraits
Onymacris plana,Insecta,Coleoptera,Tenebrionidae,0.000687,0.00057326188,W,AnimalTraits
Physadesmia globosa,Insecta,Coleoptera,Tenebrionidae,0.000652,0.00065562222,W,AnimalTraits
Physadesmia globosa,Insecta,Coleoptera,Tenebrionidae,0.000743,0.00062507254,W,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001226,0.0013009222,W,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001285,0.0010244306,W,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001226,0.00077984791,W,AnimalTraits
Epiphysa arenicola,Insecta,Coleoptera,Tenebrionidae,0.001187,0.00090117719,W,AnimalTraits
Pantophthalmus tabaninus,Insecta,Diptera,Pantophthalmidae,0.001746,0.0029908891,W,AnimalTraits
Sisyphus fasciculatus,Insecta,Coleoptera,Scarabaeidae,0.000136,0.00020853333,W,AnimalTraits
Scarabaeus rusticus,Insecta,Coleoptera,Scarabaeidae,0.000564,0.00047626667,W,AnimalTraits
Anachalcos convexus,Insecta,Coleoptera,Scarabaeidae,0.001421,0.00087628333,W,AnimalTraits
Scarabaeus flavicornis,Insecta,Coleoptera,Scarabaeidae,0.000322,0.00028085556,W,AnimalTraits
Scarabaeus bacchus,Insecta,Coleoptera,Scarabaeidae,0.007285,0.0020640833,W,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000716,0.0013749299,W,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000672,0.0016666667,W,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000704,0.0014240345,W,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000757,0.0010763889,W,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000716,0.0011785113,W,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000252,0.00027498597,W,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000245,0.00047916667,W,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000229,0.00030935922,W,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000258,0.00039583333,W,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.00025,0.00029462783,W,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000607,0.00045176267,W,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000562,0.00047222222,W,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000552,0.00034373246,W,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.00056,0.00028472222,W,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000558,0.00028726213,W,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00461,0.0026614714,W,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00424,0.0024166667,W,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00439,0.0025043365,W,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00343,0.0020555556,W,AnimalTraits
Callipepla californica,Aves,Galliformes,Odontophoridae,0.1496,0.79786667,W,AnimalTraits
Callipepla californica,Aves,Galliformes,Odontophoridae,0.1274,0.74316667,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,4e-05,0.00040689243,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,6.65e-05,0.0007027289,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,3.36e-05,0.00034013047,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,6.22e-05,0.00054057437,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,3.28e-05,0.00023647166,W,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,5.65e-05,0.00033758739,W,AnimalTraits
Periplaneta americana,Insecta,Blattodea,Blattidae,0.00073,0.0021088889,W,AnimalTraits
Blaberus discoidalis,Insecta,Blattodea,Blaberidae,0.00408,0.0038533333,W,AnimalTraits
Gromphadorhina chopardi,Insecta,Blattodea,Blaberidae,0.0034,0.0026444444,W,AnimalTraits
Eublaberus posticus,Insecta,Blattodea,Blaberidae,0.0022,0.0041555556,W,AnimalTraits
Byrsotria fumagata,Insecta,Blattodea,Blaberidae,0.00495,0.0055,W,AnimalTraits
Camponotus herculeanus,Insecta,Hymenoptera,Formicidae,7.48e-06,0.00011178444,W,AnimalTraits
Camponotus herculeanus,Insecta,Hymenoptera,Formicidae,1.042e-05,0.00023792333,W,AnimalTraits
Formica fusca,Insecta,Hymenoptera,Formicidae,1.46e-06,2.1494444e-05,W,AnimalTraits
Formica fusca,Insecta,Hymenoptera,Formicidae,1.23e-06,3.8266667e-05,W,AnimalTraits
Myrmica alaskensis,Insecta,Hymenoptera,Formicidae,1.15e-06,1.0925e-05,W,AnimalTraits
Myrmica alaskensis,Insecta,Hymenoptera,Formicidae,6.7e-07,9.0822222e-06,W,AnimalTraits
Leptothorax acerovorum,Insecta,Hymenoptera,Formicidae,3.7e-07,5.0361111e-06,W,AnimalTraits
Pogonomymex maricopa,Insecta,Hymenoptera,Formicidae,3.78e-06,3.528e-05,W,AnimalTraits
Aphaenogaster cockerelli,Insecta,Hymenoptera,Formicidae,4.72e-06,8.1288889e-05,W,AnimalTraits
Camponotus vafer,Insecta,Hymenoptera,Formicidae,4.51e-06,5.7878333e-05,W,AnimalTraits
Forelius foetidus,Insecta,Hymenoptera,Formicidae,1e-07,1.3222222e-06,W,AnimalTraits
Camponotus sp.,Insecta,Hymenoptera,Formicidae,1.541e-05,7.705e-05,W,AnimalTraits
Camponotus laevigatus,Insecta,Hymenoptera,Formicidae,1.915e-05,0.00011596389,W,AnimalTraits
Formica occulta,Insecta,Hymenoptera,Formicidae,1.3e-06,1.9211111e-05,W,AnimalTraits
Lasius sitiens,Insecta,Hymenoptera,Formicidae,2.9e-07,3.19e-06,W,AnimalTraits
Anthia babaulti,Insecta,Coleoptera,Carabidae,0.001295,0.003174438,W,AnimalTraits
Cypholoba bihamata,Insecta,Coleoptera,Carabidae,0.000245,0.00094705168,W,AnimalTraits
Cypholoba tenuicollis,Insecta,Coleoptera,Carabidae,5.9e-05,0.00024197194,W,AnimalTraits
Cypholoba tetrastigma,Insecta,Coleoptera,Carabidae,0.000132,0.00079026254,W,AnimalTraits
Cypholoba trilunata,Insecta,Coleoptera,Carabidae,0.000213,0.00052212765,W,AnimalTraits
Cypholoba sp.,Insecta,Coleoptera,Carabidae,0.000192,0.00092319861,W,AnimalTraits
Chilanthia cavernosa,Insecta,Coleoptera,Carabidae,0.001026,0.0015477153,W,AnimalTraits
Anthia hexastictum,Insecta,Coleoptera,Carabidae,0.002025,0.0023864854,W,AnimalTraits
Cypholoba chanleri,Insecta,Coleoptera,Carabidae,0.000326,0.00076838937,W,AnimalTraits
Crepidogaster bioculata,Insecta,Coleoptera,Carabidae,0.000171,0.00028213561,W,AnimalTraits
Triaenogenius sculpturatus,Insecta,Coleoptera,Carabidae,0.00017,0.00033658283,W,AnimalTraits
Calosoma chlorostictum,Insecta,Coleoptera,Carabidae,0.000521,0.00078592562,W,AnimalTraits
Calosoma indet,Insecta,Coleoptera,Carabidae,7.9e-05,0.0005250975,W,AnimalTraits
Phrynocolus petrosus,Insecta,Coleoptera,Tenebrionidae,0.001109,0.0003502677,W,AnimalTraits
Phrynocolus sp.,Insecta,Coleoptera,Tenebrionidae,0.000204,0.00018848638,W,AnimalTraits
Vieta muscosa,Insecta,Coleoptera,Tenebrionidae,0.00014,0.0001333132,W,AnimalTraits
Pimelia cenchronota,Insecta,Coleoptera,Tenebrionidae,0.001474,0.00061146823,W,AnimalTraits
Adesmia baccata,Insecta,Coleoptera,Tenebrionidae,0.000407,0.00017651271,W,AnimalTraits
Rhytinota praelonga,Insecta,Coleoptera,Tenebrionidae,0.000105,9.8499975e-05,W,AnimalTraits
Zophosis congesta,Insecta,Coleoptera,Tenebrionidae,1.1e-05,1.0111627e-05,W,AnimalTraits
Peristeptus sp.,Insecta,Coleoptera,Tenebrionidae,5.5e-05,5.3669405e-05,W,AnimalTraits
Phrynocolus auriculatus,Insecta,Coleoptera,Tenebrionidae,0.000193,0.00016649536,W,AnimalTraits
Vieta bulbifera,Insecta,Coleoptera,Tenebrionidae,0.000479,0.0005306365,W,AnimalTraits
Nauphoeta cinerea,Insecta,Blattodea,Blaberidae,0.000515,0.00072816761,W,AnimalTraits
Stenodontes molaria,Insecta,Coleoptera,Cerambycidae,0.001798,0.004211894,W,AnimalTraits
Stenodontes molaria,Insecta,Coleoptera,Cerambycidae,0.004089,0.0080601816,W,AnimalTraits
Stenodontes sp.,Insecta,Coleoptera,Cerambycidae,0.001043,0.0020096797,W,AnimalTraits
Dryoctenes scrupulosa,Insecta,Coleoptera,Cerambycidae,0.001823,0.0027824191,W,AnimalTraits
Macrodontia dejeani,Insecta,Coleoptera,Cerambycidae,0.00486,0.0076810431,W,AnimalTraits
Xenambyx laticauda,Insecta,Coleoptera,Cerambycidae,0.001217,0.0015481172,W,AnimalTraits
Nyssicus setosus,Insecta,Coleoptera,Cerambycidae,0.000996,0.00070467869,W,AnimalTraits
Brasilanus batus,Insecta,Coleoptera,Cerambycidae,0.001965,0.0061384297,W,AnimalTraits
Oncideres putator,Insecta,Coleoptera,Cerambycidae,0.000681,0.0010792843,W,AnimalTraits
Acanthoderes circumflexa,Insecta,Coleoptera,Cerambycidae,0.000139,0.0002679573,W,AnimalTraits
Trachysomus peregrinus,Insecta,Coleoptera,Cerambycidae,0.000547,0.00059460356,W,AnimalTraits
Eburia sp.,Insecta,Coleoptera,Cerambycidae,0.000715,0.002024461,W,AnimalTraits
Eburia sp.,Insecta,Coleoptera,Cerambycidae,0.000449,0.00061557221,W,AnimalTraits
Acrocinus longimanus,Insecta,Coleoptera,Cerambycidae,0.005383,0.018355075,W,AnimalTraits
Taeinotes scalaris,Insecta,Coleoptera,Cerambycidae,0.000397,0.00093785053,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.000937,0.00052488563,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001105,0.001905375,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001078,0.0010867349,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.003879,0.0020059301,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.005289,0.0017222222,W,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001335,0.0012504024,W,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.0037,0.0031123309,W,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.005389,0.0054779533,W,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.0048,0.0060003119,W,AnimalTraits
Coeloesis biloba,Insecta,Coleoptera,Scarabaeidae,0.00278,0.0018458321,W,AnimalTraits
Coeloesis biloba,Insecta,Coleoptera,Scarabaeidae,0.00469,0.0056158586,W,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000273,0.00077405861,W,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000338,0.00089935686,W,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.00017,0.00047634376,W,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000204,0.00020236581,W,AnimalTraits
Anomala sp.,Insecta,Coleoptera,Scarabaeidae,0.0001,0.00013491054,W,AnimalTraits
Dyscinetus sp.,Insecta,Coleoptera,Scarabaeidae,0.00039,0.00046246943,W,AnimalTraits
Popilius sp.,Insecta,Coleoptera,Passalidae,0.000563,0.00078732844,W,AnimalTraits
Nyctobates procerus,Insecta,Coleoptera,Tenebrionidae,0.002198,0.0017267461,W,AnimalTraits
Zophobas sp.,Insecta,Coleoptera,Tenebrionidae,0.000535,0.0012504024,W,AnimalTraits
Glossina pallidipes,Insecta,Diptera,Glossinidae,2.316e-05,0.0001516928,W,AnimalTraits
Glossina pallidipes,Insecta,Diptera,Glossinidae,2.672e-05,0.00015878125,W,AnimalTraits
Coptotermes formosanus,Insecta,Blattodea,Rhinotermitidae,3.99e-06,1.0228986e-05,W,AnimalTraits
Reticlitermes flavipes,Insecta,Blattodea,Rhinotermitidae,4.14e-06,1.7358264e-05,W,AnimalTraits
Solenopsis invicta,Insecta,Hymenoptera,Formicidae,2.96e-06,6.6435556e-06,W,AnimalTraits
Rhodnius prolixus,Insecta,Hemiptera,Reduviidae,2e-05,0.00015414928,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,9.4e-07,7.9195959e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,9.8e-07,2.5455844e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.15e-06,3.2526912e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.17e-06,5.0911688e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.59e-06,4.9497475e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.9e-06,5.2325902e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,2.9e-06,1.2445079e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,3.32e-06,1.0889444e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.3e-06,1.5839192e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.64e-06,9.7580736e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.74e-06,1.2727922e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.87e-06,1.2869343e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,5.58e-06,1.3859293e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.02e-06,1.8384776e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.58e-06,1.880904e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.6e-06,1.6970563e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.95e-06,1.8526198e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.97e-06,1.1172287e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.11e-06,1.0182338e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.28e-06,1.2869343e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.33e-06,1.3859293e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.48e-06,9.7580736e-06,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.87e-06,2.0788939e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.3e-06,2.3193102e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.8e-06,1.0606602e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.9e-06,1.3717872e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.024e-05,1.3293607e-05,W,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.048e-05,1.767767e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,3.6e-06,1.46e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.5e-06,8.6e-06,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.5e-06,1.46e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.9e-06,1.33e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,7.4e-06,2.29e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,8.3e-06,1.32e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.04e-05,2.13e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.04e-05,2.36e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.14e-05,2.31e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.2e-05,1.79e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.2e-05,1.89e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.23e-05,4.89e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.27e-05,2.66e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.35e-05,2.64e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.5e-05,2.57e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.6e-05,1.67e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.6e-05,2.36e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.76e-05,2.99e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.9e-05,5.18e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.92e-05,3.62e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.99e-05,2.98e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.15e-05,3.37e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.22e-05,4.91e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.35e-05,5.25e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.44e-05,3.07e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.67e-05,4.12e-05,W,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,3.33e-05,3.65e-05,W,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.085e-05,1.79e-05,W,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.386e-05,2.65e-05,W,AnimalTraits
