species,order,family,mass_g,mass_kg,weaning_days,source
Antechinus minimus,Dasyuromorphia,Dasyuridae,52.56,0.05256,99.1,PanTHERIA_WR05
Antechinus stuartii,Dasyuromorphia,Dasyuridae,29.01,0.02901,89.74,PanTHERIA_WR05
Antechinus swainsonii,Dasyuromorphia,Dasyuridae,58.69,0.05869,105.66,PanTHERIA_WR05
Antidorcas marsupialis,Artiodactyla,Bovidae,33571.24,33.57124,57.45,PanTHERIA_WR05
Antilocapra americana,Artiodactyla,Antilocapridae,47450.01,47.45001,87.54,PanTHERIA_WR05
Antilope cervicapra,Artiodactyla,Bovidae,36301.1,36.3011,59.5,PanTHERIA_WR05
Antrozous pallidus,Chiroptera,Vespertilionidae,22.24,0.02224,61.1,PanTHERIA_WR05
Aonyx cinerea,Carnivora,Mustelidae,3527.59,3.52759,79.54,PanTHERIA_WR05
Aotus azarae,Primates,Aotidae,929.57,0.92957,229.69,PanTHERIA_WR05
Aotus lemurinus,Primates,Aotidae,865.96,0.86596,74.57,PanTHERIA_WR05
Aotus trivirgatus,Primates,Aotidae,912.4,0.9124,76.21,PanTHERIA_WR05
Aplodontia rufa,Rodentia,Aplodontiidae,806.21,0.80621,58.4,PanTHERIA_WR05
Apodemus sylvaticus,Rodentia,Muridae,21.9,0.0219,19.36,PanTHERIA_WR05
Arborimus longicaudus,Rodentia,Cricetidae,22.39,0.02239,30.49,PanTHERIA_WR05
Arborimus pomo,Rodentia,Cricetidae,32.49,0.03249,35.29,PanTHERIA_WR05
Arctictis binturong,Carnivora,Viverridae,12999.99,12.99999,117.57,PanTHERIA_WR05
Arctocebus calabarensis,Primates,Lorisidae,258.01,0.25801,109.26,PanTHERIA_WR05
Arctocephalus australis,Carnivora,Otariidae,67979.43,67.97943,365,PanTHERIA_WR05
Arctocephalus forsteri,Carnivora,Otariidae,101249.99,101.24999,323.72,PanTHERIA_WR05
Arctocephalus galapagoensis,Carnivora,Otariidae,39448.04,39.44804,821.25,PanTHERIA_WR05
Arctocephalus gazella,Carnivora,Otariidae,96599.99,96.59999,116.28,PanTHERIA_WR05
Arctocephalus pusillus,Carnivora,Otariidae,178500,178.5,356.3,PanTHERIA_WR05
Arctocephalus townsendi,Carnivora,Otariidae,101063.71,101.06371,328.13,PanTHERIA_WR05
Arctocephalus tropicalis,Carnivora,Otariidae,92222.55,92.22255,304.16,PanTHERIA_WR05
Arctogalidia trivirgata,Carnivora,Viverridae,2323.79,2.32379,49.41,PanTHERIA_WR05
Arctonyx collaris,Carnivora,Mustelidae,8166.52,8.16652,165.64,PanTHERIA_WR05
Arvicanthis niloticus,Rodentia,Muridae,95.8,0.0958,21,PanTHERIA_WR05
Arvicola amphibius,Rodentia,Cricetidae,120,0.12,14,PanTHERIA_WR05
Atelerix albiventris,Erinaceomorpha,Erinaceidae,293.44,0.29344,59.27,PanTHERIA_WR05
Tarsius tarsier,Primates,Tarsiidae,168.04,0.16804,67.61,PanTHERIA_WR05
Tatera indica,Rodentia,Muridae,138.28,0.13828,29.77,PanTHERIA_WR05
Taterillus pygargus,Rodentia,Muridae,60.19,0.06019,20.92,PanTHERIA_WR05
Taurotragus oryx,Artiodactyla,Bovidae,562592.69,562.59269,128.68,PanTHERIA_WR05
