species,order,family,mass_g,mass_kg,weaning_days,source
Dicrostonyx groenlandicus,Rodentia,Cricetidae,58.44,0.05844,17.42,PanTHERIA_WR05
Dicrostonyx torquatus,Rodentia,Cricetidae,78.77,0.07877,30.41,PanTHERIA_WR05
Didelphis albiventris,Didelphimorphia,Didelphidae,1030.47,1.03047,116.5,PanTHERIA_WR05
Didelphis aurita,Didelphimorphia,Didelphidae,1105.88,1.10588,99.71,PanTHERIA_WR05
Didelphis marsupialis,Didelphimorphia,Didelphidae,1134.75,1.13475,92.47,PanTHERIA_WR05
Didelphis virginiana,Didelphimorphia,Didelphidae,2442.08,2.44208,109.62,PanTHERIA_WR05
Elephantulus intufi,Macroscelidea,Macroscelididae,48.9,0.0489,36.49,PanTHERIA_WR05
Elephantulus myurus,Macroscelidea,Macroscelididae,59.51,0.05951,22.82,PanTHERIA_WR05
Elephantulus rufescens,Macroscelidea,Macroscelididae,52.78,0.05278,24.85,PanTHERIA_WR05
Elephas maximus,Proboscidea,Elephantidae,3269794.3,3269.7943,218.26,PanTHERIA_WR05
Eliomys quercinus,Rodentia,Gliridae,114.61,0.11461,34.8,PanTHERIA_WR05
Ellobius talpinus,Rodentia,Cricetidae,40,0.04,59.99,PanTHERIA_WR05
Heterocephalus glaber,Rodentia,Bathyergidae,39.36,0.03936,27.28,PanTHERIA_WR05
Heterohyrax brucei,Hyracoidea,Procaviidae,2453.66,2.45366,129.04,PanTHERIA_WR05
Heteromys desmarestianus,Rodentia,Heteromyidae,74,0.074,29.77,PanTHERIA_WR05
Lagostomus maximus,Rodentia,Chinchillidae,4660.94,4.66094,55.68,PanTHERIA_WR05
Lagostrophus fasciatus,Diprotodontia,Macropodidae,1933.48,1.93348,269.23,PanTHERIA_WR05
Lagothrix lagotricha,Primates,Atelidae,6263.69,6.26369,312.66,PanTHERIA_WR05
Lagurus lagurus,Rodentia,Cricetidae,20.6,0.0206,20.84,PanTHERIA_WR05
Lama glama,Artiodactyla,Camelidae,78322.67,78.32267,131.7,PanTHERIA_WR05
Eudorcas thomsonii,Artiodactyla,Bovidae,22907.43,22.90743,93.25,PanTHERIA_WR05
Eulemur fulvus,Primates,Lemuridae,2376.99,2.37699,134.64,PanTHERIA_WR05
Eulemur macaco,Primates,Lemuridae,2470.43,2.47043,143.28,PanTHERIA_WR05
Eulemur mongoz,Primates,Lemuridae,1771.13,1.77113,151.13,PanTHERIA_WR05
Eulemur rubriventer,Primates,Lemuridae,2015.4,2.0154,151.22,PanTHERIA_WR05
Eumetopias jubatus,Carnivora,Otariidae,382466.74,382.46674,351,PanTHERIA_WR05
Galago zanzibaricus,Primates,Galagidae,147.35,0.14735,59.27,PanTHERIA_WR05
Galea musteloides,Rodentia,Caviidae,386.64,0.38664,31.13,PanTHERIA_WR05
Galea spixii,Rodentia,Caviidae,360.61,0.36061,42.09,PanTHERIA_WR05
Galerella sanguinea,Carnivora,Herpestidae,543.83,0.54383,54.44,PanTHERIA_WR05
Galidia elegans,Carnivora,Eupleridae,810,0.81,59.27,PanTHERIA_WR05
Gazella dorcas,Artiodactyla,Bovidae,15635.95,15.63595,61.35,PanTHERIA_WR05
Gazella gazella,Artiodactyla,Bovidae,21306.83,21.30683,86.17,PanTHERIA_WR05
Gazella subgutturosa,Artiodactyla,Bovidae,26981.37,26.98137,116.41,PanTHERIA_WR05
Bassaricyon gabbii,Carnivora,Procyonidae,1250,1.25,89.49,PanTHERIA_WR05
Bassariscus astutus,Carnivora,Procyonidae,1010.37,1.01037,53.84,PanTHERIA_WR05
Bassariscus sumichrasti,Carnivora,Procyonidae,906,0.906,119.32,PanTHERIA_WR05
Bathyergus janetta,Rodentia,Bathyergidae,388.69,0.38869,27.79,PanTHERIA_WR05
Bathyergus suillus,Rodentia,Bathyergidae,777.38,0.77738,20.84,PanTHERIA_WR05
Beamys hindei,Rodentia,Nesomyidae,75.8,0.0758,38.49,PanTHERIA_WR05
Bettongia gaimardi,Diprotodontia,Potoroidae,1667.55,1.66755,121.32,PanTHERIA_WR05
Bettongia lesueur,Diprotodontia,Potoroidae,1447.27,1.44727,164.53,PanTHERIA_WR05
Bettongia penicillata,Diprotodontia,Potoroidae,1184.35,1.18435,150,PanTHERIA_WR05
Bettongia tropica,Diprotodontia,Potoroidae,1256.58,1.25658,149.57,PanTHERIA_WR05
Bradypus torquatus,Pilosa,Bradypodidae,4468.42,4.46842,28.28,PanTHERIA_WR05
Bradypus tridactylus,Pilosa,Bradypodidae,4375.8,4.3758,68.2,PanTHERIA_WR05
Bradypus variegatus,Pilosa,Bradypodidae,4136.36,4.13636,39.28,PanTHERIA_WR05
Bubalus bubalis,Artiodactyla,Bovidae,929500.97,929.50097,240.31,PanTHERIA_WR05
Budorcas taxicolor,Artiodactyla,Bovidae,294515.33,294.51533,118.55,PanTHERIA_WR05
Bunopithecus hoolock,Primates,Hylobatidae,6699,6.699,635.13,PanTHERIA_WR05
Chinchilla chinchilla,Rodentia,Chinchillidae,499.99,0.49999,48.99,PanTHERIA_WR05
Chionomys nivalis,Rodentia,Cricetidae,42.01,0.04201,21,PanTHERIA_WR05
Chironectes minimus,Didelphimorphia,Didelphidae,974.33,0.97433,108.36,PanTHERIA_WR05
Chiropodomys gliroides,Rodentia,Muridae,23.68,0.02368,16.87,PanTHERIA_WR05
Chlorocebus aethiops,Primates,Cercopithecidae,3695.99,3.69599,217.76,PanTHERIA_WR05
Burramys parvus,Diprotodontia,Burramyidae,44.27,0.04427,59.82,PanTHERIA_WR05
Cacajao calvus,Primates,Pitheciidae,3421.04,3.42104,339.29,PanTHERIA_WR05
Capreolus capreolus,Artiodactyla,Cervidae,22502.01,22.50201,79.75,PanTHERIA_WR05
Capreolus pygargus,Artiodactyla,Cervidae,41371.03,41.37103,136.1,PanTHERIA_WR05
Capricornis crispus,Artiodactyla,Bovidae,43030.64,43.03064,59.27,PanTHERIA_WR05
Capricornis sumatraensis,Artiodactyla,Bovidae,110942.22,110.94222,166.34,PanTHERIA_WR05
Capromys pilorides,Rodentia,Capromyidae,5200,5.2,41.99,PanTHERIA_WR05
Caracal caracal,Carnivora,Felidae,11964.38,11.96438,120.41,PanTHERIA_WR05
Cardioderma cor,Chiroptera,Megadermatidae,26.45,0.02645,55.8,PanTHERIA_WR05
Carollia perspicillata,Chiroptera,Phyllostomidae,19.23,0.01923,35.63,PanTHERIA_WR05
Castor canadensis,Rodentia,Castoridae,18124.41,18.12441,46.5,PanTHERIA_WR05
Castor fiber,Rodentia,Castoridae,19000,19,60.18,PanTHERIA_WR05
Catagonus wagneri,Artiodactyla,Tayassuidae,35566.4,35.5664,60.37,PanTHERIA_WR05
Cavia aperea,Rodentia,Caviidae,524.38,0.52438,20.86,PanTHERIA_WR05
Cavia fulgida,Rodentia,Caviidae,282.5,0.2825,20.88,PanTHERIA_WR05
Cavia magna,Rodentia,Caviidae,459.99,0.45999,20.88,PanTHERIA_WR05
Cavia porcellus,Rodentia,Caviidae,727.99,0.72799,16.68,PanTHERIA_WR05
Cavia tschudii,Rodentia,Caviidae,1000,1,20.88,PanTHERIA_WR05
Cebus albifrons,Primates,Cebidae,2509.68,2.50968,270.32,PanTHERIA_WR05
Cebus apella,Primates,Cebidae,2758.38,2.75838,263.12,PanTHERIA_WR05
Cebus capucinus,Primates,Cebidae,3005.99,3.00599,514.07,PanTHERIA_WR05
Cebus olivaceus,Primates,Cebidae,2787.64,2.78764,725.86,PanTHERIA_WR05
Crocidura leucodon,Soricomorpha,Soricidae,10.88,0.01088,23.36,PanTHERIA_WR05
Cheirogaleus major,Primates,Cheirogaleidae,446.02,0.44602,47.14,PanTHERIA_WR05
Cheirogaleus medius,Primates,Cheirogaleidae,196.76,0.19676,60.65,PanTHERIA_WR05
Choloepus didactylus,Pilosa,Megalonychidae,6646.5,6.6465,52.61,PanTHERIA_WR05
Choloepus hoffmanni,Pilosa,Megalonychidae,5893.5,5.8935,46.4,PanTHERIA_WR05
Chrysochloris asiatica,Afrosoricida,Chrysochloridae,37.16,0.03716,74.43,PanTHERIA_WR05
Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,55.76,0.05576,70.72,PanTHERIA_WR05
Chrysocyon brachyurus,Carnivora,Canidae,23325,23.325,119,PanTHERIA_WR05
Civettictis civetta,Carnivora,Viverridae,12075.58,12.07558,82.91,PanTHERIA_WR05
Coendou bicolor,Rodentia,Erethizontidae,4492.49,4.49249,69.6,PanTHERIA_WR05
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,4.1162,69.54,PanTHERIA_WR05
Colobus guereza,Primates,Cercopithecidae,9925.88,9.92588,387.79,PanTHERIA_WR05
Colobus polykomos,Primates,Cercopithecidae,8797.29,8.79729,213.78,PanTHERIA_WR05
Condylura cristata,Soricomorpha,Talpidae,48.15,0.04815,20.84,PanTHERIA_WR05
Conepatus leuconotus,Carnivora,Mephitidae,3293.91,3.29391,45.56,PanTHERIA_WR05
Conilurus penicillatus,Rodentia,Muridae,175.02,0.17502,24.4,PanTHERIA_WR05
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,156.54753,111.57,PanTHERIA_WR05
Dasyprocta azarae,Rodentia,Dasyproctidae,2976.81,2.97681,140,PanTHERIA_WR05
Dasyprocta cristata,Rodentia,Dasyproctidae,2650.03,2.65003,140,PanTHERIA_WR05
Dasyprocta fuliginosa,Rodentia,Dasyproctidae,3500.02,3.50002,140,PanTHERIA_WR05
Dasyprocta guamara,Rodentia,Dasyproctidae,2650.03,2.65003,140,PanTHERIA_WR05
Dasyprocta kalinowskii,Rodentia,Dasyproctidae,2650.03,2.65003,140,PanTHERIA_WR05
Dasyprocta leporina,Rodentia,Dasyproctidae,3009.99,3.00999,140,PanTHERIA_WR05
Dasyprocta mexicana,Rodentia,Dasyproctidae,4999.99,4.99999,140,PanTHERIA_WR05
Dasyprocta prymnolopha,Rodentia,Dasyproctidae,2900,2.9,140,PanTHERIA_WR05
Dasyprocta punctata,Rodentia,Dasyproctidae,2309.12,2.30912,140,PanTHERIA_WR05
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,3.94901,136.87,PanTHERIA_WR05
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,4.73116,28,PanTHERIA_WR05
Eupleres goudotii,Carnivora,Eupleridae,2763.34,2.76334,62.99,PanTHERIA_WR05
Connochaetes taurinus,Artiodactyla,Bovidae,198619.68,198.61968,256.32,PanTHERIA_WR05
Corynorhinus rafinesquii,Chiroptera,Vespertilionidae,9.15,0.00915,21,PanTHERIA_WR05
Corynorhinus townsendii,Chiroptera,Vespertilionidae,10.3,0.0103,40.5,PanTHERIA_WR05
Cricetomys gambianus,Rodentia,Nesomyidae,1267.52,1.26752,34.54,PanTHERIA_WR05
Crocuta crocuta,Carnivora,Hyaenidae,63369.98,63.36998,371.37,PanTHERIA_WR05
Crossarchus obscurus,Carnivora,Herpestidae,1395.09,1.39509,29.23,PanTHERIA_WR05
Cryptomys damarensis,Rodentia,Bathyergidae,112.2,0.1122,18.02,PanTHERIA_WR05
Cryptomys darlingi,Rodentia,Bathyergidae,65.58,0.06558,27.28,PanTHERIA_WR05
Cryptomys hottentotus,Rodentia,Bathyergidae,75.13,0.07513,32.07,PanTHERIA_WR05
Cryptomys mechowi,Rodentia,Bathyergidae,271.54,0.27154,38.49,PanTHERIA_WR05
Cryptoprocta ferox,Carnivora,Eupleridae,9500,9.5,136.1,PanTHERIA_WR05
Cryptotis parva,Soricomorpha,Soricidae,4.97,0.00497,20.34,PanTHERIA_WR05
Ctenomys talarum,Rodentia,Ctenomyidae,140.84,0.14084,34.8,PanTHERIA_WR05
Cuniculus paca,Rodentia,Cuniculidae,8172.55,8.17255,82.75,PanTHERIA_WR05
Cuon alpinus,Carnivora,Canidae,15800,15.8,57.33,PanTHERIA_WR05
Cynictis penicillata,Carnivora,Herpestidae,694.41,0.69441,41.76,PanTHERIA_WR05
Cynocephalus volans,Dermoptera,Cynocephalidae,1250,1.25,198.5,PanTHERIA_WR05
Cynomys gunnisoni,Rodentia,Sciuridae,797.93,0.79793,36.65,PanTHERIA_WR05
Cynomys leucurus,Rodentia,Sciuridae,963.76,0.96376,31.76,PanTHERIA_WR05
Cynomys ludovicianus,Rodentia,Sciuridae,797.05,0.79705,45.57,PanTHERIA_WR05
Cynomys mexicanus,Rodentia,Sciuridae,899.98,0.89998,46.35,PanTHERIA_WR05
Cynopterus brachyotis,Chiroptera,Pteropodidae,33.87,0.03387,48.99,PanTHERIA_WR05
Cynopterus sphinx,Chiroptera,Pteropodidae,44.71,0.04471,32.49,PanTHERIA_WR05
Cystophora cristata,Carnivora,Phocidae,278896.81,278.89681,9.5,PanTHERIA_WR05
Dama dama,Artiodactyla,Cervidae,57224.61,57.22461,177.63,PanTHERIA_WR05
Damaliscus pygargus,Artiodactyla,Bovidae,77784.55,77.78455,121.66,PanTHERIA_WR05
Dasycercus cristicauda,Dasyuromorphia,Dasyuridae,99.54,0.09954,105.85,PanTHERIA_WR05
Dasykaluta rosamondae,Dasyuromorphia,Dasyuridae,32.17,0.03217,113,PanTHERIA_WR05
Dasymys incomtus,Rodentia,Muridae,127.75,0.12775,30,PanTHERIA_WR05
Dasyuroides byrnei,Dasyuromorphia,Dasyuridae,109.47,0.10947,118.11,PanTHERIA_WR05
Dasyurus albopunctatus,Dasyuromorphia,Dasyuridae,603.48,0.60348,97.65,PanTHERIA_WR05
Dasyurus geoffroii,Dasyuromorphia,Dasyuridae,1106.62,1.10662,154.12,PanTHERIA_WR05
Dasyurus hallucatus,Dasyuromorphia,Dasyuridae,470.92,0.47092,141.89,PanTHERIA_WR05
Dasyurus maculatus,Dasyuromorphia,Dasyuridae,3284.15,3.28415,134.99,PanTHERIA_WR05
Dasyurus spartacus,Dasyuromorphia,Dasyuridae,885.67,0.88567,97.65,PanTHERIA_WR05
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae,1101.49,1.10149,156.6,PanTHERIA_WR05
Daubentonia madagascariensis,Primates,Daubentoniidae,2731.37,2.73137,197.7,PanTHERIA_WR05
Dipodomys deserti,Rodentia,Heteromyidae,107.63,0.10763,24.17,PanTHERIA_WR05
Dipodomys heermanni,Rodentia,Heteromyidae,63.08,0.06308,25.9,PanTHERIA_WR05
Dipodomys merriami,Rodentia,Heteromyidae,37.91,0.03791,20.42,PanTHERIA_WR05
Dipodomys microps,Rodentia,Heteromyidae,56.26,0.05626,21,PanTHERIA_WR05
Dipodomys nitratoides,Rodentia,Heteromyidae,41.59,0.04159,22.37,PanTHERIA_WR05
Dipodomys panamintinus,Rodentia,Heteromyidae,73.67,0.07367,27.89,PanTHERIA_WR05
Dipodomys spectabilis,Rodentia,Heteromyidae,124.61,0.12461,23.47,PanTHERIA_WR05
Dipodomys stephensi,Rodentia,Heteromyidae,68.49,0.06849,19.86,PanTHERIA_WR05
Dobsonia magna,Chiroptera,Pteropodidae,465,0.465,165,PanTHERIA_WR05
Dobsonia moluccensis,Chiroptera,Pteropodidae,447.64,0.44764,166.2,PanTHERIA_WR05
Dolichotis patagonum,Rodentia,Caviidae,8000,8,76.28,PanTHERIA_WR05
Dorcopsis atrata,Diprotodontia,Macropodidae,6198.87,6.19887,362.93,PanTHERIA_WR05
Dorcopsis hageni,Diprotodontia,Macropodidae,5499.99,5.49999,304.99,PanTHERIA_WR05
Dorcopsis luctuosa,Diprotodontia,Macropodidae,4939.56,4.93956,300.95,PanTHERIA_WR05
Dorcopsis muelleri,Diprotodontia,Macropodidae,5370.79,5.37079,269.23,PanTHERIA_WR05
Dryomys laniger,Rodentia,Gliridae,25.91,0.02591,31.32,PanTHERIA_WR05
Dryomys nitedula,Rodentia,Gliridae,29.5,0.0295,31.32,PanTHERIA_WR05
Dugong dugon,Sirenia,Dugongidae,295000,295,545.94,PanTHERIA_WR05
Echinops telfairi,Afrosoricida,Tenrecidae,152.25,0.15225,31.18,PanTHERIA_WR05
Ectophylla alba,Chiroptera,Phyllostomidae,5.55,0.00555,24.98,PanTHERIA_WR05
Eidolon helvum,Chiroptera,Pteropodidae,254.61,0.25461,60.83,PanTHERIA_WR05
Eira barbara,Carnivora,Mustelidae,4134.99,4.13499,94.46,PanTHERIA_WR05
Elaphurus davidianus,Artiodactyla,Cervidae,165989.17,165.98917,155.59,PanTHERIA_WR05
Elephantulus edwardii,Macroscelidea,Macroscelididae,49.69,0.04969,27.28,PanTHERIA_WR05
Enhydra lutris,Carnivora,Mustelidae,27410.93,27.41093,178.98,PanTHERIA_WR05
Eoglaucomys fimbriatus,Rodentia,Sciuridae,510,0.51,75.47,PanTHERIA_WR05
Eonycteris spelaea,Chiroptera,Pteropodidae,58.7,0.0587,59.95,PanTHERIA_WR05
Epomophorus crypturus,Chiroptera,Pteropodidae,95.04,0.09504,60.83,PanTHERIA_WR05
Epomophorus gambianus,Chiroptera,Pteropodidae,134.59,0.13459,59.99,PanTHERIA_WR05
Epomophorus wahlbergi,Chiroptera,Pteropodidae,93.59,0.09359,668.8,PanTHERIA_WR05
Epomops buettikoferi,Chiroptera,Pteropodidae,135.67,0.13567,55.65,PanTHERIA_WR05
Eptesicus fuscus,Chiroptera,Vespertilionidae,17.49,0.01749,34.18,PanTHERIA_WR05
Genetta tigrina,Carnivora,Viverridae,2066.57,2.06657,87.77,PanTHERIA_WR05
Geocapromys brownii,Rodentia,Capromyidae,1497.48,1.49748,2.17,PanTHERIA_WR05
Geocapromys ingrahami,Rodentia,Capromyidae,733.52,0.73352,5.84,PanTHERIA_WR05
Geogale aurita,Afrosoricida,Tenrecidae,6.69,0.00669,34.86,PanTHERIA_WR05
Geomys bursarius,Rodentia,Geomyidae,203.75,0.20375,34.9,PanTHERIA_WR05
Geomys knoxjonesi,Rodentia,Geomyidae,172.49,0.17249,24.36,PanTHERIA_WR05
Geomys tropicalis,Rodentia,Geomyidae,349.99,0.34999,30.24,PanTHERIA_WR05
Georychus capensis,Rodentia,Bathyergidae,188.36,0.18836,21.83,PanTHERIA_WR05
Gerbilliscus brantsii,Rodentia,Muridae,89.41,0.08941,28.78,PanTHERIA_WR05
Gerbilliscus inclusus,Rodentia,Muridae,118.5,0.1185,21.99,PanTHERIA_WR05
Gerbilliscus leucogaster,Rodentia,Muridae,73.75,0.07375,27.89,PanTHERIA_WR05
Gerbillurus paeba,Rodentia,Muridae,25.91,0.02591,22.84,PanTHERIA_WR05
Gerbillurus setzeri,Rodentia,Muridae,38.29,0.03829,25.35,PanTHERIA_WR05
Gerbillurus tytonis,Rodentia,Muridae,29.79,0.02979,29,PanTHERIA_WR05
Gerbillurus vallinus,Rodentia,Muridae,35.24,0.03524,25.35,PanTHERIA_WR05
Eschrichtius robustus,Cetacea,Eschrichtiidae,27324024,27324.024,211.71,PanTHERIA_WR05
Eubalaena australis,Cetacea,Balaenidae,23000000,23000,296.33,PanTHERIA_WR05
Eubalaena glacialis,Cetacea,Balaenidae,23000000,23000,333.63,PanTHERIA_WR05
Eumops bonariensis,Chiroptera,Molossidae,12.22,0.01222,48.99,PanTHERIA_WR05
Eumops glaucinus,Chiroptera,Molossidae,36.2,0.0362,38.49,PanTHERIA_WR05
Felis chaus,Carnivora,Felidae,7157.99,7.15799,95.49,PanTHERIA_WR05
Felis nigripes,Carnivora,Felidae,1362.77,1.36277,67.23,PanTHERIA_WR05
Gulo gulo,Carnivora,Mustelidae,12792.49,12.79249,83.64,PanTHERIA_WR05
Gymnobelideus leadbeateri,Diprotodontia,Petauridae,137.32,0.13732,119.32,PanTHERIA_WR05
Halichoerus grypus,Carnivora,Phocidae,197570.01,197.57001,18.37,PanTHERIA_WR05
Hapalemur griseus,Primates,Lemuridae,916,0.916,136.29,PanTHERIA_WR05
Haplonycteris fischeri,Chiroptera,Pteropodidae,18.25,0.01825,76.04,PanTHERIA_WR05
Harpyionycteris whiteheadi,Chiroptera,Pteropodidae,135.48,0.13548,111.6,PanTHERIA_WR05
Helarctos malayanus,Carnivora,Ursidae,57075.78,57.07578,90.36,PanTHERIA_WR05
Herpestes ichneumon,Carnivora,Herpestidae,2980.02,2.98002,58.09,PanTHERIA_WR05
Herpestes javanicus,Carnivora,Herpestidae,750,0.75,43.59,PanTHERIA_WR05
Felis silvestris,Carnivora,Felidae,4573.08,4.57308,76.01,PanTHERIA_WR05
Fossa fossana,Carnivora,Eupleridae,1853.98,1.85398,66.84,PanTHERIA_WR05
Funambulus pennantii,Rodentia,Sciuridae,102.49,0.10249,56,PanTHERIA_WR05
Funambulus tristriatus,Rodentia,Sciuridae,134.62,0.13462,125.69,PanTHERIA_WR05
Funisciurus congicus,Rodentia,Sciuridae,112,0.112,49.99,PanTHERIA_WR05
Galago demidoff,Primates,Galagidae,66.04,0.06604,43.47,PanTHERIA_WR05
Galago moholi,Primates,Galagidae,191.96,0.19196,90.46,PanTHERIA_WR05
Galago senegalensis,Primates,Galagidae,215.2,0.2152,93.93,PanTHERIA_WR05
Gerbillus nanus,Rodentia,Muridae,25.5,0.0255,27.79,PanTHERIA_WR05
Gerbillus pyramidum,Rodentia,Muridae,42.8,0.0428,27.5,PanTHERIA_WR05
Giraffa camelopardalis,Artiodactyla,Giraffidae,964654.73,964.65473,212.91,PanTHERIA_WR05
Glaucomys sabrinus,Rodentia,Sciuridae,137.53,0.13753,65,PanTHERIA_WR05
Glaucomys volans,Rodentia,Sciuridae,71.9,0.0719,57.23,PanTHERIA_WR05
Glis glis,Rodentia,Gliridae,128.09,0.12809,27.84,PanTHERIA_WR05
Globicephala macrorhynchus,Cetacea,Delphinidae,725999.99,725.99999,729.99,PanTHERIA_WR05
Globicephala melas,Cetacea,Delphinidae,800000,800,608.33,PanTHERIA_WR05
Glossophaga soricina,Chiroptera,Phyllostomidae,9.97,0.00997,32.3,PanTHERIA_WR05
Gorilla gorilla,Primates,Hominidae,112588.99,112.58899,920.35,PanTHERIA_WR05
Grammomys cometes,Rodentia,Muridae,45,0.045,22.5,PanTHERIA_WR05
Grammomys dolichurus,Rodentia,Muridae,41.85,0.04185,23.87,PanTHERIA_WR05
Jaculus jaculus,Rodentia,Dipodidae,59.8,0.0598,66.86,PanTHERIA_WR05
Helogale parvula,Carnivora,Herpestidae,281.83,0.28183,21,PanTHERIA_WR05
Hemicentetes nigriceps,Afrosoricida,Tenrecidae,102.99,0.10299,22.71,PanTHERIA_WR05
Hemicentetes semispinosus,Afrosoricida,Tenrecidae,134,0.134,21.5,PanTHERIA_WR05
Hemiechinus auritus,Erinaceomorpha,Erinaceidae,322.04,0.32204,39.7,PanTHERIA_WR05
Hemigalus derbyanus,Carnivora,Viverridae,1262.7,1.2627,69.6,PanTHERIA_WR05
Hemitragus hylocrius,Artiodactyla,Bovidae,74186.41,74.18641,27.28,PanTHERIA_WR05
Herpestes edwardsi,Carnivora,Herpestidae,1304.67,1.30467,34.8,PanTHERIA_WR05
Hexaprotodon liberiensis,Artiodactyla,Hippopotamidae,235001.16,235.00116,211.71,PanTHERIA_WR05
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,1536310.4,1536.3104,319.01,PanTHERIA_WR05
Hipposideros ater,Chiroptera,Hipposideridae,5.86,0.00586,79.2,PanTHERIA_WR05
Hipposideros caffer,Chiroptera,Hipposideridae,9.46,0.00946,73.48,PanTHERIA_WR05
Hipposideros commersoni,Chiroptera,Hipposideridae,89.99,0.08999,151.03,PanTHERIA_WR05
Hipposideros cyclops,Chiroptera,Hipposideridae,32.92,0.03292,116.92,PanTHERIA_WR05
Hipposideros fulvus,Chiroptera,Hipposideridae,8.83,0.00883,36.58,PanTHERIA_WR05
Hipposideros lankadiva,Chiroptera,Hipposideridae,44.76,0.04476,82.72,PanTHERIA_WR05
Hipposideros speoris,Chiroptera,Hipposideridae,10.39,0.01039,48.38,PanTHERIA_WR05
Hippotragus equinus,Artiodactyla,Bovidae,264173.96,264.17396,119.27,PanTHERIA_WR05
Hippotragus niger,Artiodactyla,Bovidae,236405.9,236.4059,210.73,PanTHERIA_WR05
Histriophoca fasciata,Carnivora,Phocidae,90000,90,24.5,PanTHERIA_WR05
Holochilus brasiliensis,Rodentia,Cricetidae,155,0.155,21,PanTHERIA_WR05
Homo sapiens,Primates,Hominidae,58540.63,58.54063,725.86,PanTHERIA_WR05
Hoplomys gymnurus,Rodentia,Echimyidae,281.42,0.28142,20.88,PanTHERIA_WR05
Hyaena brunnea,Carnivora,Hyaenidae,42977.93,42.97793,302.44,PanTHERIA_WR05
Hyaena hyaena,Carnivora,Hyaenidae,35070.51,35.07051,118.93,PanTHERIA_WR05
Hydrictis maculicollis,Carnivora,Mustelidae,4180.53,4.18053,60.48,PanTHERIA_WR05
Hydrochoerus hydrochaeris,Rodentia,Caviidae,48144.91,48.14491,109.75,PanTHERIA_WR05
Hydrochoerus isthmius,Rodentia,Caviidae,21267.32,21.26732,112,PanTHERIA_WR05
Hydromys chrysogaster,Rodentia,Muridae,626.17,0.62617,30,PanTHERIA_WR05
Hydrurga leptonyx,Carnivora,Phocidae,352675.48,352.67548,30.41,PanTHERIA_WR05
Hyemoschus aquaticus,Artiodactyla,Tragulidae,10850,10.85,136.87,PanTHERIA_WR05
Hylobates lar,Primates,Hylobatidae,5578.61,5.57861,725.86,PanTHERIA_WR05
Lasionycteris noctivagans,Chiroptera,Vespertilionidae,11.02,0.01102,35.99,PanTHERIA_WR05
Lasiurus borealis,Chiroptera,Vespertilionidae,12.33,0.01233,38,PanTHERIA_WR05
Lasiurus cinereus,Chiroptera,Vespertilionidae,27.06,0.02706,36.41,PanTHERIA_WR05
Lavia frons,Chiroptera,Megadermatidae,23.8,0.0238,53.48,PanTHERIA_WR05
Leggadina forresti,Rodentia,Muridae,23.88,0.02388,30,PanTHERIA_WR05
Leggadina lakedownensis,Rodentia,Muridae,17.5,0.0175,30,PanTHERIA_WR05
Lemmiscus curtatus,Rodentia,Cricetidae,28.27,0.02827,21,PanTHERIA_WR05
Marmosa murina,Didelphimorphia,Didelphidae,36.28,0.03628,62,PanTHERIA_WR05
Marmosa robinsoni,Didelphimorphia,Didelphidae,60.57,0.06057,64.63,PanTHERIA_WR05
Marmosops incanus,Didelphimorphia,Didelphidae,59.88,0.05988,64.63,PanTHERIA_WR05
Hylobates pileatus,Primates,Hylobatidae,5542.37,5.54237,635.13,PanTHERIA_WR05
Hylochoerus meinertzhageni,Artiodactyla,Suidae,198130.47,198.13047,62.82,PanTHERIA_WR05
Hyperoodon ampullatus,Cetacea,Ziphiidae,3393361.1,3393.3611,365,PanTHERIA_WR05
Hypsiprymnodon moschatus,Diprotodontia,Hypsiprymnodontidae,534.25,0.53425,268.47,PanTHERIA_WR05
Hypsugo savii,Chiroptera,Vespertilionidae,6.3,0.0063,52.1,PanTHERIA_WR05
Hystrix africaeaustralis,Rodentia,Hystricidae,14936.02,14.93602,70.34,PanTHERIA_WR05
Ictonyx striatus,Carnivora,Mustelidae,811.02,0.81102,59.09,PanTHERIA_WR05
Indri indri,Primates,Indriidae,8565.48,8.56548,331.34,PanTHERIA_WR05
Isoodon macrourus,Peramelemorphia,Peramelidae,1505.77,1.50577,62.99,PanTHERIA_WR05
Isoodon obesulus,Peramelemorphia,Peramelidae,824.76,0.82476,59.99,PanTHERIA_WR05
Kerodon rupestris,Rodentia,Caviidae,799.15,0.79915,34.9,PanTHERIA_WR05
Kobus ellipsiprymnus,Artiodactyla,Bovidae,204393.48,204.39348,212.91,PanTHERIA_WR05
Kobus kob,Artiodactyla,Bovidae,80035.21,80.03521,188.64,PanTHERIA_WR05
Kobus leche,Artiodactyla,Bovidae,88645.04,88.64504,133.45,PanTHERIA_WR05
Kobus vardonii,Artiodactyla,Bovidae,71462.72,71.46272,212.91,PanTHERIA_WR05
Lagenorhynchus acutus,Cetacea,Delphinidae,186517.55,186.51755,547.5,PanTHERIA_WR05
