species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Brachyteles arachnoides,Primates,Atelidae,10537.31,10.53731,5.49,PanTHERIA_WR05
Crocidura olivieri,Soricomorpha,Soricidae,34.42,0.03442,72.36,PanTHERIA_WR05
Cephalophus jentinki,Artiodactyla,Bovidae,68489.54,68.48954,0.1,PanTHERIA_WR05
Cephalophus natalensis,Artiodactyla,Bovidae,12724.51,12.72451,6.92,PanTHERIA_WR05
Dendrolagus lumholtzi,Diprotodontia,Macropodidae,6649.97,6.64997,116.18,PanTHERIA_WR05
Dendromus mesomelas,Rodentia,Nesomyidae,10.2,0.0102,1753.83,PanTHERIA_WR05
Dendromus mystacalis,Rodentia,Nesomyidae,8.17,0.00817,1036.35,PanTHERIA_WR05
Desmodillus auricularis,Rodentia,Muridae,54.81,0.05481,1265.76,PanTHERIA_WR05
Dicerorhinus sumatrensis,Perissodactyla,Rhinocerotidae,1046156,1046.156,1.05,PanTHERIA_WR05
Diceros bicornis,Perissodactyla,Rhinocerotidae,995940.54,995.94054,0.11,PanTHERIA_WR05
Dicrostonyx groenlandicus,Rodentia,Cricetidae,58.44,0.05844,518.17,PanTHERIA_WR05
Didelphis albiventris,Didelphimorphia,Didelphidae,1030.47,1.03047,400,PanTHERIA_WR05
Didelphis aurita,Didelphimorphia,Didelphidae,1105.88,1.10588,45.22,PanTHERIA_WR05
Didelphis marsupialis,Didelphimorphia,Didelphidae,1134.75,1.13475,70.5,PanTHERIA_WR05
Didelphis virginiana,Didelphimorphia,Didelphidae,2442.08,2.44208,18.08,PanTHERIA_WR05
Elephantulus rufescens,Macroscelidea,Macroscelididae,52.78,0.05278,200,PanTHERIA_WR05
Elephas maximus,Proboscidea,Elephantidae,3269794.3,3269.7943,0.53,PanTHERIA_WR05
Eliomys quercinus,Rodentia,Gliridae,114.61,0.11461,147.93,PanTHERIA_WR05
Heterocephalus glaber,Rodentia,Bathyergidae,39.36,0.03936,11100,PanTHERIA_WR05
Heterohyrax brucei,Hyracoidea,Procaviidae,2453.66,2.45366,5751.97,PanTHERIA_WR05
Heteromys anomalus,Rodentia,Heteromyidae,69.06,0.06906,252.07,PanTHERIA_WR05
Heteromys desmarestianus,Rodentia,Heteromyidae,74,0.074,656.45,PanTHERIA_WR05
Lagostrophus fasciatus,Diprotodontia,Macropodidae,1933.48,1.93348,87.99,PanTHERIA_WR05
Lagothrix lagotricha,Primates,Atelidae,6263.69,6.26369,10.72,PanTHERIA_WR05
Lama glama,Artiodactyla,Camelidae,78322.67,78.32267,0.45,PanTHERIA_WR05
Eudorcas thomsonii,Artiodactyla,Bovidae,22907.43,22.90743,12.53,PanTHERIA_WR05
Eulemur coronatus,Primates,Lemuridae,1699.85,1.69985,101.98,PanTHERIA_WR05
Eulemur fulvus,Primates,Lemuridae,2376.99,2.37699,221,PanTHERIA_WR05
Eulemur macaco,Primates,Lemuridae,2470.43,2.47043,53.85,PanTHERIA_WR05
Eulemur mongoz,Primates,Lemuridae,1771.13,1.77113,346.7,PanTHERIA_WR05
Eulemur rubriventer,Primates,Lemuridae,2015.4,2.0154,30,PanTHERIA_WR05
Galago zanzibaricus,Primates,Galagidae,147.35,0.14735,169,PanTHERIA_WR05
Galemys pyrenaicus,Soricomorpha,Talpidae,60.17,0.06017,4.18,PanTHERIA_WR05
Galerella pulverulenta,Carnivora,Herpestidae,791.4,0.7914,10,PanTHERIA_WR05
Galerella sanguinea,Carnivora,Herpestidae,543.83,0.54383,1.32,PanTHERIA_WR05
Galidia elegans,Carnivora,Eupleridae,810,0.81,15.85,PanTHERIA_WR05
Gazella dorcas,Artiodactyla,Bovidae,15635.95,15.63595,2.3,PanTHERIA_WR05
Gazella gazella,Artiodactyla,Bovidae,21306.83,21.30683,0.4,PanTHERIA_WR05
Gazella subgutturosa,Artiodactyla,Bovidae,26981.37,26.98137,0.64,PanTHERIA_WR05
Bassaricyon gabbii,Carnivora,Procyonidae,1250,1.25,6.02,PanTHERIA_WR05
Bassariscus astutus,Carnivora,Procyonidae,1010.37,1.01037,3.58,PanTHERIA_WR05
Bassariscus sumichrasti,Carnivora,Procyonidae,906,0.906,17.89,PanTHERIA_WR05
Bathyergus suillus,Rodentia,Bathyergidae,777.38,0.77738,70,PanTHERIA_WR05
Batomys granti,Rodentia,Muridae,169.53,0.16953,383.46,PanTHERIA_WR05
Beatragus hunteri,Artiodactyla,Bovidae,79132.17,79.13217,0.42,PanTHERIA_WR05
Bettongia gaimardi,Diprotodontia,Potoroidae,1667.55,1.66755,19,PanTHERIA_WR05
Bettongia lesueur,Diprotodontia,Potoroidae,1447.27,1.44727,17,PanTHERIA_WR05
Bettongia penicillata,Diprotodontia,Potoroidae,1184.35,1.18435,17.74,PanTHERIA_WR05
Bettongia tropica,Diprotodontia,Potoroidae,1256.58,1.25658,20,PanTHERIA_WR05
Bradypus tridactylus,Pilosa,Bradypodidae,4375.8,4.3758,151.37,PanTHERIA_WR05
Bradypus variegatus,Pilosa,Bradypodidae,4136.36,4.13636,508.44,PanTHERIA_WR05
Bubalus bubalis,Artiodactyla,Bovidae,929500.97,929.50097,1.06,PanTHERIA_WR05
Bunopithecus hoolock,Primates,Hylobatidae,6699,6.699,7,PanTHERIA_WR05
Chelemys macronyx,Rodentia,Cricetidae,70.99,0.07099,263.07,PanTHERIA_WR05
Chinchilla lanigera,Rodentia,Chinchillidae,480.28,0.48028,958.94,PanTHERIA_WR05
Chiropotes albinasus,Primates,Pitheciidae,2793.21,2.79321,6.57,PanTHERIA_WR05
Chiropotes satanas,Primates,Pitheciidae,2967.27,2.96727,15.6,PanTHERIA_WR05
Burramys parvus,Diprotodontia,Burramyidae,44.27,0.04427,6124.99,PanTHERIA_WR05
Cabassous unicinctus,Cingulata,Dasypodidae,3987.97,3.98797,0.62,PanTHERIA_WR05
Cacajao calvus,Primates,Pitheciidae,3421.04,3.42104,15.1,PanTHERIA_WR05
Capra walie,Artiodactyla,Bovidae,100144.02,100.14402,4.07,PanTHERIA_WR05
Capreolus capreolus,Artiodactyla,Cervidae,22502.01,22.50201,7.61,PanTHERIA_WR05
Capreolus pygargus,Artiodactyla,Cervidae,41371.03,41.37103,80,PanTHERIA_WR05
Capricornis crispus,Artiodactyla,Bovidae,43030.64,43.03064,1.98,PanTHERIA_WR05
Castor canadensis,Rodentia,Castoridae,18124.41,18.12441,0.6,PanTHERIA_WR05
Catagonus wagneri,Artiodactyla,Tayassuidae,35566.4,35.5664,9.24,PanTHERIA_WR05
Cavia aperea,Rodentia,Caviidae,524.38,0.52438,1806.97,PanTHERIA_WR05
Cebus albifrons,Primates,Cebidae,2509.68,2.50968,16.79,PanTHERIA_WR05
Cebus apella,Primates,Cebidae,2758.38,2.75838,23.77,PanTHERIA_WR05
Cebus capucinus,Primates,Cebidae,3005.99,3.00599,27.27,PanTHERIA_WR05
Cebus olivaceus,Primates,Cebidae,2787.64,2.78764,24.79,PanTHERIA_WR05
Cephalophus adersi,Artiodactyla,Bovidae,9249.95,9.24995,3.65,PanTHERIA_WR05
Cheirogaleus major,Primates,Cheirogaleidae,446.02,0.44602,67.99,PanTHERIA_WR05
Cheirogaleus medius,Primates,Cheirogaleidae,196.76,0.19676,221.44,PanTHERIA_WR05
Choloepus didactylus,Pilosa,Megalonychidae,6646.5,6.6465,53.4,PanTHERIA_WR05
Choloepus hoffmanni,Pilosa,Megalonychidae,5893.5,5.8935,118.42,PanTHERIA_WR05
Chrysochloris asiatica,Afrosoricida,Chrysochloridae,37.16,0.03716,1000,PanTHERIA_WR05
Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,55.76,0.05576,1000,PanTHERIA_WR05
Chrysospalax trevelyani,Afrosoricida,Chrysochloridae,434.04,0.43404,1000,PanTHERIA_WR05
Coendou bicolor,Rodentia,Erethizontidae,4492.49,4.49249,5.58,PanTHERIA_WR05
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,4.1162,35.69,PanTHERIA_WR05
Colobus guereza,Primates,Cercopithecidae,9925.88,9.92588,99.2,PanTHERIA_WR05
Colobus polykomos,Primates,Cercopithecidae,8797.29,8.79729,23.5,PanTHERIA_WR05
Colobus satanas,Primates,Cercopithecidae,9055.32,9.05532,26.57,PanTHERIA_WR05
Condylura cristata,Soricomorpha,Talpidae,48.15,0.04815,4999.99,PanTHERIA_WR05
Conepatus semistriatus,Carnivora,Mephitidae,1997.34,1.99734,9.52,PanTHERIA_WR05
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,156.54753,34.62,PanTHERIA_WR05
Dasyprocta leporina,Rodentia,Dasyproctidae,3009.99,3.00999,49.69,PanTHERIA_WR05
Dasyprocta punctata,Rodentia,Dasyproctidae,2309.12,2.30912,17.44,PanTHERIA_WR05
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,3.94901,20.37,PanTHERIA_WR05
Dasypus sabanicola,Cingulata,Dasypodidae,1150.01,1.15001,280,PanTHERIA_WR05
Euoticus elegantulus,Primates,Galagidae,295.48,0.29548,16.47,PanTHERIA_WR05
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,4.73116,1.77,PanTHERIA_WR05
Connochaetes taurinus,Artiodactyla,Bovidae,198619.68,198.61968,7.99,PanTHERIA_WR05
Cratogeomys castanops,Rodentia,Geomyidae,266.83,0.26683,1001.77,PanTHERIA_WR05
Crocuta crocuta,Carnivora,Hyaenidae,63369.98,63.36998,0.12,PanTHERIA_WR05
Cryptomys hottentotus,Rodentia,Bathyergidae,75.13,0.07513,816.08,PanTHERIA_WR05
Cryptoprocta ferox,Carnivora,Eupleridae,9500,9.5,0.88,PanTHERIA_WR05
Cryptotis goldmani,Soricomorpha,Soricidae,6.73,0.00673,115.15,PanTHERIA_WR05
Cryptotis meridensis,Soricomorpha,Soricidae,12.63,0.01263,104.61,PanTHERIA_WR05
Cryptotis parva,Soricomorpha,Soricidae,4.97,0.00497,493.99,PanTHERIA_WR05
Ctenomys opimus,Rodentia,Ctenomyidae,327.05,0.32705,233.87,PanTHERIA_WR05
Ctenomys peruanus,Rodentia,Ctenomyidae,488.36,0.48836,3720.24,PanTHERIA_WR05
Ctenomys talarum,Rodentia,Ctenomyidae,140.84,0.14084,5187.48,PanTHERIA_WR05
Cuniculus paca,Rodentia,Cuniculidae,8172.55,8.17255,48.71,PanTHERIA_WR05
Cuon alpinus,Carnivora,Canidae,15800,15.8,0.55,PanTHERIA_WR05
Cyclopes didactylus,Pilosa,Cyclopedidae,263.95,0.26395,32.4,PanTHERIA_WR05
Cynomys gunnisoni,Rodentia,Sciuridae,797.93,0.79793,669.1,PanTHERIA_WR05
Cynomys leucurus,Rodentia,Sciuridae,963.76,0.96376,546.43,PanTHERIA_WR05
Cynomys ludovicianus,Rodentia,Sciuridae,797.05,0.79705,1830,PanTHERIA_WR05
Cynomys parvidens,Rodentia,Sciuridae,899.98,0.89998,3824.99,PanTHERIA_WR05
Cystophora cristata,Carnivora,Phocidae,278896.81,278.89681,0.004822132,PanTHERIA_WR05
Dactylopsila trivirgata,Diprotodontia,Petauridae,413.41,0.41341,4,PanTHERIA_WR05
Dama dama,Artiodactyla,Cervidae,57224.61,57.22461,21.99,PanTHERIA_WR05
Damaliscus korrigum,Artiodactyla,Bovidae,127194.87,127.19487,3.29,PanTHERIA_WR05
Damaliscus lunatus,Artiodactyla,Bovidae,136000.33,136.00033,2.74,PanTHERIA_WR05
Damaliscus pygargus,Artiodactyla,Bovidae,77784.55,77.78455,24.56,PanTHERIA_WR05
Dasymys incomtus,Rodentia,Muridae,127.75,0.12775,1718.4,PanTHERIA_WR05
Dasyurus geoffroii,Dasyuromorphia,Dasyuridae,1106.62,1.10662,2.3,PanTHERIA_WR05
Dasyurus hallucatus,Dasyuromorphia,Dasyuridae,470.92,0.47092,16.24,PanTHERIA_WR05
Dasyurus maculatus,Dasyuromorphia,Dasyuridae,3284.15,3.28415,3.49,PanTHERIA_WR05
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae,1101.49,1.10149,19,PanTHERIA_WR05
Daubentonia madagascariensis,Primates,Daubentoniidae,2731.37,2.73137,39.79,PanTHERIA_WR05
Delanymys brooksi,Rodentia,Nesomyidae,4.99,0.00499,872.48,PanTHERIA_WR05
Dipodomys agilis,Rodentia,Heteromyidae,60.21,0.06021,687.9,PanTHERIA_WR05
Dipodomys deserti,Rodentia,Heteromyidae,107.63,0.10763,160.5,PanTHERIA_WR05
Dipodomys elator,Rodentia,Heteromyidae,105.82,0.10582,1284.37,PanTHERIA_WR05
Dipodomys heermanni,Rodentia,Heteromyidae,63.08,0.06308,1160.33,PanTHERIA_WR05
Dipodomys ingens,Rodentia,Heteromyidae,113.61,0.11361,3868.35,PanTHERIA_WR05
Dipodomys merriami,Rodentia,Heteromyidae,37.91,0.03791,373.61,PanTHERIA_WR05
Dipodomys microps,Rodentia,Heteromyidae,56.26,0.05626,1160.36,PanTHERIA_WR05
Dipodomys nelsoni,Rodentia,Heteromyidae,87.93,0.08793,373.61,PanTHERIA_WR05
Dipodomys ordii,Rodentia,Heteromyidae,50.4,0.0504,297,PanTHERIA_WR05
Dipodomys spectabilis,Rodentia,Heteromyidae,124.61,0.12461,397.71,PanTHERIA_WR05
Dipodomys stephensi,Rodentia,Heteromyidae,68.49,0.06849,3379.99,PanTHERIA_WR05
Dromiciops gliroides,Microbiotheria,Microbiotheriidae,25,0.025,49.99,PanTHERIA_WR05
Dymecodon pilirostris,Soricomorpha,Talpidae,15.46,0.01546,4999.99,PanTHERIA_WR05
Echimys chrysurus,Rodentia,Echimyidae,609.99,0.60999,6.2,PanTHERIA_WR05
Echimys semivillosus,Rodentia,Echimyidae,282.36,0.28236,35.43,PanTHERIA_WR05
Eira barbara,Carnivora,Mustelidae,4134.99,4.13499,1.77,PanTHERIA_WR05
Elephantulus brachyrhynchus,Macroscelidea,Macroscelididae,45.11,0.04511,33.09,PanTHERIA_WR05
Elephantulus edwardii,Macroscelidea,Macroscelididae,49.69,0.04969,1470.41,PanTHERIA_WR05
Enhydra lutris,Carnivora,Mustelidae,27410.93,27.41093,6.46,PanTHERIA_WR05
Geocapromys ingrahami,Rodentia,Capromyidae,733.52,0.73352,3000,PanTHERIA_WR05
Geomys attwateri,Rodentia,Geomyidae,144.06,0.14406,2024.94,PanTHERIA_WR05
Geomys breviceps,Rodentia,Geomyidae,136.47,0.13647,51.76,PanTHERIA_WR05
Geomys bursarius,Rodentia,Geomyidae,203.75,0.20375,1250,PanTHERIA_WR05
Georychus capensis,Rodentia,Bathyergidae,188.36,0.18836,1100,PanTHERIA_WR05
Geoxus valdivianus,Rodentia,Cricetidae,30.8,0.0308,39.85,PanTHERIA_WR05
Gerbilliscus kempi,Rodentia,Muridae,100.83,0.10083,642.18,PanTHERIA_WR05
Gerbilliscus leucogaster,Rodentia,Muridae,73.75,0.07375,165.34,PanTHERIA_WR05
Gerbillurus paeba,Rodentia,Muridae,25.91,0.02591,866.8,PanTHERIA_WR05
Gerbillurus tytonis,Rodentia,Muridae,29.79,0.02979,1700,PanTHERIA_WR05
Eschrichtius robustus,Cetacea,Eschrichtiidae,27324024,27324.024,4.9,PanTHERIA_WR05
Eudorcas rufifrons,Artiodactyla,Bovidae,26999.77,26.99977,1.56,PanTHERIA_WR05
Felis catus,Carnivora,Felidae,2884.8,2.8848,3.47,PanTHERIA_WR05
Gulo gulo,Carnivora,Mustelidae,12792.49,12.79249,0.007916144,PanTHERIA_WR05
Gymnobelideus leadbeateri,Diprotodontia,Petauridae,137.32,0.13732,258.26,PanTHERIA_WR05
Hapalemur griseus,Primates,Lemuridae,916,0.916,62,PanTHERIA_WR05
Heliophobius argenteocinereus,Rodentia,Bathyergidae,159.46,0.15946,5800,PanTHERIA_WR05
Herpestes javanicus,Carnivora,Herpestidae,750,0.75,39.59,PanTHERIA_WR05
Felis silvestris,Carnivora,Felidae,4573.08,4.57308,0.36,PanTHERIA_WR05
Fossa fossana,Carnivora,Eupleridae,1853.98,1.85398,3.41,PanTHERIA_WR05
Funisciurus congicus,Rodentia,Sciuridae,112,0.112,1000,PanTHERIA_WR05
Galago alleni,Primates,Galagidae,266.03,0.26603,16.47,PanTHERIA_WR05
Galago demidoff,Primates,Galagidae,66.04,0.06604,57.57,PanTHERIA_WR05
Galago moholi,Primates,Galagidae,191.96,0.19196,172.04,PanTHERIA_WR05
Galago senegalensis,Primates,Galagidae,215.2,0.2152,89.77,PanTHERIA_WR05
Giraffa camelopardalis,Artiodactyla,Giraffidae,964654.73,964.65473,1.23,PanTHERIA_WR05
Glaucomys sabrinus,Rodentia,Sciuridae,137.53,0.13753,85.93,PanTHERIA_WR05
Glaucomys volans,Rodentia,Sciuridae,71.9,0.0719,447.59,PanTHERIA_WR05
Glis glis,Rodentia,Gliridae,128.09,0.12809,3000,PanTHERIA_WR05
Gorilla gorilla,Primates,Hominidae,112588.99,112.58899,0.59,PanTHERIA_WR05
Graphiurus murinus,Rodentia,Gliridae,20.07,0.02007,54.41,PanTHERIA_WR05
Grammomys dolichurus,Rodentia,Muridae,41.85,0.04185,206.68,PanTHERIA_WR05
Hemibelideus lemuroides,Diprotodontia,Pseudocheiridae,993.59,0.99359,700,PanTHERIA_WR05
Hippocamelus antisensis,Artiodactyla,Cervidae,68599.35,68.59935,1.2,PanTHERIA_WR05
Hippocamelus bisulcus,Artiodactyla,Cervidae,69240.81,69.24081,1.12,PanTHERIA_WR05
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,1536310.4,1536.3104,4.86,PanTHERIA_WR05
Hippotragus equinus,Artiodactyla,Bovidae,264173.96,264.17396,0.96,PanTHERIA_WR05
Hippotragus niger,Artiodactyla,Bovidae,236405.9,236.4059,1.3,PanTHERIA_WR05
Hyaena brunnea,Carnivora,Hyaenidae,42977.93,42.97793,0.01,PanTHERIA_WR05
Hybomys trivirgatus,Rodentia,Muridae,60.08,0.06008,80.6,PanTHERIA_WR05
Hydrochoerus hydrochaeris,Rodentia,Caviidae,48144.91,48.14491,125.34,PanTHERIA_WR05
Hydrurga leptonyx,Carnivora,Phocidae,352675.48,352.67548,0.11,PanTHERIA_WR05
Hyemoschus aquaticus,Artiodactyla,Tragulidae,10850,10.85,15.85,PanTHERIA_WR05
Hylobates agilis,Primates,Hylobatidae,5829.08,5.82908,11.73,PanTHERIA_WR05
Hylobates klossii,Primates,Hylobatidae,5822.29,5.82229,16.62,PanTHERIA_WR05
Hylobates lar,Primates,Hylobatidae,5578.61,5.57861,6.6,PanTHERIA_WR05
Lemmiscus curtatus,Rodentia,Cricetidae,28.27,0.02827,589.92,PanTHERIA_WR05
Marmosa murina,Didelphimorphia,Didelphidae,36.28,0.03628,55.8,PanTHERIA_WR05
Marmosa robinsoni,Didelphimorphia,Didelphidae,60.57,0.06057,189.03,PanTHERIA_WR05
Marmosops fuscatus,Didelphimorphia,Didelphidae,45.15,0.04515,88.57,PanTHERIA_WR05
Hylobates moloch,Primates,Hylobatidae,5860.81,5.86081,6.18,PanTHERIA_WR05
Hylobates muelleri,Primates,Hylobatidae,5909.81,5.90981,10.2,PanTHERIA_WR05
Hylobates pileatus,Primates,Hylobatidae,5542.37,5.54237,23.7,PanTHERIA_WR05
Hylochoerus meinertzhageni,Artiodactyla,Suidae,198130.47,198.13047,1.5,PanTHERIA_WR05
Hylomys suillus,Erinaceomorpha,Erinaceidae,57.61,0.05761,156.67,PanTHERIA_WR05
Hypogeomys antimena,Rodentia,Nesomyidae,1175.93,1.17593,63.33,PanTHERIA_WR05
Hypsiprymnodon moschatus,Diprotodontia,Hypsiprymnodontidae,534.25,0.53425,239.99,PanTHERIA_WR05
Hystrix indica,Rodentia,Hystricidae,14298.6,14.2986,5.11,PanTHERIA_WR05
Ichneumia albicauda,Carnivora,Herpestidae,3628.4,3.6284,3.7,PanTHERIA_WR05
Idiurus macrotis,Rodentia,Anomaluridae,27.23,0.02723,374.23,PanTHERIA_WR05
Indri indri,Primates,Indriidae,8565.48,8.56548,10.62,PanTHERIA_WR05
Irenomys tarsalis,Rodentia,Cricetidae,43.15,0.04315,287.87,PanTHERIA_WR05
Isoodon auratus,Peramelemorphia,Peramelidae,425,0.425,173.2,PanTHERIA_WR05
Isoodon macrourus,Peramelemorphia,Peramelidae,1505.77,1.50577,70,PanTHERIA_WR05
Isoodon obesulus,Peramelemorphia,Peramelidae,824.76,0.82476,40,PanTHERIA_WR05
Kobus ellipsiprymnus,Artiodactyla,Bovidae,204393.48,204.39348,2.46,PanTHERIA_WR05
Kobus kob,Artiodactyla,Bovidae,80035.21,80.03521,2.6,PanTHERIA_WR05
Kobus leche,Artiodactyla,Bovidae,88645.04,88.64504,31,PanTHERIA_WR05
Kobus megaceros,Artiodactyla,Bovidae,85805.93,85.80593,0.34,PanTHERIA_WR05
Kobus vardonii,Artiodactyla,Bovidae,71462.72,71.46272,4.78,PanTHERIA_WR05
Lagidium peruanum,Rodentia,Chinchillidae,1220,1.22,1.6,PanTHERIA_WR05
Lagorchestes conspicillatus,Diprotodontia,Macropodidae,2821.01,2.82101,41.99,PanTHERIA_WR05
Lagorchestes hirsutus,Diprotodontia,Macropodidae,1407.14,1.40714,18.13,PanTHERIA_WR05
Manis tricuspis,Pholidota,Manidae,1539.31,1.53931,44.28,PanTHERIA_WR05
Meriones persicus,Rodentia,Muridae,107.52,0.10752,132.86,PanTHERIA_WR05
Monodelphis brevicaudata,Didelphimorphia,Didelphidae,78.84,0.07884,49.81,PanTHERIA_WR05
Monodelphis dimidiata,Didelphimorphia,Didelphidae,44.56,0.04456,200,PanTHERIA_WR05
Monodelphis domestica,Didelphimorphia,Didelphidae,93.45,0.09345,400,PanTHERIA_WR05
Meles meles,Carnivora,Mustelidae,11884.03,11.88403,2.52,PanTHERIA_WR05
Miopithecus talapoin,Primates,Cercopithecidae,1248.86,1.24886,42.07,PanTHERIA_WR05
Mirza coquereli,Primates,Cheirogaleidae,326.5,0.3265,107.17,PanTHERIA_WR05
Mogera wogura,Soricomorpha,Talpidae,96.88,0.09688,4999.99,PanTHERIA_WR05
Moschiola meminna,Artiodactyla,Tragulidae,3130.95,3.13095,2.74,PanTHERIA_WR05
Mungos mungo,Carnivora,Herpestidae,1260,1.26,16.98,PanTHERIA_WR05
Mungotictis decemlineata,Carnivora,Eupleridae,657.03,0.65703,7.33,PanTHERIA_WR05
Marmosops noctivagus,Didelphimorphia,Didelphidae,39.77,0.03977,13.28,PanTHERIA_WR05
Marmosops parvidens,Didelphimorphia,Didelphidae,15,0.015,14.4,PanTHERIA_WR05
Marmota flaviventris,Rodentia,Sciuridae,3709.73,3.70973,6.9,PanTHERIA_WR05
Marmota marmota,Rodentia,Sciuridae,4059.15,4.05915,583.5,PanTHERIA_WR05
Marmota monax,Rodentia,Sciuridae,3880.93,3.88093,136.7,PanTHERIA_WR05
Lemmus trimucronatus,Rodentia,Cricetidae,69.82,0.06982,1784.72,PanTHERIA_WR05
Lemniscomys griselda,Rodentia,Muridae,55.87,0.05587,342.79,PanTHERIA_WR05
Lasiorhinus krefftii,Diprotodontia,Vombatidae,31849.99,31.84999,21.99,PanTHERIA_WR05
Lasiorhinus latifrons,Diprotodontia,Vombatidae,26163.8,26.1638,67.99,PanTHERIA_WR05
Lemniscomys striatus,Rodentia,Muridae,43.65,0.04365,688.24,PanTHERIA_WR05
Lemur catta,Primates,Lemuridae,2626.48,2.62648,215,PanTHERIA_WR05
Leontopithecus chrysomelas,Primates,Cebidae,572.8,0.5728,8.76,PanTHERIA_WR05
Leontopithecus rosalia,Primates,Cebidae,592.52,0.59252,4.07,PanTHERIA_WR05
Leopardus pardalis,Carnivora,Felidae,11880,11.88,0.42,PanTHERIA_WR05
Lepilemur edwardsi,Primates,Lepilemuridae,821.58,0.82158,70.98,PanTHERIA_WR05
Lepilemur leucopus,Primates,Lepilemuridae,599.99,0.59999,504.99,PanTHERIA_WR05
Lepilemur microdon,Primates,Lepilemuridae,952.33,0.95233,36.05,PanTHERIA_WR05
Lepilemur mustelinus,Primates,Lepilemuridae,669.03,0.66903,255.1,PanTHERIA_WR05
Lepilemur ruficaudatus,Primates,Lepilemuridae,763.36,0.76336,260,PanTHERIA_WR05
Lepilemur septentrionalis,Primates,Lepilemuridae,755.77,0.75577,154.26,PanTHERIA_WR05
Leptonychotes weddellii,Carnivora,Phocidae,400000,400,0.12,PanTHERIA_WR05
Lepus alleni,Lagomorpha,Leporidae,3930,3.93,16.06,PanTHERIA_WR05
Lepus americanus,Lagomorpha,Leporidae,1568.42,1.56842,100,PanTHERIA_WR05
Lepus brachyurus,Lagomorpha,Leporidae,2519.45,2.51945,40,PanTHERIA_WR05
Lepus californicus,Lagomorpha,Leporidae,2422.48,2.42248,12,PanTHERIA_WR05
Lepus callotis,Lagomorpha,Leporidae,2608.16,2.60816,3.89,PanTHERIA_WR05
Lepus capensis,Lagomorpha,Leporidae,2047.11,2.04711,14.75,PanTHERIA_WR05
Lepus microtis,Lagomorpha,Leporidae,1763.61,1.76361,95,PanTHERIA_WR05
Lepus nigricollis,Lagomorpha,Leporidae,2294.25,2.29425,89.46,PanTHERIA_WR05
Lepus othus,Lagomorpha,Leporidae,4837.35,4.83735,1.64,PanTHERIA_WR05
Lepus townsendii,Lagomorpha,Leporidae,3371.64,3.37164,5.17,PanTHERIA_WR05
Liomys adspersus,Rodentia,Heteromyidae,50.99,0.05099,741.61,PanTHERIA_WR05
Liomys pictus,Rodentia,Heteromyidae,43.28,0.04328,3922.95,PanTHERIA_WR05
Liomys salvini,Rodentia,Heteromyidae,41.99,0.04199,574.02,PanTHERIA_WR05
Litocranius walleri,Artiodactyla,Bovidae,38804.37,38.80437,0.43,PanTHERIA_WR05
Lobodon carcinophaga,Carnivora,Phocidae,224999.99,224.99999,1.01,PanTHERIA_WR05
Lontra canadensis,Carnivora,Mustelidae,8087.42,8.08742,1.12,PanTHERIA_WR05
Lophocebus albigena,Primates,Cercopithecidae,7418.71,7.41871,14.86,PanTHERIA_WR05
Lophuromys flavopunctatus,Rodentia,Muridae,57.07,0.05707,835.93,PanTHERIA_WR05
Lophuromys sikapusi,Rodentia,Muridae,62.72,0.06272,213,PanTHERIA_WR05
Loris tardigradus,Primates,Lorisidae,249.22,0.24922,72.29,PanTHERIA_WR05
Loxodonta africana,Proboscidea,Elephantidae,3824539.9,3824.5399,6.72,PanTHERIA_WR05
Loxodontomys micropus,Rodentia,Cricetidae,70.76,0.07076,227.64,PanTHERIA_WR05
Lutra lutra,Carnivora,Mustelidae,8868.69,8.86869,0.85,PanTHERIA_WR05
Lutrogale perspicillata,Carnivora,Mustelidae,8912.49,8.91249,4.42,PanTHERIA_WR05
Lycalopex culpaeus,Carnivora,Canidae,8616.24,8.61624,1.01,PanTHERIA_WR05
Lycaon pictus,Carnivora,Canidae,21999.99,21.99999,0.01,PanTHERIA_WR05
Lynx canadensis,Carnivora,Felidae,9682.82,9.68282,0.05,PanTHERIA_WR05
Lynx lynx,Carnivora,Felidae,19300,19.3,0.02,PanTHERIA_WR05
Lynx pardinus,Carnivora,Felidae,11050,11.05,0.32,PanTHERIA_WR05
Lynx rufus,Carnivora,Felidae,6374.47,6.37447,0.1,PanTHERIA_WR05
Macaca fascicularis,Primates,Cercopithecidae,4569.32,4.56932,49.99,PanTHERIA_WR05
Macaca fuscata,Primates,Cercopithecidae,10114.76,10.11476,30.19,PanTHERIA_WR05
Macaca maura,Primates,Cercopithecidae,7290.3,7.2903,20,PanTHERIA_WR05
Macaca mulatta,Primates,Cercopithecidae,6455.19,6.45519,11.1,PanTHERIA_WR05
Macaca nemestrina,Primates,Cercopithecidae,7820.78,7.82078,18.92,PanTHERIA_WR05
Macaca nigra,Primates,Cercopithecidae,7359.39,7.35939,55.63,PanTHERIA_WR05
