species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Alouatta caraya,Primates,Atelidae,5576.96,5.57696,80,PanTHERIA_WR05
Alouatta guariba,Primates,Atelidae,5188.33,5.18833,89.09,PanTHERIA_WR05
Alouatta palliata,Primates,Atelidae,6576.99,6.57699,58.99,PanTHERIA_WR05
Alouatta pigra,Primates,Atelidae,7172.06,7.17206,8.53,PanTHERIA_WR05
Alouatta seniculus,Primates,Atelidae,6398.31,6.39831,44.49,PanTHERIA_WR05
Amblysomus hottentotus,Afrosoricida,Chrysochloridae,62.6,0.0626,1000,PanTHERIA_WR05
Ammodorcas clarkei,Artiodactyla,Bovidae,28049.81,28.04981,0.73,PanTHERIA_WR05
Ammospermophilus harrisii,Rodentia,Sciuridae,126.57,0.12657,24.97,PanTHERIA_WR05
Ammospermophilus leucurus,Rodentia,Sciuridae,103.92,0.10392,14.49,PanTHERIA_WR05
Anomalurus derbianus,Rodentia,Anomaluridae,665.84,0.66584,50.43,PanTHERIA_WR05
Anomalurus pusillus,Rodentia,Anomaluridae,250,0.25,6.22,PanTHERIA_WR05
Anourosorex squamipes,Soricomorpha,Soricidae,20,0.02,190,PanTHERIA_WR05
Antechinus agilis,Dasyuromorphia,Dasyuridae,22.13,0.02213,711,PanTHERIA_WR05
Antechinus bellus,Dasyuromorphia,Dasyuridae,38.73,0.03873,160,PanTHERIA_WR05
Antechinus flavipes,Dasyuromorphia,Dasyuridae,44.33,0.04433,688.83,PanTHERIA_WR05
Antechinus godmani,Dasyuromorphia,Dasyuridae,75.74,0.07574,5.3,PanTHERIA_WR05
Antechinus leo,Dasyuromorphia,Dasyuridae,70.09,0.07009,162,PanTHERIA_WR05
Antechinus minimus,Dasyuromorphia,Dasyuridae,52.56,0.05256,1400,PanTHERIA_WR05
Antechinus stuartii,Dasyuromorphia,Dasyuridae,29.01,0.02901,328.78,PanTHERIA_WR05
Antechinus swainsonii,Dasyuromorphia,Dasyuridae,58.69,0.05869,974.49,PanTHERIA_WR05
Antidorcas marsupialis,Artiodactyla,Bovidae,33571.24,33.57124,10.69,PanTHERIA_WR05
Antilocapra americana,Artiodactyla,Antilocapridae,47450.01,47.45001,0.82,PanTHERIA_WR05
Antilope cervicapra,Artiodactyla,Bovidae,36301.1,36.3011,4.25,PanTHERIA_WR05
Aonyx capensis,Carnivora,Mustelidae,19322.22,19.32222,0.35,PanTHERIA_WR05
Aotus azarae,Primates,Aotidae,929.57,0.92957,15.94,PanTHERIA_WR05
Aotus lemurinus,Primates,Aotidae,865.96,0.86596,35.43,PanTHERIA_WR05
Aotus nancymaae,Primates,Aotidae,791.03,0.79103,28.16,PanTHERIA_WR05
Aotus nigriceps,Primates,Aotidae,1057,1.057,38,PanTHERIA_WR05
Aotus trivirgatus,Primates,Aotidae,912.4,0.9124,24.37,PanTHERIA_WR05
Aotus vociferans,Primates,Aotidae,872.99,0.87299,23.51,PanTHERIA_WR05
Aplodontia rufa,Rodentia,Aplodontiidae,806.21,0.80621,778.39,PanTHERIA_WR05
Apodemus agrarius,Rodentia,Muridae,21.11,0.02111,1098.35,PanTHERIA_WR05
Apodemus flavicollis,Rodentia,Muridae,31.6,0.0316,1770,PanTHERIA_WR05
Apodemus sylvaticus,Rodentia,Muridae,21.9,0.0219,780,PanTHERIA_WR05
Apomys musculus,Rodentia,Muridae,21.2,0.0212,1124.83,PanTHERIA_WR05
Archboldomys luzonensis,Rodentia,Muridae,35.34,0.03534,575.19,PanTHERIA_WR05
Arctocebus calabarensis,Primates,Lorisidae,258.01,0.25801,6.2,PanTHERIA_WR05
Arctocephalus gazella,Carnivora,Otariidae,96599.99,96.59999,22,PanTHERIA_WR05
Arvicanthis abyssinicus,Rodentia,Muridae,73.34,0.07334,10983.58,PanTHERIA_WR05
Arvicanthis niloticus,Rodentia,Muridae,95.8,0.0958,7309.52,PanTHERIA_WR05
Arvicola amphibius,Rodentia,Cricetidae,120,0.12,57067.85,PanTHERIA_WR05
Tarsius tarsier,Primates,Tarsiidae,168.04,0.16804,200,PanTHERIA_WR05
Taterillus gracilis,Rodentia,Muridae,49.9,0.0499,467.68,PanTHERIA_WR05
Taterillus pygargus,Rodentia,Muridae,60.19,0.06019,3000,PanTHERIA_WR05
Taurotragus derbianus,Artiodactyla,Bovidae,646024.25,646.02425,0.74,PanTHERIA_WR05
Taurotragus oryx,Artiodactyla,Bovidae,562592.69,562.59269,1.64,PanTHERIA_WR05
Taxidea taxus,Carnivora,Mustelidae,7842.15,7.84215,1.94,PanTHERIA_WR05
Tayassu pecari,Artiodactyla,Tayassuidae,31798.71,31.79871,1.59,PanTHERIA_WR05
Thallomys paedulcus,Rodentia,Muridae,77.7,0.0777,34,PanTHERIA_WR05
Theropithecus gelada,Primates,Cercopithecidae,15964.11,15.96411,51.42,PanTHERIA_WR05
Thomomys bottae,Rodentia,Geomyidae,122.7,0.1227,5250,PanTHERIA_WR05
Thomomys mazama,Rodentia,Geomyidae,93.07,0.09307,3578.84,PanTHERIA_WR05
Thomomys monticola,Rodentia,Geomyidae,80.99,0.08099,2814,PanTHERIA_WR05
Thomomys talpoides,Rodentia,Geomyidae,104.64,0.10464,2196.71,PanTHERIA_WR05
Thylamys elegans,Didelphimorphia,Didelphidae,28.9,0.0289,703.01,PanTHERIA_WR05
Thylamys velutinus,Didelphimorphia,Didelphidae,20.69,0.02069,54.99,PanTHERIA_WR05
Thylogale billardierii,Diprotodontia,Macropodidae,5865.86,5.86586,250,PanTHERIA_WR05
Thylogale stigmatica,Diprotodontia,Macropodidae,4511.47,4.51147,313.68,PanTHERIA_WR05
Thylogale thetis,Diprotodontia,Macropodidae,5399.95,5.39995,359.99,PanTHERIA_WR05
