species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Eudyptes pachyrhynchus,Aves,Spheniscoiformes,Spheniscudae,2.6,2.6652083,W/kg,AnimalTraits
Megadyptes antipodes,Aves,Spheniscoiformes,Spheniscudae,4.8,2.4027257,W/kg,AnimalTraits
Spheniscus humboldti,Aves,Spheniscoiformes,Spheniscudae,3.87,2.4542205,W/kg,AnimalTraits
Calamospiza melanocorys,Aves,Passeriformes,Passerellidae,0.0326,13.944444,W/kg,AnimalTraits
Pygoscelis adeliae,Aves,Spheniscoformes,Spheniscidae,3.5,5.1111111,W/kg,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,3.98,4.5555556,W/kg,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,3.28,5.0555556,W/kg,AnimalTraits
Leucocarbo atriceps,Aves,Pelecaniformes,Phalacrocoracidae,2.66,5.7222222,W/kg,AnimalTraits
Stercorarius maccormicki,Aves,Charadriiformes,Stercorariidae,1.13,7.2222222,W/kg,AnimalTraits
Phoebastria immutabilis,Aves,Procellariiformes,Diomedediae,2.522,2.9444444,W/kg,AnimalTraits
Pterodroma hypoleuca,Aves,Procellariiformes,Procellariidae,0.169,7.4444444,W/kg,AnimalTraits
Alectoris chukar,Aves,Galliformes,Phasianidae,0.475,4.0555556,W/kg,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,4.78,2.794243,W/kg,AnimalTraits
Thalassarche chrysostoma,Aves,Procellariiformes,Diomedeidae,3.753,2.2667052,W/kg,AnimalTraits
Phoebetria fusca,Aves,Procellariiformes,Diomedeidae,2.875,2.8784219,W/kg,AnimalTraits
Procellaria aequinoctialis,Aves,Procellariiformes,Procellariidae,1.287,4.9012202,W/kg,AnimalTraits
Procellaria cinerea,Aves,Procellariiformes,Procellariidae,1.014,4.9423807,W/kg,AnimalTraits
Pterodroma brevirostris,Aves,Procellariiformes,Procellariidae,0.315,5.6216931,W/kg,AnimalTraits
Pterodroma mollis,Aves,Procellariiformes,Procellariidae,0.274,6.3784131,W/kg,AnimalTraits
Pachyptila salvini,Aves,Procellariiformes,Procellariidae,0.165,9.3995511,W/kg,AnimalTraits
