species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Crepidogaster bioculata,Insecta,Coleoptera,Carabidae,0.000171,1.6499158,W/kg,AnimalTraits
Triaenogenius sculpturatus,Insecta,Coleoptera,Carabidae,0.00017,1.979899,W/kg,AnimalTraits
Calosoma chlorostictum,Insecta,Coleoptera,Carabidae,0.000521,1.5084945,W/kg,AnimalTraits
Calosoma indet,Insecta,Coleoptera,Carabidae,7.9e-05,6.6468037,W/kg,AnimalTraits
Phrynocolus petrosus,Insecta,Coleoptera,Tenebrionidae,0.001109,0.31584103,W/kg,AnimalTraits
Phrynocolus sp.,Insecta,Coleoptera,Tenebrionidae,0.000204,0.92395286,W/kg,AnimalTraits
Vieta muscosa,Insecta,Coleoptera,Tenebrionidae,0.00014,0.95223713,W/kg,AnimalTraits
Pimelia cenchronota,Insecta,Coleoptera,Tenebrionidae,0.001474,0.41483598,W/kg,AnimalTraits
Adesmia baccata,Insecta,Coleoptera,Tenebrionidae,0.000407,0.43369216,W/kg,AnimalTraits
Rhytinota praelonga,Insecta,Coleoptera,Tenebrionidae,0.000105,0.938095,W/kg,AnimalTraits
Zophosis congesta,Insecta,Coleoptera,Tenebrionidae,1.1e-05,0.91923882,W/kg,AnimalTraits
Peristeptus sp.,Insecta,Coleoptera,Tenebrionidae,5.5e-05,0.97580736,W/kg,AnimalTraits
Phrynocolus auriculatus,Insecta,Coleoptera,Tenebrionidae,0.000193,0.86267027,W/kg,AnimalTraits
Vieta bulbifera,Insecta,Coleoptera,Tenebrionidae,0.000479,1.1078006,W/kg,AnimalTraits
Nauphoeta cinerea,Insecta,Blattodea,Blaberidae,0.000515,1.4139177,W/kg,AnimalTraits
Stenodontes molaria,Insecta,Coleoptera,Cerambycidae,0.001798,2.3425439,W/kg,AnimalTraits
Stenodontes molaria,Insecta,Coleoptera,Cerambycidae,0.004089,1.9711865,W/kg,AnimalTraits
Stenodontes sp.,Insecta,Coleoptera,Cerambycidae,0.001043,1.9268262,W/kg,AnimalTraits
Dryoctenes scrupulosa,Insecta,Coleoptera,Cerambycidae,0.001823,1.5262859,W/kg,AnimalTraits
Macrodontia dejeani,Insecta,Coleoptera,Cerambycidae,0.00486,1.5804616,W/kg,AnimalTraits
Xenambyx laticauda,Insecta,Coleoptera,Cerambycidae,0.001217,1.2720766,W/kg,AnimalTraits
Nyssicus setosus,Insecta,Coleoptera,Cerambycidae,0.000996,0.70750873,W/kg,AnimalTraits
Brasilanus batus,Insecta,Coleoptera,Cerambycidae,0.001965,3.1238828,W/kg,AnimalTraits
Oncideres putator,Insecta,Coleoptera,Cerambycidae,0.000681,1.5848522,W/kg,AnimalTraits
Acanthoderes circumflexa,Insecta,Coleoptera,Cerambycidae,0.000139,1.9277503,W/kg,AnimalTraits
Trachysomus peregrinus,Insecta,Coleoptera,Cerambycidae,0.000547,1.0870266,W/kg,AnimalTraits
Eburia sp.,Insecta,Coleoptera,Cerambycidae,0.000715,2.831414,W/kg,AnimalTraits
Eburia sp.,Insecta,Coleoptera,Cerambycidae,0.000449,1.3709849,W/kg,AnimalTraits
Acrocinus longimanus,Insecta,Coleoptera,Cerambycidae,0.005383,3.4098225,W/kg,AnimalTraits
Taeinotes scalaris,Insecta,Coleoptera,Cerambycidae,0.000397,2.3623439,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.000937,0.56017676,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001105,1.7243213,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001078,1.0081028,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.003879,0.51712556,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.005289,0.32562341,W/kg,AnimalTraits
Pelidnota sp.,Insecta,Coleoptera,Scarabaeidae,0.001335,0.93663099,W/kg,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.0037,0.84117051,W/kg,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.005389,1.0165064,W/kg,AnimalTraits
Strategus aloeus,Insecta,Coleoptera,Scarabaeidae,0.0048,1.250065,W/kg,AnimalTraits
Coeloesis biloba,Insecta,Coleoptera,Scarabaeidae,0.00278,0.66396837,W/kg,AnimalTraits
Coeloesis biloba,Insecta,Coleoptera,Scarabaeidae,0.00469,1.1974112,W/kg,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000273,2.8353795,W/kg,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000338,2.6608191,W/kg,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.00017,2.8020221,W/kg,AnimalTraits
Cyclocephala sp.,Insecta,Coleoptera,Scarabaeidae,0.000204,0.99198928,W/kg,AnimalTraits
Anomala sp.,Insecta,Coleoptera,Scarabaeidae,0.0001,1.3491054,W/kg,AnimalTraits
Dyscinetus sp.,Insecta,Coleoptera,Scarabaeidae,0.00039,1.1858191,W/kg,AnimalTraits
Popilius sp.,Insecta,Coleoptera,Passalidae,0.000563,1.3984519,W/kg,AnimalTraits
Nyctobates procerus,Insecta,Coleoptera,Tenebrionidae,0.002198,0.78559879,W/kg,AnimalTraits
Zophobas sp.,Insecta,Coleoptera,Tenebrionidae,0.000535,2.3372007,W/kg,AnimalTraits
Glossina pallidipes,Insecta,Diptera,Glossinidae,2.316e-05,6.5497757,W/kg,AnimalTraits
Glossina pallidipes,Insecta,Diptera,Glossinidae,2.672e-05,5.9424122,W/kg,AnimalTraits
Coptotermes formosanus,Insecta,Blattodea,Rhinotermitidae,3.99e-06,2.5636557,W/kg,AnimalTraits
Reticlitermes flavipes,Insecta,Blattodea,Rhinotermitidae,4.14e-06,4.1928175,W/kg,AnimalTraits
Solenopsis invicta,Insecta,Hymenoptera,Formicidae,2.96e-06,2.2444444,W/kg,AnimalTraits
Rhodnius prolixus,Insecta,Hemiptera,Reduviidae,2e-05,7.7074639,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,9.4e-07,8.4251021,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,9.8e-07,2.5975351,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.15e-06,2.8284271,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.17e-06,4.3514263,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.59e-06,3.1130487,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.9e-06,2.7539948,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,2.9e-06,4.2914067,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,3.32e-06,3.2799531,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.3e-06,3.683533,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.64e-06,2.1030331,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.74e-06,2.6852156,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,4.87e-06,2.6425757,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,5.58e-06,2.4837442,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.02e-06,3.0539496,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.58e-06,2.8585168,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.6e-06,2.5712974,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.95e-06,2.66564,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,6.97e-06,1.6029106,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.11e-06,1.432115,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.28e-06,1.767767,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.33e-06,1.890763,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.48e-06,1.3045553,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,7.87e-06,2.6415425,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.3e-06,2.7943497,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.8e-06,1.2052956,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,8.9e-06,1.5413339,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.024e-05,1.2982039,W/kg,AnimalTraits
Anoplolepis steinergroeveri,Insecta,Hymenoptera,Formicidae,1.048e-05,1.6868005,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,3.6e-06,4.0555556,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.5e-06,1.9111111,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.5e-06,3.2444444,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,4.9e-06,2.7142857,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,7.4e-06,3.0945946,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,8.3e-06,1.5903614,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.04e-05,2.0480769,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.04e-05,2.2692308,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.14e-05,2.0263158,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.2e-05,1.4916667,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.2e-05,1.575,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.23e-05,3.9756098,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.27e-05,2.0944882,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.35e-05,1.9555556,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.5e-05,1.7133333,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.6e-05,1.04375,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.6e-05,1.475,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.76e-05,1.6988636,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.9e-05,2.7263158,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.92e-05,1.8854167,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,1.99e-05,1.4974874,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.15e-05,1.5674419,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.22e-05,2.2117117,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.35e-05,2.2340426,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.44e-05,1.2581967,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,2.67e-05,1.5430712,W/kg,AnimalTraits
Atta columbica,Insecta,Hymenoptera,Formicidae,3.33e-05,1.0960961,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.085e-05,1.6497696,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.386e-05,1.9119769,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.448e-05,1.7748619,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,1.471e-05,1.692726,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.215e-05,1.3860045,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.269e-05,1.934773,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.338e-05,1.9033362,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.431e-05,1.0859729,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.438e-05,1.7842494,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.746e-05,2.3852877,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,2.762e-05,1.4373642,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,3.202e-05,0.87445347,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,3.351e-05,1.4592659,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,3.968e-05,1.2525202,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,4.792e-05,1.3188648,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,4.917e-05,0.7707952,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,5.39e-05,1.471243,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,5.831e-05,0.7391528,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,5.949e-05,0.82198689,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,5.966e-05,1.3576936,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,8.474e-05,1.0018881,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,8.895e-05,0.9005059,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,0.00010606,0.81180464,W/kg,AnimalTraits
Camponotus fulvopilosus,Insecta,Hymenoptera,Formicidae,0.0001553,0.46812621,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,7.7e-06,3.1957553,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.04e-05,2.2165078,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.08e-05,3.1557914,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.09e-05,2.7505805,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.1e-05,2.0956074,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.1e-05,2.7127187,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.11e-05,1.9620621,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.12e-05,2.575889,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.34e-05,2.1107665,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.42e-05,1.4241728,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.51e-05,2.238391,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.52e-05,1.9445436,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.57e-05,2.5221643,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.62e-05,1.5713484,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.66e-05,2.1639171,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.83e-05,1.7233313,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.84e-05,1.9368577,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.87e-05,1.8604093,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.89e-05,1.7883441,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,1.92e-05,2.2686343,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.17e-05,1.4011793,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.22e-05,1.5479905,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.35e-05,1.6790025,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.36e-05,1.3962363,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.43e-05,1.6528257,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.48e-05,1.4028086,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.54e-05,1.8484996,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.56e-05,1.2153398,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.57e-05,1.2711414,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.7e-05,1.0632791,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.95e-05,0.70470981,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,2.98e-05,3.2175731,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.07e-05,1.0733282,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.32e-05,0.90731171,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.32e-05,0.94990851,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.39e-05,2.0358001,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.72e-05,0.90479255,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,3.72e-05,0.77553647,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,7.17e-05,1.1972491,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,9.02e-05,1.0536048,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001,2.0138401,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001061,0.71976939,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001066,0.7442531,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001075,1.9443792,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001102,0.90088741,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001106,0.74035231,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001117,0.69254684,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001119,0.62685427,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001206,1.1140157,W/kg,AnimalTraits
Camponotus maculatus,Insecta,Hymenoptera,Formicidae,0.0001292,0.89318751,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,2.06e-06,5.0470052,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,2.82e-06,6.8551798,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,4.53e-06,3.227493,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,5.53e-06,4.200799,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,5.63e-06,3.6068046,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,5.63e-06,4.4435833,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,6e-06,4.5486134,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,6.74e-06,3.2538301,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,8.03e-06,1.8005097,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,8.03e-06,2.8929537,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,8.24e-06,2.4347857,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,8.66e-06,2.1572523,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,9.08e-06,1.7085926,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,9.08e-06,3.9718069,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,9.23e-06,2.1472328,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,9.71e-06,3.0783613,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.164e-05,3.0075669,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.212e-05,2.3724204,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.403e-05,2.639965,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.465e-05,4.9345026,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.487e-05,3.0589196,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,1.863e-05,3.7102887,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,2.25e-05,3.9962818,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,2.382e-05,3.7611855,W/kg,AnimalTraits
Eciton hamatum,Insecta,Hymenoptera,Formicidae,2.388e-05,3.2245196,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,4.2e-06,2.7619048,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,5.4e-06,2.8703704,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,6.6e-06,2.0757576,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,6.6e-06,2.2575758,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,6.6e-06,2.0757576,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,6.8e-06,1.8235294,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,6.8e-06,1.6176471,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,7e-06,2.4857143,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,8.4e-06,1.8214286,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.09e-05,1.7522936,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.09e-05,1.6422018,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.29e-05,1.8217054,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.3e-05,2.2384615,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.31e-05,1.9618321,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.31e-05,2.0305344,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.38e-05,1.7391304,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.68e-05,1.3690476,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.69e-05,1.8579882,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.72e-05,1.2151163,W/kg,AnimalTraits
Eciton rufa,Insecta,Hymenoptera,Formicidae,1.93e-05,1.7720207,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,3.5e-06,4.363859,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,4.5e-06,1.1627978,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,4.8e-06,3.3292944,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,5.9e-06,2.0374263,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,6.5e-06,6.6794394,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,6.6e-06,1.3713586,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,6.6e-06,3.3855416,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,7.1e-06,1.0158435,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,7.6e-06,0.40937761,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,8.1e-06,0.76821477,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,8.4e-06,0.67343503,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.2e-06,4.4271033,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.5e-06,3.8407063,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.9e-06,0.89995409,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.9e-06,1.7427682,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.9e-06,2.2284577,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,9.9e-06,2.1856028,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.04e-05,1.3190261,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.05e-05,0.64649763,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.07e-05,0.92518644,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.07e-05,6.9917661,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.09e-05,0.66169625,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.1e-05,4.2297842,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.1e-05,2.0184684,W/kg,AnimalTraits
Messor capensis,Insecta,Hymenoptera,Formicidae,1.14e-05,0.6947014,W/kg,AnimalTraits
