geofips,name,population,wages_thousands_usd,year,source
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",5971463,1.4659082e+08,2010,BEA_CA30_via_Bettencourt2020
38060,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",4204981,80364192,2010,BEA_CA30_via_Bettencourt2020
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",100083,1441378,2010,BEA_CA30_via_Bettencourt2020
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",2356988,52119475,2010,BEA_CA30_via_Bettencourt2020
38340,"Pittsfield, MA (Metropolitan Statistical Area)",131278,2458637,2010,BEA_CA30_via_Bettencourt2020
38540,"Pocatello, ID (Metropolitan Statistical Area)",83026,1106265,2010,BEA_CA30_via_Bettencourt2020
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",513892,11343278,2010,BEA_CA30_via_Bettencourt2020
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",2232447,48509022,2010,BEA_CA30_via_Bettencourt2020
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",425243,4841162,2010,BEA_CA30_via_Bettencourt2020
39140,"Prescott, AZ (Metropolitan Statistical Area)",211122,1939163,2010,BEA_CA30_via_Bettencourt2020
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",1602393,30482729,2010,BEA_CA30_via_Bettencourt2020
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",530270,6740115,2010,BEA_CA30_via_Bettencourt2020
39380,"Pueblo, CO (Metropolitan Statistical Area)",159520,2182285,2010,BEA_CA30_via_Bettencourt2020
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",159947,1462026,2010,BEA_CA30_via_Bettencourt2020
39540,"Racine, WI (Metropolitan Statistical Area)",195443,3187816,2010,BEA_CA30_via_Bettencourt2020
39580,"Raleigh, NC (Metropolitan Statistical Area)",1137445,24247510,2010,BEA_CA30_via_Bettencourt2020
39660,"Rapid City, SD (Metropolitan Statistical Area)",135064,2374809,2010,BEA_CA30_via_Bettencourt2020
39740,"Reading, PA (Metropolitan Statistical Area)",411984,7109643,2010,BEA_CA30_via_Bettencourt2020
39820,"Redding, CA (Metropolitan Statistical Area)",177317,2350872,2010,BEA_CA30_via_Bettencourt2020
39900,"Reno, NV (Metropolitan Statistical Area)",426130,8280116,2010,BEA_CA30_via_Bettencourt2020
40060,"Richmond, VA (Metropolitan Statistical Area)*",1210265,28969109,2010,BEA_CA30_via_Bettencourt2020
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",4243928,50146026,2010,BEA_CA30_via_Bettencourt2020
40220,"Roanoke, VA (Metropolitan Statistical Area)*",308659,6327406,2010,BEA_CA30_via_Bettencourt2020
40340,"Rochester, MN (Metropolitan Statistical Area)",207173,5463629,2010,BEA_CA30_via_Bettencourt2020
40380,"Rochester, NY (Metropolitan Statistical Area)",1080285,21557365,2010,BEA_CA30_via_Bettencourt2020
40420,"Rockford, IL (Metropolitan Statistical Area)",349224,5959447,2010,BEA_CA30_via_Bettencourt2020
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",152447,2219674,2010,BEA_CA30_via_Bettencourt2020
40660,"Rome, GA (Metropolitan Statistical Area)",96415,1509081,2010,BEA_CA30_via_Bettencourt2020
40900,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",2154521,44895443,2010,BEA_CA30_via_Bettencourt2020
40980,"Saginaw, MI (Metropolitan Statistical Area)",199916,3240883,2010,BEA_CA30_via_Bettencourt2020
41060,"St. Cloud, MN (Metropolitan Statistical Area)",189219,3627615,2010,BEA_CA30_via_Bettencourt2020
41100,"St. George, UT (Metropolitan Statistical Area)",138424,1509754,2010,BEA_CA30_via_Bettencourt2020
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",127235,2077372,2010,BEA_CA30_via_Bettencourt2020
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",2790026,61927780,2010,BEA_CA30_via_Bettencourt2020
41420,"Salem, OR (Metropolitan Statistical Area)",391534,5786962,2010,BEA_CA30_via_Bettencourt2020
41500,"Salinas, CA (Metropolitan Statistical Area)",416413,7598365,2010,BEA_CA30_via_Bettencourt2020
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",374783,5317775,2010,BEA_CA30_via_Bettencourt2020
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",1091699,27001793,2010,BEA_CA30_via_Bettencourt2020
41660,"San Angelo, TX (Metropolitan Statistical Area)",112285,1759314,2010,BEA_CA30_via_Bettencourt2020
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",2153215,37773602,2010,BEA_CA30_via_Bettencourt2020
41740,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",3104386,73730946,2010,BEA_CA30_via_Bettencourt2020
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",4345364,1.3709032e+08,2010,BEA_CA30_via_Bettencourt2020
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",1842401,80525954,2010,BEA_CA30_via_Bettencourt2020
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",269905,4225161,2010,BEA_CA30_via_Bettencourt2020
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",263266,4122092,2010,BEA_CA30_via_Bettencourt2020
42140,"Santa Fe, NM (Metropolitan Statistical Area)",144462,2653380,2010,BEA_CA30_via_Bettencourt2020
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",424379,8579993,2010,BEA_CA30_via_Bettencourt2020
42220,"Santa Rosa, CA (Metropolitan Statistical Area)",484791,8404703,2010,BEA_CA30_via_Bettencourt2020
42340,"Savannah, GA (Metropolitan Statistical Area)",348751,6582912,2010,BEA_CA30_via_Bettencourt2020
42540,"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",563743,9351715,2010,BEA_CA30_via_Bettencourt2020
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",3448636,98419678,2010,BEA_CA30_via_Bettencourt2020
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",138233,1797471,2010,BEA_CA30_via_Bettencourt2020
42700,"Sebring, FL (Metropolitan Statistical Area)",98665,898047,2010,BEA_CA30_via_Bettencourt2020
43100,"Sheboygan, WI (Metropolitan Statistical Area)",115474,2383130,2010,BEA_CA30_via_Bettencourt2020
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",121042,1640116,2010,BEA_CA30_via_Bettencourt2020
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",441193,7973520,2010,BEA_CA30_via_Bettencourt2020
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",131809,1999771,2010,BEA_CA30_via_Bettencourt2020
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",168832,3116086,2010,BEA_CA30_via_Bettencourt2020
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",229203,5296804,2010,BEA_CA30_via_Bettencourt2020
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",318985,5146926,2010,BEA_CA30_via_Bettencourt2020
43900,"Spartanburg, SC (Metropolitan Statistical Area)",313682,5183170,2010,BEA_CA30_via_Bettencourt2020
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",528577,8938425,2010,BEA_CA30_via_Bettencourt2020
44100,"Springfield, IL (Metropolitan Statistical Area)",210504,4436210,2010,BEA_CA30_via_Bettencourt2020
44140,"Springfield, MA (Metropolitan Statistical Area)",623424,11032269,2010,BEA_CA30_via_Bettencourt2020
44180,"Springfield, MO (Metropolitan Statistical Area)",437409,6810777,2010,BEA_CA30_via_Bettencourt2020
44220,"Springfield, OH (Metropolitan Statistical Area)",138246,1746744,2010,BEA_CA30_via_Bettencourt2020
44300,"State College, PA (Metropolitan Statistical Area)",154253,2996944,2010,BEA_CA30_via_Bettencourt2020
44420,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)*",118349,1703198,2010,BEA_CA30_via_Bettencourt2020
44700,"Stockton-Lodi, CA (Metropolitan Statistical Area)",687442,8759198,2010,BEA_CA30_via_Bettencourt2020
44940,"Sumter, SC (Metropolitan Statistical Area)",107571,1506603,2010,BEA_CA30_via_Bettencourt2020
45060,"Syracuse, NY (Metropolitan Statistical Area)",663029,13010387,2010,BEA_CA30_via_Bettencourt2020
45220,"Tallahassee, FL (Metropolitan Statistical Area)",369416,6765378,2010,BEA_CA30_via_Bettencourt2020
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",2788715,51295917,2010,BEA_CA30_via_Bettencourt2020
45460,"Terre Haute, IN (Metropolitan Statistical Area)",172300,2570817,2010,BEA_CA30_via_Bettencourt2020
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",149352,2309935,2010,BEA_CA30_via_Bettencourt2020
45540,"The Villages, FL (Metropolitan Statistical Area)",94279,792525,2010,BEA_CA30_via_Bettencourt2020
45780,"Toledo, OH (Metropolitan Statistical Area)",610131,11709601,2010,BEA_CA30_via_Bettencourt2020
45820,"Topeka, KS (Metropolitan Statistical Area)",234279,4471493,2010,BEA_CA30_via_Bettencourt2020
45940,"Trenton, NJ (Metropolitan Statistical Area)",367959,13201370,2010,BEA_CA30_via_Bettencourt2020
46060,"Tucson, AZ (Metropolitan Statistical Area)",981870,15323989,2010,BEA_CA30_via_Bettencourt2020
46140,"Tulsa, OK (Metropolitan Statistical Area)",939978,17752468,2010,BEA_CA30_via_Bettencourt2020
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",230428,3766001,2010,BEA_CA30_via_Bettencourt2020
46340,"Tyler, TX (Metropolitan Statistical Area)",210470,3812030,2010,BEA_CA30_via_Bettencourt2020
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",956377,22445011,2010,BEA_CA30_via_Bettencourt2020
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",299281,4739388,2010,BEA_CA30_via_Bettencourt2020
46660,"Valdosta, GA (Metropolitan Statistical Area)",140082,2002646,2010,BEA_CA30_via_Bettencourt2020
46700,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",414062,6492955,2010,BEA_CA30_via_Bettencourt2020
47020,"Victoria, TX (Metropolitan Statistical Area)",94083,1515469,2010,BEA_CA30_via_Bettencourt2020
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",157155,2583105,2010,BEA_CA30_via_Bettencourt2020
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)*",1679972,36632063,2010,BEA_CA30_via_Bettencourt2020
47300,"Visalia-Porterville, CA (Metropolitan Statistical Area)",443081,5033829,2010,BEA_CA30_via_Bettencourt2020
47380,"Waco, TX (Metropolitan Statistical Area)",253821,4186328,2010,BEA_CA30_via_Bettencourt2020
47460,"Walla Walla, WA (Metropolitan Statistical Area)",63031,1048542,2010,BEA_CA30_via_Bettencourt2020
47580,"Warner Robins, GA (Metropolitan Statistical Area)",180420,3240407,2010,BEA_CA30_via_Bettencourt2020
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)*",5666536,2.0818874e+08,2010,BEA_CA30_via_Bettencourt2020
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",167919,3389789,2010,BEA_CA30_via_Bettencourt2020
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",116570,2717648,2010,BEA_CA30_via_Bettencourt2020
48140,"Wausau, WI (Metropolitan Statistical Area)",134069,2635059,2010,BEA_CA30_via_Bettencourt2020
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",124280,1490769,2010,BEA_CA30_via_Bettencourt2020
48300,"Wenatchee, WA (Metropolitan Statistical Area)",111294,1660888,2010,BEA_CA30_via_Bettencourt2020
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",147854,2299079,2010,BEA_CA30_via_Bettencourt2020
48620,"Wichita, KS (Metropolitan Statistical Area)",631907,12398176,2010,BEA_CA30_via_Bettencourt2020
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",151649,2335835,2010,BEA_CA30_via_Bettencourt2020
48700,"Williamsport, PA (Metropolitan Statistical Area)",116204,1919937,2010,BEA_CA30_via_Bettencourt2020
48900,"Wilmington, NC (Metropolitan Statistical Area)",255648,4346894,2010,BEA_CA30_via_Bettencourt2020
49020,"Winchester, VA-WV (Metropolitan Statistical Area)*",128694,2235945,2010,BEA_CA30_via_Bettencourt2020
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",641399,10427737,2010,BEA_CA30_via_Bettencourt2020
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",918934,16758188,2010,BEA_CA30_via_Bettencourt2020
49420,"Yakima, WA (Metropolitan Statistical Area)",244313,3369518,2010,BEA_CA30_via_Bettencourt2020
49620,"York-Hanover, PA (Metropolitan Statistical Area)",435539,7297056,2010,BEA_CA30_via_Bettencourt2020
49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",564878,8002290,2010,BEA_CA30_via_Bettencourt2020
49700,"Yuba City, CA (Metropolitan Statistical Area)",167159,1897658,2010,BEA_CA30_via_Bettencourt2020
49740,"Yuma, AZ (Metropolitan Statistical Area)*",197069,2356296,2010,BEA_CA30_via_Bettencourt2020
