geofips,name,population,wages_thousands_usd,year,source
19460,"Decatur, AL (Metropolitan Statistical Area)",153908,2104231,2010,BEA_CA30_via_Bettencourt2020
19500,"Decatur, IL (Metropolitan Statistical Area)",110780,2361496,2010,BEA_CA30_via_Bettencourt2020
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",590688,6288976,2010,BEA_CA30_via_Bettencourt2020
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)*",2554468,67256411,2010,BEA_CA30_via_Bettencourt2020
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",571981,14737563,2010,BEA_CA30_via_Bettencourt2020
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4291288,87521910,2010,BEA_CA30_via_Bettencourt2020
20020,"Dothan, AL (Metropolitan Statistical Area)",145870,2069611,2010,BEA_CA30_via_Bettencourt2020
20100,"Dover, DE (Metropolitan Statistical Area)",162990,2533269,2010,BEA_CA30_via_Bettencourt2020
20220,"Dubuque, IA (Metropolitan Statistical Area)",93924,2053792,2010,BEA_CA30_via_Bettencourt2020
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",279746,4823734,2010,BEA_CA30_via_Bettencourt2020
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",508123,16086536,2010,BEA_CA30_via_Bettencourt2020
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",169906,2313693,2010,BEA_CA30_via_Bettencourt2020
20740,"Eau Claire, WI (Metropolitan Statistical Area)",161652,2944331,2010,BEA_CA30_via_Bettencourt2020
20940,"El Centro, CA (Metropolitan Statistical Area)",174750,2101212,2010,BEA_CA30_via_Bettencourt2020
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",149940,2561077,2010,BEA_CA30_via_Bettencourt2020
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",197471,4109830,2010,BEA_CA30_via_Bettencourt2020
21300,"Elmira, NY (Metropolitan Statistical Area)",88969,1549523,2010,BEA_CA30_via_Bettencourt2020
21340,"El Paso, TX (Metropolitan Statistical Area)",807102,11018522,2010,BEA_CA30_via_Bettencourt2020
21420,"Enid, OK (Metropolitan Statistical Area)",60758,1067404,2010,BEA_CA30_via_Bettencourt2020
21500,"Erie, PA (Metropolitan Statistical Area)",280774,4702109,2010,BEA_CA30_via_Bettencourt2020
21660,"Eugene, OR (Metropolitan Statistical Area)",351966,5265172,2010,BEA_CA30_via_Bettencourt2020
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",311817,6183403,2010,BEA_CA30_via_Bettencourt2020
21820,"Fairbanks, AK (Metropolitan Statistical Area)*",98289,2366877,2010,BEA_CA30_via_Bettencourt2020
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",209419,4744821,2010,BEA_CA30_via_Bettencourt2020
22140,"Farmington, NM (Metropolitan Statistical Area)",130140,2126651,2010,BEA_CA30_via_Bettencourt2020
22180,"Fayetteville, NC (Metropolitan Statistical Area)",367623,8587244,2010,BEA_CA30_via_Bettencourt2020
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",465802,8776189,2010,BEA_CA30_via_Bettencourt2020
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",134626,2215038,2010,BEA_CA30_via_Bettencourt2020
22420,"Flint, MI (Metropolitan Statistical Area)",425057,5330660,2010,BEA_CA30_via_Bettencourt2020
22500,"Florence, SC (Metropolitan Statistical Area)",205683,3335242,2010,BEA_CA30_via_Bettencourt2020
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",147261,1899216,2010,BEA_CA30_via_Bettencourt2020
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",101712,1731905,2010,BEA_CA30_via_Bettencourt2020
22660,"Fort Collins, CO (Metropolitan Statistical Area)",300524,5650849,2010,BEA_CA30_via_Bettencourt2020
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",280681,4021984,2010,BEA_CA30_via_Bettencourt2020
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",416912,8058245,2010,BEA_CA30_via_Bettencourt2020
23420,"Fresno, CA (Metropolitan Statistical Area)",932462,13153713,2010,BEA_CA30_via_Bettencourt2020
23460,"Gadsden, AL (Metropolitan Statistical Area)",104442,1207515,2010,BEA_CA30_via_Bettencourt2020
23540,"Gainesville, FL (Metropolitan Statistical Area)",264619,5191159,2010,BEA_CA30_via_Bettencourt2020
23580,"Gainesville, GA (Metropolitan Statistical Area)",180003,2916559,2010,BEA_CA30_via_Bettencourt2020
23900,"Gettysburg, PA (Metropolitan Statistical Area)",101472,1171132,2010,BEA_CA30_via_Bettencourt2020
24020,"Glens Falls, NY (Metropolitan Statistical Area)",128976,2012906,2010,BEA_CA30_via_Bettencourt2020
24140,"Goldsboro, NC (Metropolitan Statistical Area)",122892,1715307,2010,BEA_CA30_via_Bettencourt2020
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",98616,1934311,2010,BEA_CA30_via_Bettencourt2020
