species,class,order,family,mass_g,mass_kg,metabolic_rate_W,source
Podomys floridanus,Mammalia,Rodentia,Cricetidae,30.8,0.0308,0.288,AnAge
Reithrodon auritus,Mammalia,Rodentia,Cricetidae,78.7,0.0787,0.428,AnAge
Reithrodontomys megalotis,Mammalia,Rodentia,Cricetidae,9,0.009,0.13,AnAge
Scotinomys teguina,Mammalia,Rodentia,Cricetidae,12,0.012,0.174,AnAge
Sigmodon hispidus,Mammalia,Rodentia,Cricetidae,159.6,0.1596,1.085,AnAge
Ctenomys talarum,Mammalia,Rodentia,Ctenomyidae,121,0.121,0.611,AnAge
Cuniculus paca,Mammalia,Rodentia,Cuniculidae,9156,9.156,15.323,AnAge
Dasyprocta azarae,Mammalia,Rodentia,Dasyproctidae,3849,3.849,10.521,AnAge
Dasyprocta leporina,Mammalia,Rodentia,Dasyproctidae,2687,2.687,8.694,AnAge
Myoprocta acouchy,Mammalia,Rodentia,Dasyproctidae,914,0.914,2.804,AnAge
Jaculus jaculus,Mammalia,Rodentia,Dipodidae,75,0.075,0.515,AnAge
Jaculus orientalis,Mammalia,Rodentia,Dipodidae,139,0.139,0.775,AnAge
Napaeozapus insignis,Mammalia,Rodentia,Dipodidae,21.8,0.0218,0.22,AnAge
Sicista betulina,Mammalia,Rodentia,Dipodidae,10,0.01,0.179,AnAge
Zapus hudsonius,Mammalia,Rodentia,Dipodidae,26.1,0.0261,0.219,AnAge
Proechimys semispinosus,Mammalia,Rodentia,Echimyidae,498,0.498,1.75,AnAge
Thrichomys apereoides,Mammalia,Rodentia,Echimyidae,323,0.323,1.153,AnAge
Coendou prehensilis,Mammalia,Rodentia,Erethizontidae,3280,3.28,5.123,AnAge
Erethizon dorsatus,Mammalia,Rodentia,Erethizontidae,6871,6.871,13.675,AnAge
Geomys bursarius,Mammalia,Rodentia,Geomyidae,197,0.197,0.769,AnAge
Thomomys bottae,Mammalia,Rodentia,Geomyidae,143,0.143,0.67,AnAge
Thomomys talpoides,Mammalia,Rodentia,Geomyidae,97.6,0.0976,0.679,AnAge
Glis glis,Mammalia,Rodentia,Gliridae,174.4,0.1744,0.664,AnAge
Graphiurus murinus,Mammalia,Rodentia,Gliridae,38.4,0.0384,0.225,AnAge
Muscardinus avellanarius,Mammalia,Rodentia,Gliridae,23.5,0.0235,0.351,AnAge
Chaetodipus fallax,Mammalia,Rodentia,Heteromyidae,19.6,0.0196,0.15,AnAge
Chaetodipus formosus,Mammalia,Rodentia,Heteromyidae,15.1,0.0151,0.103,AnAge
Dipodomys agilis,Mammalia,Rodentia,Heteromyidae,60.6,0.0606,0.355,AnAge
Dipodomys deserti,Mammalia,Rodentia,Heteromyidae,105.8,0.1058,0.517,AnAge
Dipodomys heermanni,Mammalia,Rodentia,Heteromyidae,63.3,0.0633,0.408,AnAge
Dipodomys merriami,Mammalia,Rodentia,Heteromyidae,37.6,0.0376,0.246,AnAge
Dipodomys nitratoides,Mammalia,Rodentia,Heteromyidae,37.8,0.0378,0.204,AnAge
Dipodomys ordii,Mammalia,Rodentia,Heteromyidae,47.8,0.0478,0.339,AnAge
Microdipodops megacephalus,Mammalia,Rodentia,Heteromyidae,11,0.011,0.168,AnAge
Perognathus flavus,Mammalia,Rodentia,Heteromyidae,8.3,0.0083,0.097,AnAge
Perognathus longimembris,Mammalia,Rodentia,Heteromyidae,8.5,0.0085,0.061,AnAge
Perognathus parvus,Mammalia,Rodentia,Heteromyidae,19.2,0.0192,0.16,AnAge
Hystrix africaeaustralis,Mammalia,Rodentia,Hystricidae,11300,11.3,13.175,AnAge
Acomys cahirinus,Mammalia,Rodentia,Muridae,42,0.042,0.258,AnAge
Acomys russatus,Mammalia,Rodentia,Muridae,55.4,0.0554,0.24,AnAge
Apodemus agrarius,Mammalia,Rodentia,Muridae,21.2,0.0212,0.373,AnAge
Apodemus flavicollis,Mammalia,Rodentia,Muridae,28.3,0.0283,0.365,AnAge
Apodemus sylvaticus,Mammalia,Rodentia,Muridae,23.8,0.0238,0.264,AnAge
Conilurus penicillatus,Mammalia,Rodentia,Muridae,213.2,0.2132,0.908,AnAge
Desmodillus auricularis,Mammalia,Rodentia,Muridae,71.9,0.0719,0.49,AnAge
Gerbilliscus afra,Mammalia,Rodentia,Muridae,106.5,0.1065,1.016,AnAge
Gerbillus gerbillus,Mammalia,Rodentia,Muridae,29.7,0.0297,0.237,AnAge
Gerbillus nanus,Mammalia,Rodentia,Muridae,29.7,0.0297,0.129,AnAge
Gerbillus perpallidus,Mammalia,Rodentia,Muridae,56.3,0.0563,0.261,AnAge
Gerbillus pyramidum,Mammalia,Rodentia,Muridae,108.5,0.1085,0.454,AnAge
Hydromys chrysogaster,Mammalia,Rodentia,Muridae,900,0.9,2.97,AnAge
Meriones unguiculatus,Mammalia,Rodentia,Muridae,64.8,0.0648,0.546,AnAge
Micaelamys namaquensis,Mammalia,Rodentia,Muridae,62.6,0.0626,0.292,AnAge
Micromys minutus,Mammalia,Rodentia,Muridae,7.6,0.0076,0.201,AnAge
Mus minutoides,Mammalia,Rodentia,Muridae,8,0.008,0.129,AnAge
Mus musculus,Mammalia,Rodentia,Muridae,18,0.018,0.271,AnAge
Notomys alexis,Mammalia,Rodentia,Muridae,32.3,0.0323,0.252,AnAge
Otomys irroratus,Mammalia,Rodentia,Muridae,102,0.102,0.474,AnAge
Rattus fuscipes,Mammalia,Rodentia,Muridae,76,0.076,0.471,AnAge
Rattus lutreolus,Mammalia,Rodentia,Muridae,109,0.109,0.353,AnAge
Rattus norvegicus,Mammalia,Rodentia,Muridae,206.9,0.2069,1.404,AnAge
Rattus rattus,Mammalia,Rodentia,Muridae,117,0.117,0.77,AnAge
Rhabdomys pumilio,Mammalia,Rodentia,Muridae,39.6,0.0396,0.179,AnAge
Sekeetamys calurus,Mammalia,Rodentia,Muridae,63.6,0.0636,0.274,AnAge
Tatera indica,Mammalia,Rodentia,Muridae,86.9,0.0869,0.422,AnAge
Thallomys paedulcus,Mammalia,Rodentia,Muridae,132.4,0.1324,0.487,AnAge
Cricetomys gambianus,Mammalia,Rodentia,Nesomyidae,1686.7,1.6867,6.024,AnAge
Mystromys albicaudatus,Mammalia,Rodentia,Nesomyidae,93.8,0.0938,0.707,AnAge
Saccostomus campestris,Mammalia,Rodentia,Nesomyidae,68.1,0.0681,0.274,AnAge
Steatomys pratensis,Mammalia,Rodentia,Nesomyidae,37.5,0.0375,0.105,AnAge
Octodon degus,Mammalia,Rodentia,Octodontidae,199.6,0.1996,0.958,AnAge
Octodontomys gliroides,Mammalia,Rodentia,Octodontidae,154.1,0.1541,0.715,AnAge
Spalacopus cyanus,Mammalia,Rodentia,Octodontidae,126.2,0.1262,0.561,AnAge
Pedetes capensis,Mammalia,Rodentia,Pedetidae,2300,2.3,4.427,AnAge
Ammospermophilus leucurus,Mammalia,Rodentia,Sciuridae,94.1,0.0941,0.511,AnAge
Callospermophilus lateralis,Mammalia,Rodentia,Sciuridae,249.6,0.2496,0.967,AnAge
Callospermophilus saturatus,Mammalia,Rodentia,Sciuridae,256.6,0.2566,0.849,AnAge
Cynomys ludovicianus,Mammalia,Rodentia,Sciuridae,1112.3,1.1123,2.358,AnAge
Funisciurus anerythrus,Mammalia,Rodentia,Sciuridae,63,0.063,0.58,AnAge
Funisciurus congicus,Mammalia,Rodentia,Sciuridae,112.3,0.1123,0.533,AnAge
Glaucomys volans,Mammalia,Rodentia,Sciuridae,67.4,0.0674,0.414,AnAge
Heliosciurus rufobrachium,Mammalia,Rodentia,Sciuridae,230,0.23,0.744,AnAge
Ictidomys tridecemlineatus,Mammalia,Rodentia,Sciuridae,198.4,0.1984,0.983,AnAge
Marmota flaviventris,Mammalia,Rodentia,Sciuridae,4295,4.295,8.626,AnAge
Marmota monax,Mammalia,Rodentia,Sciuridae,2650,2.65,3.696,AnAge
Paraxerus cepapi,Mammalia,Rodentia,Sciuridae,223.6,0.2236,0.811,AnAge
Poliocitellus franklinii,Mammalia,Rodentia,Sciuridae,607,0.607,2.19,AnAge
Sciurus aberti,Mammalia,Rodentia,Sciuridae,624,0.624,2.402,AnAge
Sciurus carolinensis,Mammalia,Rodentia,Sciuridae,440,0.44,2.062,AnAge
Spermophilus citellus,Mammalia,Rodentia,Sciuridae,240,0.24,1.272,AnAge
Tamias amoenus,Mammalia,Rodentia,Sciuridae,55.7,0.0557,0.5,AnAge
Tamias minimus,Mammalia,Rodentia,Sciuridae,49.3,0.0493,0.349,AnAge
Tamias striatus,Mammalia,Rodentia,Sciuridae,89.6,0.0896,0.813,AnAge
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,219.6,0.2196,1.615,AnAge
Urocitellus beldingi,Mammalia,Rodentia,Sciuridae,293.7,0.2937,0.796,AnAge
Urocitellus richardsonii,Mammalia,Rodentia,Sciuridae,266.3,0.2663,0.788,AnAge
Xerospermophilus mohavensis,Mammalia,Rodentia,Sciuridae,240,0.24,0.629,AnAge
Xerospermophilus tereticaudus,Mammalia,Rodentia,Sciuridae,125.1,0.1251,0.501,AnAge
Xerus inauris,Mammalia,Rodentia,Sciuridae,528.5,0.5285,1.775,AnAge
Cannomys badius,Mammalia,Rodentia,Spalacidae,344,0.344,0.96,AnAge
Spalax ehrenbergi,Mammalia,Rodentia,Spalacidae,133.8,0.1338,0.585,AnAge
Tachyoryctes splendens,Mammalia,Rodentia,Spalacidae,197,0.197,0.856,AnAge
Ptilocercus lowii,Mammalia,Scandentia,Ptilocercidae,57.5,0.0575,0.24,AnAge
Tupaia glis,Mammalia,Scandentia,Tupaiidae,123,0.123,0.522,AnAge
Urogale everetti,Mammalia,Scandentia,Tupaiidae,260.6,0.2606,1.25,AnAge
Trichechus inunguis,Mammalia,Sirenia,Trichechidae,167594,167.594,55.015,AnAge
Trichechus manatus,Mammalia,Sirenia,Trichechidae,450000,450,70.0056,AnAge
Blarina brevicauda,Mammalia,Soricomorpha,Soricidae,20.9,0.0209,0.344,AnAge
Crocidura flavescens,Mammalia,Soricomorpha,Soricidae,33.2,0.0332,0.248,AnAge
Crocidura leucodon,Mammalia,Soricomorpha,Soricidae,11.7,0.0117,0.166,AnAge
Crocidura russula,Mammalia,Soricomorpha,Soricidae,10.8,0.0108,0.143,AnAge
Crocidura suaveolens,Mammalia,Soricomorpha,Soricidae,6.9,0.0069,0.112,AnAge
Cryptotis parva,Mammalia,Soricomorpha,Soricidae,6.3,0.0063,0.164,AnAge
Neomys anomalus,Mammalia,Soricomorpha,Soricidae,13.1,0.0131,0.373,AnAge
Neomys fodiens,Mammalia,Soricomorpha,Soricidae,16,0.016,0.328,AnAge
Sorex alpinus,Mammalia,Soricomorpha,Soricidae,7.8,0.0078,0.267,AnAge
Sorex araneus,Mammalia,Soricomorpha,Soricidae,8.4,0.0084,0.348,AnAge
Sorex cinereus,Mammalia,Soricomorpha,Soricidae,5.2,0.0052,0.238,AnAge
Sorex coronatus,Mammalia,Soricomorpha,Soricidae,9.1,0.0091,0.29,AnAge
Sorex minutus,Mammalia,Soricomorpha,Soricidae,4.1,0.0041,0.179,AnAge
Sorex ornatus,Mammalia,Soricomorpha,Soricidae,9.7,0.0097,0.292,AnAge
Sorex vagrans,Mammalia,Soricomorpha,Soricidae,5.2,0.0052,0.157,AnAge
Suncus etruscus,Mammalia,Soricomorpha,Soricidae,2.4,0.0024,0.063,AnAge
Suncus murinus,Mammalia,Soricomorpha,Soricidae,39.7,0.0397,0.403,AnAge
Condylura cristata,Mammalia,Soricomorpha,Talpidae,49,0.049,0.615,AnAge
Scalopus aquaticus,Mammalia,Soricomorpha,Talpidae,48,0.048,0.378,AnAge
Orycteropus afer,Mammalia,Tubulidentata,Orycteropodidae,48000,48,34.275,AnAge
Alligator mississippiensis,Reptilia,Crocodilia,Alligatoridae,1079,1.079,0.1539,AnAge
Sphenodon punctatus,Reptilia,Rhynchocephalia,Sphenodontidae,430,0.43,0.0605,AnAge
Elgaria multicarinata,Reptilia,Squamata,Anguidae,31.5,0.0315,0.0132,AnAge
Boa constrictor,Reptilia,Squamata,Boidae,3532,3.532,0.3589,AnAge
Natrix natrix,Reptilia,Squamata,Colubridae,94.2,0.0942,0.0295,AnAge
Dipsosaurus dorsalis,Reptilia,Squamata,Iguanidae,69.5,0.0695,0.0441,AnAge
Lacerta viridis,Reptilia,Squamata,Lacertidae,15.7,0.0157,0.00337,AnAge
Python molurus,Reptilia,Squamata,Pythonidae,12370,12.37,1.2661,AnAge
Python reticulatus,Reptilia,Squamata,Pythonidae,32000,32,2.7349,AnAge
Eumeces obsoletus,Reptilia,Squamata,Scincidae,30,0.03,0.0206,AnAge
Tiliqua scincoides,Reptilia,Squamata,Scincidae,493,0.493,0.2127,AnAge
Cnemidophorus tigris,Reptilia,Squamata,Teiidae,18,0.018,0.017,AnAge
Chrysemys picta,Reptilia,Testudines,Emydidae,400,0.4,0.0236,AnAge
Malaclemys terrapin,Reptilia,Testudines,Emydidae,720,0.72,0.140702,AnAge
Trachemys scripta,Reptilia,Testudines,Emydidae,240,0.24,0.1157,AnAge
Gopherus polyphemus,Reptilia,Testudines,Testudinidae,5500,5.5,0.579,AnAge
