species,class,order,family,mass_g,mass_kg,max_longevity_years,source
Chasiempis sandwichensis,Aves,Passeriformes,Monarchidae,15,0.015,17.8,AnAge
Grallina cyanoleuca,Aves,Passeriformes,Monarchidae,79.9,0.0799,12.1,AnAge
Monarcha melanopsis,Aves,Passeriformes,Monarchidae,23,0.023,5.2,AnAge
Myiagra alecto,Aves,Passeriformes,Monarchidae,24.6,0.0246,5.2,AnAge
Myiagra rubecula,Aves,Passeriformes,Monarchidae,12.65,0.01265,6.2,AnAge
Myiagra ruficollis,Aves,Passeriformes,Monarchidae,10.225,0.010225,8.6,AnAge
Anthus cervinus,Aves,Passeriformes,Motacillidae,20.9,0.0209,4.5,AnAge
Anthus petrosus,Aves,Passeriformes,Motacillidae,22.4,0.0224,10.9,AnAge
Anthus pratensis,Aves,Passeriformes,Motacillidae,18.9,0.0189,13.1,AnAge
Anthus rubescens,Aves,Passeriformes,Motacillidae,20.8,0.0208,5.1,AnAge
Anthus spinoletta,Aves,Passeriformes,Motacillidae,21.2,0.0212,8.8,AnAge
Anthus trivialis,Aves,Passeriformes,Motacillidae,19.7,0.0197,8.8,AnAge
Motacilla alba,Aves,Passeriformes,Motacillidae,18,0.018,13.7,AnAge
Motacilla cinerea,Aves,Passeriformes,Motacillidae,17.2,0.0172,8,AnAge
Motacilla flava,Aves,Passeriformes,Motacillidae,14.7,0.0147,8.8,AnAge
Copsychus malabaricus,Aves,Passeriformes,Muscicapidae,29.35,0.02935,7,AnAge
Erithacus rubecula,Aves,Passeriformes,Muscicapidae,17.6,0.0176,19.3,AnAge
Erythropygia galactotes,Aves,Passeriformes,Muscicapidae,20.3,0.0203,7,AnAge
Ficedula albicollis,Aves,Passeriformes,Muscicapidae,12.7,0.0127,9.8,AnAge
Ficedula hypoleuca,Aves,Passeriformes,Muscicapidae,11.7,0.0117,15,AnAge
Luscinia luscinia,Aves,Passeriformes,Muscicapidae,23.8,0.0238,8.9,AnAge
Luscinia megarhynchos,Aves,Passeriformes,Muscicapidae,19.7,0.0197,10.9,AnAge
Luscinia svecica,Aves,Passeriformes,Muscicapidae,17.3,0.0173,11.4,AnAge
Muscicapa striata,Aves,Passeriformes,Muscicapidae,14.4,0.0144,11.8,AnAge
Oenanthe hispanica,Aves,Passeriformes,Muscicapidae,15.1,0.0151,4.9,AnAge
Oenanthe oenanthe,Aves,Passeriformes,Muscicapidae,25,0.025,10.1,AnAge
Phoenicurus ochruros,Aves,Passeriformes,Muscicapidae,16.5,0.0165,10.2,AnAge
Phoenicurus phoenicurus,Aves,Passeriformes,Muscicapidae,14.6,0.0146,10.2,AnAge
Saxicola rubetra,Aves,Passeriformes,Muscicapidae,16.6,0.0166,6.9,AnAge
Saxicola torquatus,Aves,Passeriformes,Muscicapidae,10.3,0.0103,8.8,AnAge
Cinnyris asiaticus,Aves,Passeriformes,Nectariniidae,8.1,0.0081,22,AnAge
Daphoenositta chrysoptera,Aves,Passeriformes,Neosittidae,11.7,0.0117,6.9,AnAge
Nesospingus speculiferus,Aves,Passeriformes,Nesospingidae,35.2,0.0352,4,AnAge
Oreoica gutturalis,Aves,Passeriformes,Oreoicidae,63.125,0.063125,5,AnAge
Oriolus chinensis,Aves,Passeriformes,Oriolidae,82.6,0.0826,29,AnAge
Oriolus oriolus,Aves,Passeriformes,Oriolidae,79,0.079,14.8,AnAge
Oriolus sagittatus,Aves,Passeriformes,Oriolidae,96.6,0.0966,7.1,AnAge
Oriolus xanthornus,Aves,Passeriformes,Oriolidae,56.3,0.0563,15.5,AnAge
Sphecotheres viridis,Aves,Passeriformes,Oriolidae,121.5,0.1215,18,AnAge
Orthonyx spaldingii,Aves,Passeriformes,Orthonychidae,145.1,0.1451,16.5,AnAge
Colluricincla harmonica,Aves,Passeriformes,Pachycephalidae,67.625,0.067625,14.8,AnAge
Colluricincla megarhyncha,Aves,Passeriformes,Pachycephalidae,34.05,0.03405,19.3,AnAge
Falcunculus frontatus,Aves,Passeriformes,Pachycephalidae,28.1,0.0281,11.9,AnAge
Pachycephala inornata,Aves,Passeriformes,Pachycephalidae,30.75,0.03075,11,AnAge
Pachycephala lanioides,Aves,Passeriformes,Pachycephalidae,39.5,0.0395,15.7,AnAge
Pachycephala olivacea,Aves,Passeriformes,Pachycephalidae,41.2,0.0412,7.8,AnAge
Pachycephala pectoralis,Aves,Passeriformes,Pachycephalidae,32.7,0.0327,18,AnAge
Pachycephala rufiventris,Aves,Passeriformes,Pachycephalidae,23.125,0.023125,15.2,AnAge
Pachycephala simplex,Aves,Passeriformes,Pachycephalidae,17.5,0.0175,9.7,AnAge
Panurus biarmicus,Aves,Passeriformes,Panuridae,13.8,0.0138,7.1,AnAge
Paradisaea apoda,Aves,Passeriformes,Paradisaeidae,172,0.172,12.1,AnAge
Ptiloris magnificus,Aves,Passeriformes,Paradisaeidae,161,0.161,12,AnAge
Ptiloris victoriae,Aves,Passeriformes,Paradisaeidae,86.5,0.0865,8.9,AnAge
Pardalotus punctatus,Aves,Passeriformes,Pardalotidae,8.875,0.008875,4,AnAge
Pardalotus quadragintus,Aves,Passeriformes,Pardalotidae,10.7,0.0107,3.5,AnAge
Pardalotus striatus,Aves,Passeriformes,Pardalotidae,11.775,0.011775,6,AnAge
Baeolophus bicolor,Aves,Passeriformes,Paridae,21,0.021,13.3,AnAge
Baeolophus inornatus,Aves,Passeriformes,Paridae,15.9,0.0159,9,AnAge
Baeolophus wollweberi,Aves,Passeriformes,Paridae,10.4,0.0104,6.6,AnAge
Cyanistes caeruleus,Aves,Passeriformes,Paridae,10.3,0.0103,14.6,AnAge
Lophophanes cristatus,Aves,Passeriformes,Paridae,11.1,0.0111,11.6,AnAge
Parus major,Aves,Passeriformes,Paridae,17.9,0.0179,15.4,AnAge
Periparus ater,Aves,Passeriformes,Paridae,9.2,0.0092,9.5,AnAge
Poecile atricapillus,Aves,Passeriformes,Paridae,10.3,0.0103,12.4,AnAge
Poecile carolinensis,Aves,Passeriformes,Paridae,10.25,0.01025,10.9,AnAge
Poecile cinctus,Aves,Passeriformes,Paridae,12.5,0.0125,9,AnAge
Poecile gambeli,Aves,Passeriformes,Paridae,11.5,0.0115,10.1,AnAge
Poecile hudsonicus,Aves,Passeriformes,Paridae,10,0.01,7,AnAge
Poecile montanus,Aves,Passeriformes,Paridae,11.1,0.0111,11.3,AnAge
Poecile palustris,Aves,Passeriformes,Paridae,11.2,0.0112,13.2,AnAge
Poecile rufescens,Aves,Passeriformes,Paridae,9.8,0.0098,9.5,AnAge
Poecile sclateri,Aves,Passeriformes,Paridae,11,0.011,10.1,AnAge
Cardellina canadensis,Aves,Passeriformes,Parulidae,10,0.01,8,AnAge
Cardellina pusilla,Aves,Passeriformes,Parulidae,7,0.007,8.9,AnAge
Cardellina rubrifrons,Aves,Passeriformes,Parulidae,9.8,0.0098,3,AnAge
Geothlypis formosa,Aves,Passeriformes,Parulidae,14,0.014,6.9,AnAge
Geothlypis philadelphia,Aves,Passeriformes,Parulidae,10,0.01,7.9,AnAge
Geothlypis tolmiei,Aves,Passeriformes,Parulidae,10.4,0.0104,9,AnAge
Geothlypis trichas,Aves,Passeriformes,Parulidae,10.6,0.0106,11.5,AnAge
Helmitheros vermivorum,Aves,Passeriformes,Parulidae,12.5,0.0125,8.1,AnAge
Icteria virens,Aves,Passeriformes,Parulidae,26,0.026,8.9,AnAge
Leiothlypis celata,Aves,Passeriformes,Parulidae,9.3,0.0093,8.6,AnAge
Leiothlypis luciae,Aves,Passeriformes,Parulidae,6.6,0.0066,5.8,AnAge
Leiothlypis peregrina,Aves,Passeriformes,Parulidae,8.5,0.0085,6.4,AnAge
Leiothlypis ruficapilla,Aves,Passeriformes,Parulidae,7.5,0.0075,10.2,AnAge
Leiothlypis virginiae,Aves,Passeriformes,Parulidae,8.2,0.0082,6.2,AnAge
Limnothlypis swainsonii,Aves,Passeriformes,Parulidae,13.5,0.0135,9.9,AnAge
Mniotilta varia,Aves,Passeriformes,Parulidae,8.2,0.0082,12.2,AnAge
Myioborus pictus,Aves,Passeriformes,Parulidae,9.75,0.00975,6.6,AnAge
Parkesia motacilla,Aves,Passeriformes,Parulidae,22.5,0.0225,11.9,AnAge
Parkesia noveboracensis,Aves,Passeriformes,Parulidae,18.7,0.0187,8.9,AnAge
Protonotaria citrea,Aves,Passeriformes,Parulidae,12.8,0.0128,8.1,AnAge
Seiurus aurocapilla,Aves,Passeriformes,Parulidae,19,0.019,11,AnAge
Setophaga adelaidae,Aves,Passeriformes,Parulidae,7,0.007,10.6,AnAge
Setophaga americana,Aves,Passeriformes,Parulidae,7,0.007,7,AnAge
Setophaga caerulescens,Aves,Passeriformes,Parulidae,9.4,0.0094,10,AnAge
Setophaga castanea,Aves,Passeriformes,Parulidae,11.5,0.0115,4.9,AnAge
Setophaga cerulea,Aves,Passeriformes,Parulidae,8.625,0.008625,6,AnAge
Setophaga chrysoparia,Aves,Passeriformes,Parulidae,10.2,0.0102,11,AnAge
Setophaga citrina,Aves,Passeriformes,Parulidae,12,0.012,8.2,AnAge
Setophaga coronata,Aves,Passeriformes,Parulidae,11.5,0.0115,10,AnAge
Setophaga discolor,Aves,Passeriformes,Parulidae,7,0.007,10.3,AnAge
Setophaga dominica,Aves,Passeriformes,Parulidae,9.8,0.0098,6.1,AnAge
Setophaga fusca,Aves,Passeriformes,Parulidae,9,0.009,8.2,AnAge
Setophaga kirtlandii,Aves,Passeriformes,Parulidae,15.5,0.0155,9,AnAge
Setophaga magnolia,Aves,Passeriformes,Parulidae,7.5,0.0075,8,AnAge
Setophaga occidentalis,Aves,Passeriformes,Parulidae,10,0.01,9.1,AnAge
Setophaga palmarum,Aves,Passeriformes,Parulidae,9.8,0.0098,6.6,AnAge
Setophaga pensylvanica,Aves,Passeriformes,Parulidae,9,0.009,6.9,AnAge
Setophaga petechia,Aves,Passeriformes,Parulidae,9.8,0.0098,11,AnAge
Setophaga pinus,Aves,Passeriformes,Parulidae,12,0.012,10.2,AnAge
Setophaga ruticilla,Aves,Passeriformes,Parulidae,8.5,0.0085,10.1,AnAge
Setophaga striata,Aves,Passeriformes,Parulidae,15,0.015,8.1,AnAge
Setophaga townsendi,Aves,Passeriformes,Parulidae,8.85,0.00885,10.7,AnAge
Setophaga virens,Aves,Passeriformes,Parulidae,9,0.009,6,AnAge
Vermivora chrysoptera,Aves,Passeriformes,Parulidae,8.8,0.0088,7.9,AnAge
Vermivora cyanoptera,Aves,Passeriformes,Parulidae,7.8,0.0078,9,AnAge
Aimophila ruficeps,Aves,Passeriformes,Passerellidae,18.8,0.0188,5.1,AnAge
Ammodramus savannarum,Aves,Passeriformes,Passerellidae,13.8,0.0138,9.1,AnAge
Amphispiza bilineata,Aves,Passeriformes,Passerellidae,11.6,0.0116,6,AnAge
Arremonops rufivirgatus,Aves,Passeriformes,Passerellidae,22.4,0.0224,8.2,AnAge
Artemisiospiza belli,Aves,Passeriformes,Passerellidae,17.1,0.0171,9.1,AnAge
Calamospiza melanocorys,Aves,Passeriformes,Passerellidae,32.6,0.0326,4.8,AnAge
Chondestes grammacus,Aves,Passeriformes,Passerellidae,27.1,0.0271,7.8,AnAge
Junco hyemalis,Aves,Passeriformes,Passerellidae,18,0.018,11.3,AnAge
Junco phaeonotus,Aves,Passeriformes,Passerellidae,20,0.02,6.6,AnAge
Melospiza georgiana,Aves,Passeriformes,Passerellidae,14.9,0.0149,7.8,AnAge
Melospiza lincolnii,Aves,Passeriformes,Passerellidae,17.35,0.01735,7.6,AnAge
Melospiza melodia,Aves,Passeriformes,Passerellidae,19.1,0.0191,11.3,AnAge
Melozone aberti,Aves,Passeriformes,Passerellidae,46.6,0.0466,8.6,AnAge
Melozone crissalis,Aves,Passeriformes,Passerellidae,47,0.047,12.8,AnAge
Melozone fusca,Aves,Passeriformes,Passerellidae,43.7,0.0437,12.8,AnAge
Passerculus sandwichensis,Aves,Passeriformes,Passerellidae,15.9,0.0159,18,AnAge
Passerella iliaca,Aves,Passeriformes,Passerellidae,35.5,0.0355,10.3,AnAge
Peucaea aestivalis,Aves,Passeriformes,Passerellidae,19.6,0.0196,3.9,AnAge
Pipilo chlorurus,Aves,Passeriformes,Passerellidae,28.88,0.02888,7.7,AnAge
Pipilo erythrophthalmus,Aves,Passeriformes,Passerellidae,39.4,0.0394,12.3,AnAge
Pipilo maculatus,Aves,Passeriformes,Passerellidae,40.4,0.0404,11,AnAge
Pooecetes gramineus,Aves,Passeriformes,Passerellidae,21.5,0.0215,7.9,AnAge
Spizella breweri,Aves,Passeriformes,Passerellidae,11,0.011,6.2,AnAge
Spizella pallida,Aves,Passeriformes,Passerellidae,11.45,0.01145,6.9,AnAge
Spizella passerina,Aves,Passeriformes,Passerellidae,11.9,0.0119,11.8,AnAge
Spizella pusilla,Aves,Passeriformes,Passerellidae,12.5,0.0125,10.3,AnAge
Spizelloides arborea,Aves,Passeriformes,Passerellidae,16.6,0.0166,10.8,AnAge
Zonotrichia albicollis,Aves,Passeriformes,Passerellidae,20.2,0.0202,14.9,AnAge
Zonotrichia atricapilla,Aves,Passeriformes,Passerellidae,31.55,0.03155,10.5,AnAge
Zonotrichia leucophrys,Aves,Passeriformes,Passerellidae,26.1,0.0261,13.3,AnAge
Zonotrichia querula,Aves,Passeriformes,Passerellidae,33.3,0.0333,11.7,AnAge
Passer domesticus,Aves,Passeriformes,Passeridae,25.3,0.0253,23,AnAge
Passer hispaniolensis,Aves,Passeriformes,Passeridae,24.2,0.0242,11.2,AnAge
Passer montanus,Aves,Passeriformes,Passeridae,17.5,0.0175,13.1,AnAge
Petronia petronia,Aves,Passeriformes,Passeridae,30.2,0.0302,7,AnAge
Drymodes brunneopygia,Aves,Passeriformes,Petroicidae,33.95,0.03395,9.7,AnAge
Eopsaltria australis,Aves,Passeriformes,Petroicidae,20.25,0.02025,14.7,AnAge
Eopsaltria georgiana,Aves,Passeriformes,Petroicidae,19.15,0.01915,18.3,AnAge
Eopsaltria griseogularis,Aves,Passeriformes,Petroicidae,19.875,0.019875,8.8,AnAge
Melanodryas cucullata,Aves,Passeriformes,Petroicidae,21.575,0.021575,9.6,AnAge
Melanodryas vittata,Aves,Passeriformes,Petroicidae,26.6,0.0266,4.7,AnAge
Microeca fascinans,Aves,Passeriformes,Petroicidae,14.7583,0.0147583,5.3,AnAge
Microeca flavigaster,Aves,Passeriformes,Petroicidae,12,0.012,4.1,AnAge
Petroica goodenovii,Aves,Passeriformes,Petroicidae,8.875,0.008875,5.5,AnAge
Petroica phoenicea,Aves,Passeriformes,Petroicidae,13,0.013,10.9,AnAge
Petroica rosea,Aves,Passeriformes,Petroicidae,8.2,0.0082,6.1,AnAge
Poecilodryas superciliosa,Aves,Passeriformes,Petroicidae,19.9,0.0199,9,AnAge
Tregellasia capito,Aves,Passeriformes,Petroicidae,13.9,0.0139,13.2,AnAge
Tregellasia leucops,Aves,Passeriformes,Petroicidae,15.975,0.015975,18,AnAge
Phylloscopus collybita,Aves,Passeriformes,Phylloscopidae,8.2,0.0082,8,AnAge
Phylloscopus sibillatrix,Aves,Passeriformes,Phylloscopidae,9.2,0.0092,10.2,AnAge
Phylloscopus trochilus,Aves,Passeriformes,Phylloscopidae,10.7,0.0107,11.8,AnAge
Chiroxiphia pareola,Aves,Passeriformes,Pipridae,16.9,0.0169,14,AnAge
Pitta versicolor,Aves,Passeriformes,Pittidae,90.75,0.09075,6,AnAge
Bubalornis albirostris,Aves,Passeriformes,Ploceidae,61.9,0.0619,20,AnAge
Ploceus cucullatus,Aves,Passeriformes,Ploceidae,36.2,0.0362,24,AnAge
Quelea quelea,Aves,Passeriformes,Ploceidae,17.5,0.0175,10,AnAge
Polioptila caerulea,Aves,Passeriformes,Polioptilidae,6.5,0.0065,4.2,AnAge
Polioptila californica,Aves,Passeriformes,Polioptilidae,6,0.006,8,AnAge
Pomatostomus halli,Aves,Passeriformes,Pomatostomidae,41.8,0.0418,3.9,AnAge
Pomatostomus ruficeps,Aves,Passeriformes,Pomatostomidae,57.8,0.0578,8.3,AnAge
Pomatostomus superciliosus,Aves,Passeriformes,Pomatostomidae,43.2,0.0432,14.4,AnAge
Pomatostomus temporalis,Aves,Passeriformes,Pomatostomidae,71,0.071,13.3,AnAge
Prunella collaris,Aves,Passeriformes,Prunellidae,39.775,0.039775,7.7,AnAge
Prunella modularis,Aves,Passeriformes,Prunellidae,16.8,0.0168,20.8,AnAge
Psophodes olivaceus,Aves,Passeriformes,Psophodidae,68,0.068,12.3,AnAge
Ailuroedus crassirostris,Aves,Passeriformes,Ptilonorhynchidae,207,0.207,14.9,AnAge
Ailuroedus melanotis,Aves,Passeriformes,Ptilonorhynchidae,202,0.202,10.4,AnAge
Ptilonorhynchus violaceus,Aves,Passeriformes,Ptilonorhynchidae,213,0.213,25.1,AnAge
Scenopoeetes dentirostris,Aves,Passeriformes,Ptilonorhynchidae,167.25,0.16725,22,AnAge
Sericulus chrysocephalus,Aves,Passeriformes,Ptilonorhynchidae,100,0.1,17.2,AnAge
Pycnonotus jocosus,Aves,Passeriformes,Pycnonotidae,27.7,0.0277,11.1,AnAge
Pycnonotus xanthopygos,Aves,Passeriformes,Pycnonotidae,38.1,0.0381,8.8,AnAge
Regulus calendula,Aves,Passeriformes,Regulidae,6.75,0.00675,5.6,AnAge
Regulus regulus,Aves,Passeriformes,Regulidae,5.5,0.0055,7,AnAge
Regulus satrapa,Aves,Passeriformes,Regulidae,5.5,0.0055,6.3,AnAge
Auriparus flaviceps,Aves,Passeriformes,Remizidae,6.8,0.0068,5.6,AnAge
Remiz pendulinus,Aves,Passeriformes,Remizidae,9.3,0.0093,7.2,AnAge
Rhipidura leucophrys,Aves,Passeriformes,Rhipiduridae,27,0.027,9.4,AnAge
Rhipidura rufifrons,Aves,Passeriformes,Rhipiduridae,10.2,0.0102,9.1,AnAge
Sitta canadensis,Aves,Passeriformes,Sittidae,11.2,0.0112,7.5,AnAge
Sitta carolinensis,Aves,Passeriformes,Sittidae,20.5,0.0205,9.8,AnAge
Sitta europaea,Aves,Passeriformes,Sittidae,20.4,0.0204,12.9,AnAge
Sitta pusilla,Aves,Passeriformes,Sittidae,10.8,0.0108,5.8,AnAge
Sitta pygmaea,Aves,Passeriformes,Sittidae,10.7,0.0107,8.2,AnAge
Acridotheres cristatellus,Aves,Passeriformes,Sturnidae,109.4,0.1094,13,AnAge
Lamprotornis caudatus,Aves,Passeriformes,Sturnidae,121,0.121,17.8,AnAge
Lamprotornis hildebrandti,Aves,Passeriformes,Sturnidae,55.8,0.0558,16.9,AnAge
Lamprotornis superbus,Aves,Passeriformes,Sturnidae,64.9,0.0649,25,AnAge
Leucopsar rothschildi,Aves,Passeriformes,Sturnidae,95,0.095,25,AnAge
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,75,0.075,22.9,AnAge
Chamaea fasciata,Aves,Passeriformes,Sylviidae,14.7,0.0147,12.6,AnAge
Sylvia atricapilla,Aves,Passeriformes,Sylviidae,16.7,0.0167,13.8,AnAge
Sylvia borin,Aves,Passeriformes,Sylviidae,24.8,0.0248,24,AnAge
Sylvia communis,Aves,Passeriformes,Sylviidae,17.7,0.0177,9,AnAge
Sylvia curruca,Aves,Passeriformes,Sylviidae,10.6,0.0106,9,AnAge
Sylvia melanocephala,Aves,Passeriformes,Sylviidae,11.7,0.0117,8.3,AnAge
Sylvia nisoria,Aves,Passeriformes,Sylviidae,22.5,0.0225,11.9,AnAge
Cercomacra tyrannina,Aves,Passeriformes,Thamnophilidae,16.3,0.0163,13,AnAge
Formicivora acutirostris,Aves,Passeriformes,Thamnophilidae,9.8,0.0098,16.2,AnAge
Hylophylax naevioides,Aves,Passeriformes,Thamnophilidae,17.8,0.0178,14,AnAge
Camarhynchus parvulus,Aves,Passeriformes,Thraupidae,13.2,0.0132,15,AnAge
Camarhynchus pauper,Aves,Passeriformes,Thraupidae,16,0.016,12,AnAge
Coereba flaveola,Aves,Passeriformes,Thraupidae,10.1,0.0101,8.6,AnAge
Cyanerpes caeruleus,Aves,Passeriformes,Thraupidae,12,0.012,17,AnAge
Eucometis penicillata,Aves,Passeriformes,Thraupidae,27,0.027,10,AnAge
Geospiza fuliginosa,Aves,Passeriformes,Thraupidae,14.5,0.0145,15,AnAge
Loxigilla portoricensis,Aves,Passeriformes,Thraupidae,32.1,0.0321,15.6,AnAge
Sporophila torqueola,Aves,Passeriformes,Thraupidae,8.7,0.0087,11.7,AnAge
Thraupis episcopus,Aves,Passeriformes,Thraupidae,35,0.035,9.5,AnAge
Campylorhynchus brunneicapillus,Aves,Passeriformes,Troglodytidae,38.9,0.0389,7.3,AnAge
Thryomanes bewickii,Aves,Passeriformes,Troglodytidae,9.8,0.0098,8,AnAge
Thryothorus ludovicianus,Aves,Passeriformes,Troglodytidae,17.5,0.0175,9.2,AnAge
Troglodytes aedon,Aves,Passeriformes,Troglodytidae,9.7,0.0097,9,AnAge
Troglodytes troglodytes,Aves,Passeriformes,Troglodytidae,9,0.009,7,AnAge
Catharus bicknelli,Aves,Passeriformes,Turdidae,27.5,0.0275,11.9,AnAge
Catharus fuscescens,Aves,Passeriformes,Turdidae,28.8,0.0288,10.1,AnAge
Catharus guttatus,Aves,Passeriformes,Turdidae,27.8,0.0278,10.8,AnAge
Catharus minimus,Aves,Passeriformes,Turdidae,24.8,0.0248,7.3,AnAge
Catharus ustulatus,Aves,Passeriformes,Turdidae,27.9,0.0279,11,AnAge
Hylocichla mustelina,Aves,Passeriformes,Turdidae,43.3,0.0433,10.2,AnAge
Ixoreus naevius,Aves,Passeriformes,Turdidae,78.5,0.0785,5.6,AnAge
Sialia currucoides,Aves,Passeriformes,Turdidae,29.6,0.0296,9,AnAge
Sialia mexicana,Aves,Passeriformes,Turdidae,27.5,0.0275,8.7,AnAge
Sialia sialis,Aves,Passeriformes,Turdidae,30.5,0.0305,10.5,AnAge
Turdus grayi,Aves,Passeriformes,Turdidae,74,0.074,9.6,AnAge
Turdus iliacus,Aves,Passeriformes,Turdidae,58,0.058,18.8,AnAge
Turdus merula,Aves,Passeriformes,Turdidae,103.2,0.1032,21.8,AnAge
Turdus migratorius,Aves,Passeriformes,Turdidae,75.5,0.0755,17,AnAge
Turdus philomelos,Aves,Passeriformes,Turdidae,62.8,0.0628,17.7,AnAge
Turdus pilaris,Aves,Passeriformes,Turdidae,106,0.106,18.1,AnAge
Turdus plumbeus,Aves,Passeriformes,Turdidae,75.3,0.0753,14.6,AnAge
Turdus torquatus,Aves,Passeriformes,Turdidae,109,0.109,9.1,AnAge
Turdus viscivorus,Aves,Passeriformes,Turdidae,117.5,0.1175,21.2,AnAge
Zoothera heinei,Aves,Passeriformes,Turdidae,111,0.111,1,AnAge
Zoothera lunulata,Aves,Passeriformes,Turdidae,129.5,0.1295,0.6,AnAge
Camptostoma imberbe,Aves,Passeriformes,Tyrannidae,7.4,0.0074,5.8,AnAge
Contopus cooperi,Aves,Passeriformes,Tyrannidae,32.8,0.0328,11.1,AnAge
Contopus sordidulus,Aves,Passeriformes,Tyrannidae,12.8,0.0128,8.1,AnAge
Contopus virens,Aves,Passeriformes,Tyrannidae,13.9,0.0139,8.2,AnAge
Elaenia martinica,Aves,Passeriformes,Tyrannidae,20.9,0.0209,13.6,AnAge
Empidonax alnorum,Aves,Passeriformes,Tyrannidae,13.5,0.0135,9.1,AnAge
Empidonax difficilis,Aves,Passeriformes,Tyrannidae,11,0.011,6.9,AnAge
Empidonax hammondii,Aves,Passeriformes,Tyrannidae,10.4,0.0104,7,AnAge
Empidonax minimus,Aves,Passeriformes,Tyrannidae,10,0.01,8,AnAge
Empidonax oberholseri,Aves,Passeriformes,Tyrannidae,10.95,0.01095,9,AnAge
Empidonax traillii,Aves,Passeriformes,Tyrannidae,12.6,0.0126,11,AnAge
Empidonax virescens,Aves,Passeriformes,Tyrannidae,12.3,0.0123,12.1,AnAge
Myiarchus antillarum,Aves,Passeriformes,Tyrannidae,23.4,0.0234,13.6,AnAge
Myiarchus apicalis,Aves,Passeriformes,Tyrannidae,29.2,0.0292,6,AnAge
Myiarchus cinerascens,Aves,Passeriformes,Tyrannidae,28.5,0.0285,11.9,AnAge
Myiarchus crinitus,Aves,Passeriformes,Tyrannidae,33.9,0.0339,14.9,AnAge
Myiarchus tyrannulus,Aves,Passeriformes,Tyrannidae,35,0.035,11,AnAge
Pyrocephalus rubinus,Aves,Passeriformes,Tyrannidae,12.87,0.01287,5.5,AnAge
Sayornis nigricans,Aves,Passeriformes,Tyrannidae,18.25,0.01825,8,AnAge
Sayornis phoebe,Aves,Passeriformes,Tyrannidae,21.6,0.0216,10.3,AnAge
Tyrannus tyrannus,Aves,Passeriformes,Tyrannidae,35.7,0.0357,11.1,AnAge
Tyrannus verticalis,Aves,Passeriformes,Tyrannidae,40.7,0.0407,6.9,AnAge
Vireo atricapilla,Aves,Passeriformes,Vireonidae,8.65,0.00865,12,AnAge
Vireo bellii,Aves,Passeriformes,Vireonidae,10,0.01,9.1,AnAge
Vireo flavifrons,Aves,Passeriformes,Vireonidae,18,0.018,6.1,AnAge
Vireo gilvus,Aves,Passeriformes,Vireonidae,15,0.015,13.1,AnAge
Vireo griseus,Aves,Passeriformes,Vireonidae,12,0.012,10.9,AnAge
Vireo huttoni,Aves,Passeriformes,Vireonidae,11.3,0.0113,13.5,AnAge
Vireo latimeri,Aves,Passeriformes,Vireonidae,12,0.012,16.8,AnAge
Vireo olivaceus,Aves,Passeriformes,Vireonidae,17,0.017,10.2,AnAge
Vireo philadelphicus,Aves,Passeriformes,Vireonidae,12,0.012,9.8,AnAge
Vireo solitarius,Aves,Passeriformes,Vireonidae,16,0.016,7.4,AnAge
Zosterops japonicus,Aves,Passeriformes,Zosteropidae,11.25,0.01125,5.1,AnAge
Zosterops lateralis,Aves,Passeriformes,Zosteropidae,12.7,0.0127,18.7,AnAge
Zosterops luteus,Aves,Passeriformes,Zosteropidae,9.775,0.009775,8.7,AnAge
Ardea alba,Aves,Pelecaniformes,Ardeidae,873.5,0.8735,22.8,AnAge
Ardea cinerea,Aves,Pelecaniformes,Ardeidae,1443,1.443,37.5,AnAge
Ardea cocoi,Aves,Pelecaniformes,Ardeidae,1937.7,1.9377,24.4,AnAge
Ardea goliath,Aves,Pelecaniformes,Ardeidae,4468,4.468,22.9,AnAge
Ardea herodias,Aves,Pelecaniformes,Ardeidae,1870,1.87,24.5,AnAge
Ardea purpurea,Aves,Pelecaniformes,Ardeidae,1065.5,1.0655,25.4,AnAge
Botaurus lentiginosus,Aves,Pelecaniformes,Ardeidae,600,0.6,8.3,AnAge
Botaurus stellaris,Aves,Pelecaniformes,Ardeidae,1324.5,1.3245,11.3,AnAge
Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,390,0.39,23,AnAge
Butorides virescens,Aves,Pelecaniformes,Ardeidae,175,0.175,11.6,AnAge
Egretta caerulea,Aves,Pelecaniformes,Ardeidae,339.5,0.3395,13.9,AnAge
Egretta garzetta,Aves,Pelecaniformes,Ardeidae,312,0.312,22.3,AnAge
Egretta rufescens,Aves,Pelecaniformes,Ardeidae,614,0.614,22,AnAge
Egretta sacra,Aves,Pelecaniformes,Ardeidae,510.25,0.51025,15,AnAge
Egretta thula,Aves,Pelecaniformes,Ardeidae,314,0.314,22.8,AnAge
Egretta tricolor,Aves,Pelecaniformes,Ardeidae,309.9,0.3099,17.7,AnAge
Ixobrychus minutus,Aves,Pelecaniformes,Ardeidae,101,0.101,7.8,AnAge
Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,800,0.8,21.1,AnAge
Balaeniceps rex,Aves,Pelecaniformes,Balaenicipitidae,5984,5.984,35.7,AnAge
Pelecanus conspicillatus,Aves,Pelecaniformes,Pelecanidae,5452.5,5.4525,26.1,AnAge
