geoid,name,city_type,population,road_length_m,road_length_m_per_cap,year,source
3419390,East Orange city,urban,69612,143147.06,2.0563561,2020,quantify-infrastructure_ssp2
3422560,Fairview borough,urban,15025,29920.978,1.9914129,2020,quantify-infrastructure_ssp2
3424420,Fort Lee borough,urban,40191,112579.91,2.8011223,2020,quantify-infrastructure_ssp2
3401184,Ampere North CDP,urban,5132,10783.743,2.101275,2020,quantify-infrastructure_ssp2
3418148,Dover Beaches North CDP,urban,1277,78046.231,61.116861,2020,quantify-infrastructure_ssp2
3454480,Ocean Grove CDP,urban,3057,32333.318,10.576813,2020,quantify-infrastructure_ssp2
3467590,Silver Lake CDP,urban,4730,11838.268,2.5028051,2020,quantify-infrastructure_ssp2
3475590,Vauxhall CDP,urban,5251,21364.829,4.0687163,2020,quantify-infrastructure_ssp2
3477750,Watsessing CDP,urban,8078,23484.153,2.9071742,2020,quantify-infrastructure_ssp2
3676540,Utica city,urban,65283,567744.64,8.696669,2020,quantify-infrastructure_ssp2
3611000,Buffalo city,urban,278349,1408000.9,5.0584011,2020,quantify-infrastructure_ssp2
3601000,Albany city,urban,99224,487797.91,4.9161283,2020,quantify-infrastructure_ssp2
3675484,Troy city,urban,51401,304393.92,5.9219454,2020,quantify-infrastructure_ssp2
3630213,Great Neck Plaza village,urban,7482,15858.284,2.1195247,2020,quantify-infrastructure_ssp2
3633139,Hempstead village,urban,59169,207701.11,3.5103029,2020,quantify-infrastructure_ssp2
3643335,Long Beach city,urban,35029,124881.66,3.5650934,2020,quantify-infrastructure_ssp2
3626264,Floral Park village,urban,16172,105949.54,6.5514185,2020,quantify-infrastructure_ssp2
3645106,Manorhaven village,urban,6956,28834.247,4.145234,2020,quantify-infrastructure_ssp2
3667638,Sleepy Hollow village,urban,9986,55154.567,5.5231892,2020,quantify-infrastructure_ssp2
3665508,Schenectady city,urban,67047,397536.5,5.9292213,2020,quantify-infrastructure_ssp2
3639232,Kenmore village,urban,15205,90783.306,5.9706219,2020,quantify-infrastructure_ssp2
3647636,Mineola village,urban,20800,116827.63,5.6167131,2020,quantify-infrastructure_ssp2
3673000,Syracuse city,urban,148620,948565.07,6.382486,2020,quantify-infrastructure_ssp2
3670420,Spring Valley village,urban,33066,110841,3.3521139,2020,quantify-infrastructure_ssp2
3638934,Kaser village,urban,5491,9089.4526,1.6553365,2020,quantify-infrastructure_ssp2
3605639,Bellerose village,urban,1173,9562.3044,8.1520071,2020,quantify-infrastructure_ssp2
3649121,Mount Vernon city,urban,73893,181541.42,2.4568148,2020,quantify-infrastructure_ssp2
3654100,Nyack village,urban,7265,38081.137,5.2417257,2020,quantify-infrastructure_ssp2
3651000,New York city,urban,8804190,11171783,1.2689167,2020,quantify-infrastructure_ssp2
3682117,Williston Park village,urban,7591,46435.084,6.1171234,2020,quantify-infrastructure_ssp2
3638077,Ithaca city,urban,32108,159021.02,4.9526915,2020,quantify-infrastructure_ssp2
3678674,Watervliet city,urban,10375,66424.087,6.4023217,2020,quantify-infrastructure_ssp2
3663000,Rochester city,urban,211328,1137193.7,5.3811787,2020,quantify-infrastructure_ssp2
3650617,New Rochelle city,urban,79726,370464.86,4.6467258,2020,quantify-infrastructure_ssp2
3659223,Port Chester village,urban,31693,90661.86,2.8606273,2020,quantify-infrastructure_ssp2
3684000,Yonkers city,urban,211569,733358.11,3.4662834,2020,quantify-infrastructure_ssp2
3675583,Tuckahoe village,urban,7084,29903.685,4.2212994,2020,quantify-infrastructure_ssp2
3681677,White Plains city,urban,59559,297386.27,4.9931374,2020,quantify-infrastructure_ssp2
3605661,Bellerose Terrace CDP,urban,2329,8601.9244,3.6933982,2020,quantify-infrastructure_ssp2
3621809,Eastchester CDP,urban,20901,138433.61,6.623301,2020,quantify-infrastructure_ssp2
3624273,Elmont CDP,urban,35265,182426.26,5.1730118,2020,quantify-infrastructure_ssp2
3915000,Cincinnati city,urban,309317,2098244.3,6.7834756,2020,quantify-infrastructure_ssp2
3916000,Cleveland city,urban,372624,2742283,7.3593838,2020,quantify-infrastructure_ssp2
3923380,East Cleveland city,urban,13792,123704.67,8.9693065,2020,quantify-infrastructure_ssp2
3941664,Lakewood city,urban,50942,229703.42,4.5091167,2020,quantify-infrastructure_ssp2
4159000,Portland city,urban,652503,5023640.7,7.6990307,2020,quantify-infrastructure_ssp2
4214264,Clifton Heights borough,urban,6863,28484.452,4.1504374,2020,quantify-infrastructure_ssp2
4203608,Avalon borough,urban,4762,36937.757,7.7567737,2020,quantify-infrastructure_ssp2
4205312,Bellevue borough,urban,8311,53878.951,6.4828482,2020,quantify-infrastructure_ssp2
4260000,Philadelphia city,urban,1603797,4674461.4,2.9146216,2020,quantify-infrastructure_ssp2
4219576,Dormont borough,urban,8244,46851.644,5.6831204,2020,quantify-infrastructure_ssp2
4251744,Mount Oliver borough,urban,3394,19965.776,5.8826684,2020,quantify-infrastructure_ssp2
4246592,Mahanoy City borough,urban,3499,27800.374,7.9452341,2020,quantify-infrastructure_ssp2
4218152,Darby borough,urban,10715,41471.652,3.8704295,2020,quantify-infrastructure_ssp2
4262792,Prospect Park borough,urban,6427,41116.878,6.3975226,2020,quantify-infrastructure_ssp2
4221384,East Lansdowne borough,urban,2714,12796.691,4.7150668,2020,quantify-infrastructure_ssp2
4215848,Conshohocken borough,urban,9261,50028.666,5.4020803,2020,quantify-infrastructure_ssp2
4254656,Norristown borough,urban,35748,152557.46,4.2675804,2020,quantify-infrastructure_ssp2
4248480,Media borough,urban,5901,44996.791,7.6252823,2020,quantify-infrastructure_ssp2
4275816,Swissvale borough,urban,8624,61377.05,7.1170049,2020,quantify-infrastructure_ssp2
4241440,Lansdowne borough,urban,11107,72588.315,6.5353664,2020,quantify-infrastructure_ssp2
4285188,Wilkinsburg borough,urban,14349,116709.76,8.1336513,2020,quantify-infrastructure_ssp2
4202000,Allentown city,urban,125845,796190.47,6.3267549,2020,quantify-infrastructure_ssp2
4263624,Reading city,urban,95112,332364.38,3.4944526,2020,quantify-infrastructure_ssp2
4249504,Millbourne borough,urban,1212,2982.3556,2.4606894,2020,quantify-infrastructure_ssp2
4282704,West Chester borough,urban,18671,76236.962,4.0831751,2020,quantify-infrastructure_ssp2
4259152,Pennsbury Village borough,urban,677,5489.3899,8.1084045,2020,quantify-infrastructure_ssp2
