species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Tadarida brasiliensis,Chiroptera,Molossidae,12.61,0.01261,180,15,PanTHERIA_WR05
Talpa europaea,Soricomorpha,Talpidae,87.53,0.08753,84,7,PanTHERIA_WR05
Tamandua mexicana,Pilosa,Myrmecophagidae,4178.51,4.17851,114,9.5,PanTHERIA_WR05
Tamandua tetradactyla,Pilosa,Myrmecophagidae,4800,4.8,108,9,PanTHERIA_WR05
Tamias amoenus,Rodentia,Sciuridae,50.63,0.05063,62,5.1666667,PanTHERIA_WR05
Tamias minimus,Rodentia,Sciuridae,42.87,0.04287,75.96,6.33,PanTHERIA_WR05
Tamias ruficaudus,Rodentia,Sciuridae,60.06,0.06006,96,8,PanTHERIA_WR05
Tamias townsendii,Rodentia,Sciuridae,79.12,0.07912,84,7,PanTHERIA_WR05
Tamiasciurus hudsonicus,Rodentia,Sciuridae,200.24,0.20024,144,12,PanTHERIA_WR05
Taphozous georgianus,Chiroptera,Emballonuridae,30.52,0.03052,60,5,PanTHERIA_WR05
Tapirus indicus,Perissodactyla,Tapiridae,311209.19,311.20919,360,30,PanTHERIA_WR05
Tarsius syrichta,Primates,Tarsiidae,115.91,0.11591,180,15,PanTHERIA_WR05
Abrocoma bennettii,Rodentia,Abrocomidae,250.5,0.2505,27.6,2.3,PanTHERIA_WR05
Abrothrix olivaceus,Rodentia,Cricetidae,24.52,0.02452,12,1,PanTHERIA_WR05
Acinonyx jubatus,Carnivora,Felidae,50577.92,50.57792,228,19,PanTHERIA_WR05
Alcelaphus buselaphus,Artiodactyla,Bovidae,160937.86,160.93786,240,20,PanTHERIA_WR05
Alcelaphus caama,Artiodactyla,Bovidae,176115.97,176.11597,183.96,15.33,PanTHERIA_WR05
Alces alces,Artiodactyla,Cervidae,461900.76,461.90076,324,27,PanTHERIA_WR05
Alces americanus,Artiodactyla,Cervidae,541460.44,541.46044,300,25,PanTHERIA_WR05
Allactaga euphratica,Rodentia,Dipodidae,232,0.232,50.4,4.2,PanTHERIA_WR05
Allenopithecus nigroviridis,Primates,Cercopithecidae,4749.96,4.74996,276,23,PanTHERIA_WR05
Alouatta caraya,Primates,Atelidae,5576.96,5.57696,243.6,20.3,PanTHERIA_WR05
Alouatta palliata,Primates,Atelidae,6576.99,6.57699,300,25,PanTHERIA_WR05
Alouatta pigra,Primates,Atelidae,7172.06,7.17206,240,20,PanTHERIA_WR05
