species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Cercopithecus pogonias,Primates,Cercopithecidae,3578.27,3.57827,289.2,24.1,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5741.66,5.74166,138,11.5,PanTHERIA_WR05
Cervus elaphus,Artiodactyla,Cervidae,240867.13,240.86713,321.6,26.8,PanTHERIA_WR05
Cervus nippon,Artiodactyla,Cervidae,52999.99,52.99999,305.04,25.42,PanTHERIA_WR05
Chaerephon pumilus,Chiroptera,Molossidae,10.98,0.01098,60,5,PanTHERIA_WR05
Chaetodipus fallax,Rodentia,Heteromyidae,19.19,0.01919,99.6,8.3,PanTHERIA_WR05
Chaetodipus formosus,Rodentia,Heteromyidae,20.02,0.02002,60,5,PanTHERIA_WR05
Cricetus cricetus,Rodentia,Cricetidae,428.95,0.42895,48,4,PanTHERIA_WR05
Crocidura russula,Soricomorpha,Soricidae,9.89,0.00989,38.4,3.2,PanTHERIA_WR05
Crocidura suaveolens,Soricomorpha,Soricidae,7.35,0.00735,32.4,2.7,PanTHERIA_WR05
Eptesicus nilssonii,Chiroptera,Vespertilionidae,10.72,0.01072,186,15.5,PanTHERIA_WR05
Equus quagga,Perissodactyla,Equidae,400000,400,240,20,PanTHERIA_WR05
Equus zebra,Perissodactyla,Equidae,282462.13,282.46213,288,24,PanTHERIA_WR05
Eremitalpa granti,Afrosoricida,Chrysochloridae,22.04,0.02204,24,2,PanTHERIA_WR05
Erethizon dorsatum,Rodentia,Erethizontidae,7419.46,7.41946,216,18,PanTHERIA_WR05
Erignathus barbatus,Carnivora,Phocidae,279999.99,279.99999,377.43,31.4525,PanTHERIA_WR05
Erinaceus europaeus,Erinaceomorpha,Erinaceidae,777.95,0.77795,168,14,PanTHERIA_WR05
Erythrocebus patas,Primates,Cercopithecidae,7966.3,7.9663,286.8,23.9,PanTHERIA_WR05
Eptesicus serotinus,Chiroptera,Vespertilionidae,23.09,0.02309,72,6,PanTHERIA_WR05
Equus asinus,Perissodactyla,Equidae,164998.49,164.99849,564,47,PanTHERIA_WR05
Equus burchellii,Perissodactyla,Equidae,279160.65,279.16065,480,40,PanTHERIA_WR05
Equus caballus,Perissodactyla,Equidae,403598.53,403.59853,744,62,PanTHERIA_WR05
Equus grevyi,Perissodactyla,Equidae,408000.35,408.00035,312,26,PanTHERIA_WR05
Equus hemionus,Perissodactyla,Equidae,235248.07,235.24807,465.6,38.8,PanTHERIA_WR05
Genetta cristata,Carnivora,Viverridae,1863.23,1.86323,408,34,PanTHERIA_WR05
Genetta genetta,Carnivora,Viverridae,1756.17,1.75617,408,34,PanTHERIA_WR05
Delphinapterus leucas,Cetacea,Monodontidae,1381640.7,1381.6407,480,40,PanTHERIA_WR05
Delphinus delphis,Cetacea,Delphinidae,79271.69,79.27169,240,20,PanTHERIA_WR05
Dendrohyrax arboreus,Hyracoidea,Procaviidae,2981.11,2.98111,147.6,12.3,PanTHERIA_WR05
Dendrohyrax dorsalis,Hyracoidea,Procaviidae,3174.99,3.17499,120,10,PanTHERIA_WR05
Dendrolagus bennettianus,Diprotodontia,Macropodidae,10458.82,10.45882,240,20,PanTHERIA_WR05
Dendrolagus dorianus,Diprotodontia,Macropodidae,8976.58,8.97658,96,8,PanTHERIA_WR05
Dendrolagus goodfellowi,Diprotodontia,Macropodidae,7948.78,7.94878,252,21,PanTHERIA_WR05
Bison bison,Artiodactyla,Bovidae,624577.07,624.57707,396,33,PanTHERIA_WR05
Bison bonasus,Artiodactyla,Bovidae,675876.7,675.8767,324,27,PanTHERIA_WR05
Blarina brevicauda,Soricomorpha,Soricidae,18.56,0.01856,33,2.75,PanTHERIA_WR05
Baiomys taylori,Rodentia,Cricetidae,7.43,0.00743,39.12,3.26,PanTHERIA_WR05
Balaena mysticetus,Cetacea,Balaenidae,79691179,79691.179,480,40,PanTHERIA_WR05
Balaenoptera acutorostrata,Cetacea,Balaenopteridae,5587093.6,5587.0936,600,50,PanTHERIA_WR05
Balaenoptera borealis,Cetacea,Balaenopteridae,22106252,22106.252,888,74,PanTHERIA_WR05
Balaenoptera edeni,Cetacea,Balaenopteridae,20000000,20000,864,72,PanTHERIA_WR05
Cephalophus dorsalis,Artiodactyla,Bovidae,20000,20,204.96,17.08,PanTHERIA_WR05
Cephalophus jentinki,Artiodactyla,Bovidae,68489.54,68.48954,210,17.5,PanTHERIA_WR05
Cephalophus leucogaster,Artiodactyla,Bovidae,13208.69,13.20869,63.96,5.33,PanTHERIA_WR05
Cephalophus natalensis,Artiodactyla,Bovidae,12724.51,12.72451,180,15,PanTHERIA_WR05
Chaetophractus villosus,Cingulata,Dasypodidae,4372.8,4.3728,240,20,PanTHERIA_WR05
Dendrolagus inustus,Diprotodontia,Macropodidae,12625,12.625,240,20,PanTHERIA_WR05
Dendrolagus matschiei,Diprotodontia,Macropodidae,8293.4,8.2934,286,23.833333,PanTHERIA_WR05
Dendrolagus ursinus,Diprotodontia,Macropodidae,13249.99,13.24999,242.4,20.2,PanTHERIA_WR05
Dendromus mesomelas,Rodentia,Nesomyidae,10.2,0.0102,39.6,3.3,PanTHERIA_WR05
Desmodus rotundus,Chiroptera,Phyllostomidae,33.16,0.03316,234,19.5,PanTHERIA_WR05
Dicerorhinus sumatrensis,Perissodactyla,Rhinocerotidae,1046156,1046.156,420,35,PanTHERIA_WR05
Diceros bicornis,Perissodactyla,Rhinocerotidae,995940.54,995.94054,564,47,PanTHERIA_WR05
Dicrostonyx torquatus,Rodentia,Cricetidae,78.77,0.07877,45.6,3.8,PanTHERIA_WR05
Didelphis albiventris,Didelphimorphia,Didelphidae,1030.47,1.03047,20.4,1.7,PanTHERIA_WR05
Didelphis marsupialis,Didelphimorphia,Didelphidae,1134.75,1.13475,32.4,2.7,PanTHERIA_WR05
Didelphis virginiana,Didelphimorphia,Didelphidae,2442.08,2.44208,60,5,PanTHERIA_WR05
Dinomys branickii,Rodentia,Dinomyidae,12500,12.5,112.8,9.4,PanTHERIA_WR05
Elephantulus intufi,Macroscelidea,Macroscelididae,48.9,0.0489,105.6,8.8,PanTHERIA_WR05
Elephantulus myurus,Macroscelidea,Macroscelididae,59.51,0.05951,13.2,1.1,PanTHERIA_WR05
Elephantulus rozeti,Macroscelidea,Macroscelididae,43.07,0.04307,36,3,PanTHERIA_WR05
Elephantulus rufescens,Macroscelidea,Macroscelididae,52.78,0.05278,72,6,PanTHERIA_WR05
Elephas maximus,Proboscidea,Elephantidae,3269794.3,3269.7943,960,80,PanTHERIA_WR05
Eligmodontia typus,Rodentia,Cricetidae,17.37,0.01737,9.6,0.8,PanTHERIA_WR05
Eliomys quercinus,Rodentia,Gliridae,114.61,0.11461,66,5.5,PanTHERIA_WR05
Heterocephalus glaber,Rodentia,Bathyergidae,39.36,0.03936,120,10,PanTHERIA_WR05
Heterohyrax brucei,Hyracoidea,Procaviidae,2453.66,2.45366,168,14,PanTHERIA_WR05
Lagostomus maximus,Rodentia,Chinchillidae,4660.94,4.66094,112.8,9.4,PanTHERIA_WR05
Lagostrophus fasciatus,Diprotodontia,Macropodidae,1933.48,1.93348,48,4,PanTHERIA_WR05
Lagothrix lagotricha,Primates,Atelidae,6263.69,6.26369,360,30,PanTHERIA_WR05
Lama glama,Artiodactyla,Camelidae,78322.67,78.32267,339.6,28.3,PanTHERIA_WR05
Eudorcas thomsonii,Artiodactyla,Bovidae,22907.43,22.90743,182.04,15.17,PanTHERIA_WR05
Eulemur coronatus,Primates,Lemuridae,1699.85,1.69985,220.8,18.4,PanTHERIA_WR05
Eulemur fulvus,Primates,Lemuridae,2376.99,2.37699,444,37,PanTHERIA_WR05
Eulemur macaco,Primates,Lemuridae,2470.43,2.47043,360,30,PanTHERIA_WR05
Eulemur mongoz,Primates,Lemuridae,1771.13,1.77113,360,30,PanTHERIA_WR05
Eumetopias jubatus,Carnivora,Otariidae,382466.74,382.46674,360,30,PanTHERIA_WR05
Galea musteloides,Rodentia,Caviidae,386.64,0.38664,21.6,1.8,PanTHERIA_WR05
Galea spixii,Rodentia,Caviidae,360.61,0.36061,55.2,4.6,PanTHERIA_WR05
Galemys pyrenaicus,Soricomorpha,Talpidae,60.17,0.06017,60,5,PanTHERIA_WR05
Galeopterus variegates,Dermoptera,Cynocephalidae,1112.2,1.1122,3.45,0.2875,PanTHERIA_WR05
Galerella pulverulenta,Carnivora,Herpestidae,791.4,0.7914,104.5,8.7083333,PanTHERIA_WR05
Galerella sanguinea,Carnivora,Herpestidae,543.83,0.54383,72,6,PanTHERIA_WR05
Galictis cuja,Carnivora,Mustelidae,1000,1,87,7.25,PanTHERIA_WR05
Galidia elegans,Carnivora,Eupleridae,810,0.81,158.4,13.2,PanTHERIA_WR05
Gazella arabica,Artiodactyla,Bovidae,24124.67,24.12467,135.96,11.33,PanTHERIA_WR05
Gazella dorcas,Artiodactyla,Bovidae,15635.95,15.63595,209.04,17.42,PanTHERIA_WR05
Gazella gazella,Artiodactyla,Bovidae,21306.83,21.30683,219,18.25,PanTHERIA_WR05
Gazella leptoceros,Artiodactyla,Bovidae,24645.75,24.64575,168,14,PanTHERIA_WR05
Gazella spekei,Artiodactyla,Bovidae,20000,20,152.04,12.67,PanTHERIA_WR05
Gazella subgutturosa,Artiodactyla,Bovidae,26981.37,26.98137,240,20,PanTHERIA_WR05
Barbastella barbastellus,Chiroptera,Vespertilionidae,8.31,0.00831,252,21,PanTHERIA_WR05
Bassaricyon gabbii,Carnivora,Procyonidae,1250,1.25,300,25,PanTHERIA_WR05
Bassariscus astutus,Carnivora,Procyonidae,1010.37,1.01037,198,16.5,PanTHERIA_WR05
Bassariscus sumichrasti,Carnivora,Procyonidae,906,0.906,276,23,PanTHERIA_WR05
Bdeogale nigripes,Carnivora,Herpestidae,2623.01,2.62301,190,15.833333,PanTHERIA_WR05
Beatragus hunteri,Artiodactyla,Bovidae,79132.17,79.13217,182.04,15.17,PanTHERIA_WR05
Berardius bairdii,Cetacea,Ziphiidae,11380000,11380,852,71,PanTHERIA_WR05
Berylmys bowersi,Rodentia,Muridae,358.68,0.35868,34.8,2.9,PanTHERIA_WR05
Bettongia gaimardi,Diprotodontia,Potoroidae,1667.55,1.66755,141.6,11.8,PanTHERIA_WR05
Bettongia lesueur,Diprotodontia,Potoroidae,1447.27,1.44727,120,10,PanTHERIA_WR05
Bettongia penicillata,Diprotodontia,Potoroidae,1184.35,1.18435,72,6,PanTHERIA_WR05
Bettongia tropica,Diprotodontia,Potoroidae,1256.58,1.25658,84,7,PanTHERIA_WR05
Bradypus torquatus,Pilosa,Bradypodidae,4468.42,4.46842,144,12,PanTHERIA_WR05
Bubalus bubalis,Artiodactyla,Bovidae,929500.97,929.50097,339,28.25,PanTHERIA_WR05
Bubalus depressicornis,Artiodactyla,Bovidae,256989.27,256.98927,432.96,36.08,PanTHERIA_WR05
Bubalus mindorensis,Artiodactyla,Bovidae,254389.74,254.38974,336,28,PanTHERIA_WR05
Bubalus quarlesi,Artiodactyla,Bovidae,181718.86,181.71886,270,22.5,PanTHERIA_WR05
Budorcas taxicolor,Artiodactyla,Bovidae,294515.33,294.51533,234.96,19.58,PanTHERIA_WR05
Chinchilla chinchilla,Rodentia,Chinchillidae,499.99,0.49999,120,10,PanTHERIA_WR05
Chinchilla lanigera,Rodentia,Chinchillidae,480.28,0.48028,135.6,11.3,PanTHERIA_WR05
Chironectes minimus,Didelphimorphia,Didelphidae,974.33,0.97433,36,3,PanTHERIA_WR05
Chiropotes albinasus,Primates,Pitheciidae,2793.21,2.79321,204,17,PanTHERIA_WR05
Chiropotes satanas,Primates,Pitheciidae,2967.27,2.96727,216,18,PanTHERIA_WR05
Chlorocebus aethiops,Primates,Cercopithecidae,3695.99,3.69599,379.2,31.6,PanTHERIA_WR05
Burramys parvus,Diprotodontia,Burramyidae,44.27,0.04427,144,12,PanTHERIA_WR05
Cacajao calvus,Primates,Pitheciidae,3421.04,3.42104,324,27,PanTHERIA_WR05
Cacajao melanocephalus,Primates,Pitheciidae,3121.58,3.12158,216,18,PanTHERIA_WR05
Capra nubiana,Artiodactyla,Bovidae,47763.72,47.76372,204,17,PanTHERIA_WR05
Capra pyrenaica,Artiodactyla,Bovidae,60898.77,60.89877,192,16,PanTHERIA_WR05
Capra sibirica,Artiodactyla,Bovidae,130000,130,267,22.25,PanTHERIA_WR05
Capreolus capreolus,Artiodactyla,Cervidae,22502.01,22.50201,204,17,PanTHERIA_WR05
Capricornis crispus,Artiodactyla,Bovidae,43030.64,43.03064,222.96,18.58,PanTHERIA_WR05
Capricornis sumatraensis,Artiodactyla,Bovidae,110942.22,110.94222,252,21,PanTHERIA_WR05
Capromys pilorides,Rodentia,Capromyidae,5200,5.2,136,11.333333,PanTHERIA_WR05
Caracal caracal,Carnivora,Felidae,11964.38,11.96438,204,17,PanTHERIA_WR05
Carollia perspicillata,Chiroptera,Phyllostomidae,19.23,0.01923,148.8,12.4,PanTHERIA_WR05
Castor canadensis,Rodentia,Castoridae,18124.41,18.12441,180,15,PanTHERIA_WR05
Castor fiber,Rodentia,Castoridae,19000,19,300,25,PanTHERIA_WR05
Catagonus wagneri,Artiodactyla,Tayassuidae,35566.4,35.5664,108,9,PanTHERIA_WR05
Catopuma temminckii,Carnivora,Felidae,7726.46,7.72646,216,18,PanTHERIA_WR05
Cavia porcellus,Rodentia,Caviidae,727.99,0.72799,177.6,14.8,PanTHERIA_WR05
Cebus albifrons,Primates,Cebidae,2509.68,2.50968,528,44,PanTHERIA_WR05
Cebus apella,Primates,Cebidae,2758.38,2.75838,541.2,45.1,PanTHERIA_WR05
Cebus capucinus,Primates,Cebidae,3005.99,3.00599,657.6,54.8,PanTHERIA_WR05
Cebus olivaceus,Primates,Cebidae,2787.64,2.78764,492,41,PanTHERIA_WR05
Cephalophus adersi,Artiodactyla,Bovidae,9249.95,9.24995,48.96,4.08,PanTHERIA_WR05
Crocidura leucodon,Soricomorpha,Soricidae,10.88,0.01088,36,3,PanTHERIA_WR05
Cheirogaleus major,Primates,Cheirogaleidae,446.02,0.44602,180,15,PanTHERIA_WR05
Cheirogaleus medius,Primates,Cheirogaleidae,196.76,0.19676,231.6,19.3,PanTHERIA_WR05
Choloepus didactylus,Pilosa,Megalonychidae,6646.5,6.6465,333.6,27.8,PanTHERIA_WR05
Choloepus hoffmanni,Pilosa,Megalonychidae,5893.5,5.8935,385.2,32.1,PanTHERIA_WR05
Chrysocyon brachyurus,Carnivora,Canidae,23325,23.325,180,15,PanTHERIA_WR05
Chrysospalax trevelyani,Afrosoricida,Chrysochloridae,434.04,0.43404,48,4,PanTHERIA_WR05
Civettictis civetta,Carnivora,Viverridae,12075.58,12.07558,336,28,PanTHERIA_WR05
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,4.1162,207.6,17.3,PanTHERIA_WR05
Colobus guereza,Primates,Cercopithecidae,9925.88,9.92588,294,24.5,PanTHERIA_WR05
Colobus polykomos,Primates,Cercopithecidae,8797.29,8.79729,366,30.5,PanTHERIA_WR05
Colomys goslingi,Rodentia,Muridae,62.5,0.0625,36,3,PanTHERIA_WR05
Condylura cristata,Soricomorpha,Talpidae,48.15,0.04815,36,3,PanTHERIA_WR05
Conepatus leuconotus,Carnivora,Mephitidae,3293.91,3.29391,84,7,PanTHERIA_WR05
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,156.54753,240,20,PanTHERIA_WR05
Dasyprocta leporina,Rodentia,Dasyproctidae,3009.99,3.00999,213.6,17.8,PanTHERIA_WR05
Dasyprocta punctata,Rodentia,Dasyproctidae,2309.12,2.30912,120,10,PanTHERIA_WR05
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,3.94901,180,15,PanTHERIA_WR05
Euoticus elegantulus,Primates,Galagidae,295.48,0.29548,180,15,PanTHERIA_WR05
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,4.73116,225.96,18.83,PanTHERIA_WR05
Euroscaptor micrura,Soricomorpha,Talpidae,60.46,0.06046,36,3,PanTHERIA_WR05
Euroscaptor mizura,Soricomorpha,Talpidae,25.05,0.02505,36,3,PanTHERIA_WR05
Connochaetes taurinus,Artiodactyla,Bovidae,198619.68,198.61968,258,21.5,PanTHERIA_WR05
Corynorhinus rafinesquii,Chiroptera,Vespertilionidae,9.15,0.00915,121.2,10.1,PanTHERIA_WR05
Corynorhinus townsendii,Chiroptera,Vespertilionidae,10.3,0.0103,254,21.166667,PanTHERIA_WR05
Cratogeomys castanops,Rodentia,Geomyidae,266.83,0.26683,56.4,4.7,PanTHERIA_WR05
Crocuta crocuta,Carnivora,Hyaenidae,63369.98,63.36998,493.2,41.1,PanTHERIA_WR05
Crossarchus obscurus,Carnivora,Herpestidae,1395.09,1.39509,108,9,PanTHERIA_WR05
Cryptoprocta ferox,Carnivora,Eupleridae,9500,9.5,240,20,PanTHERIA_WR05
Cryptotis parva,Soricomorpha,Soricidae,4.97,0.00497,21,1.75,PanTHERIA_WR05
Ctenodactylus vali,Rodentia,Ctenodactylidae,173.6,0.1736,60,5,PanTHERIA_WR05
Ctenomys talarum,Rodentia,Ctenomyidae,140.84,0.14084,36,3,PanTHERIA_WR05
Cuniculus paca,Rodentia,Cuniculidae,8172.55,8.17255,192,16,PanTHERIA_WR05
Cuon alpinus,Carnivora,Canidae,15800,15.8,192,16,PanTHERIA_WR05
Cyclopes didactylus,Pilosa,Cyclopedidae,263.95,0.26395,27.6,2.3,PanTHERIA_WR05
Cynictis penicillata,Carnivora,Herpestidae,694.41,0.69441,182.4,15.2,PanTHERIA_WR05
Cynogale bennettii,Carnivora,Viverridae,4246.57,4.24657,60,5,PanTHERIA_WR05
Cynomys ludovicianus,Rodentia,Sciuridae,797.05,0.79705,102,8.5,PanTHERIA_WR05
Cynopterus brachyotis,Chiroptera,Pteropodidae,33.87,0.03387,96,8,PanTHERIA_WR05
Cystophora cristata,Carnivora,Phocidae,278896.81,278.89681,420,35,PanTHERIA_WR05
Dactylopsila trivirgata,Diprotodontia,Petauridae,413.41,0.41341,115,9.5833333,PanTHERIA_WR05
Dama dama,Artiodactyla,Cervidae,57224.61,57.22461,300,25,PanTHERIA_WR05
Damaliscus korrigum,Artiodactyla,Bovidae,127194.87,127.19487,150.96,12.58,PanTHERIA_WR05
Damaliscus lunatus,Artiodactyla,Bovidae,136000.33,136.00033,216,18,PanTHERIA_WR05
Damaliscus pygargus,Artiodactyla,Bovidae,77784.55,77.78455,260.04,21.67,PanTHERIA_WR05
Dasycercus cristicauda,Dasyuromorphia,Dasyuridae,99.54,0.09954,84,7,PanTHERIA_WR05
Dasykaluta rosamondae,Dasyuromorphia,Dasyuridae,32.17,0.03217,36,3,PanTHERIA_WR05
Dasyuroides byrnei,Dasyuromorphia,Dasyuridae,109.47,0.10947,84,7,PanTHERIA_WR05
Dasyurus albopunctatus,Dasyuromorphia,Dasyuridae,603.48,0.60348,36,3,PanTHERIA_WR05
Dasyurus geoffroii,Dasyuromorphia,Dasyuridae,1106.62,1.10662,60,5,PanTHERIA_WR05
Dasyurus hallucatus,Dasyuromorphia,Dasyuridae,470.92,0.47092,34.8,2.9,PanTHERIA_WR05
Dasyurus maculatus,Dasyuromorphia,Dasyuridae,3284.15,3.28415,60,5,PanTHERIA_WR05
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae,1101.49,1.10149,81.6,6.8,PanTHERIA_WR05
Daubentonia madagascariensis,Primates,Daubentoniidae,2731.37,2.73137,291.6,24.3,PanTHERIA_WR05
Delanymys brooksi,Rodentia,Nesomyidae,4.99,0.00499,24,2,PanTHERIA_WR05
Dipodomys heermanni,Rodentia,Heteromyidae,63.08,0.06308,28.8,2.4,PanTHERIA_WR05
Dipodomys merriami,Rodentia,Heteromyidae,37.91,0.03791,24,2,PanTHERIA_WR05
Dipodomys ordii,Rodentia,Heteromyidae,50.4,0.0504,117.6,9.8,PanTHERIA_WR05
Dipodomys spectabilis,Rodentia,Heteromyidae,124.61,0.12461,36,3,PanTHERIA_WR05
Distoechurus pennatus,Diprotodontia,Acrobatidae,52.74,0.05274,24,2,PanTHERIA_WR05
Dolichotis patagonum,Rodentia,Caviidae,8000,8,168,14,PanTHERIA_WR05
Dorcatragus megalotis,Artiodactyla,Bovidae,10918.12,10.91812,168,14,PanTHERIA_WR05
Dorcopsis atrata,Diprotodontia,Macropodidae,6198.87,6.19887,96,8,PanTHERIA_WR05
Dorcopsis luctuosa,Diprotodontia,Macropodidae,4939.56,4.93956,96,8,PanTHERIA_WR05
Dorcopsis muelleri,Diprotodontia,Macropodidae,5370.79,5.37079,91.2,7.6,PanTHERIA_WR05
Dremomys lokriah,Rodentia,Sciuridae,226.99,0.22699,85.2,7.1,PanTHERIA_WR05
Dromiciops gliroides,Microbiotheria,Microbiotheriidae,25,0.025,38.4,3.2,PanTHERIA_WR05
Dryomys nitedula,Rodentia,Gliridae,29.5,0.0295,48,4,PanTHERIA_WR05
Dugong dugon,Sirenia,Dugongidae,295000,295,840,70,PanTHERIA_WR05
Echinops telfairi,Afrosoricida,Tenrecidae,152.25,0.15225,156,13,PanTHERIA_WR05
Echinosorex gymnura,Erinaceomorpha,Erinaceidae,756.53,0.75653,84,7,PanTHERIA_WR05
Echymipera rufescens,Peramelemorphia,Peramelidae,1051.48,1.05148,34.8,2.9,PanTHERIA_WR05
Eidolon dupreanum,Chiroptera,Pteropodidae,297.58,0.29758,240,20,PanTHERIA_WR05
Eidolon helvum,Chiroptera,Pteropodidae,254.61,0.25461,261.99,21.8325,PanTHERIA_WR05
Eira barbara,Carnivora,Mustelidae,4134.99,4.13499,216,18,PanTHERIA_WR05
Elaphurus davidianus,Artiodactyla,Cervidae,165989.17,165.98917,279.6,23.3,PanTHERIA_WR05
Enhydra lutris,Carnivora,Mustelidae,27410.93,27.41093,360,30,PanTHERIA_WR05
Eonycteris spelaea,Chiroptera,Pteropodidae,58.7,0.0587,60,5,PanTHERIA_WR05
Eptesicus fuscus,Chiroptera,Vespertilionidae,17.49,0.01749,240,20,PanTHERIA_WR05
Genetta tigrina,Carnivora,Viverridae,2066.57,2.06657,180,15,PanTHERIA_WR05
Geocapromys brownii,Rodentia,Capromyidae,1497.48,1.49748,99.6,8.3,PanTHERIA_WR05
Geocapromys ingrahami,Rodentia,Capromyidae,733.52,0.73352,72,6,PanTHERIA_WR05
Geomys bursarius,Rodentia,Geomyidae,203.75,0.20375,86.4,7.2,PanTHERIA_WR05
Geomys tropicalis,Rodentia,Geomyidae,349.99,0.34999,84,7,PanTHERIA_WR05
Georychus capensis,Rodentia,Bathyergidae,188.36,0.18836,36,3,PanTHERIA_WR05
Eschrichtius robustus,Cetacea,Eschrichtiidae,27324024,27324.024,924,77,PanTHERIA_WR05
Eudorcas rufifrons,Artiodactyla,Bovidae,26999.77,26.99977,162,13.5,PanTHERIA_WR05
Felis catus,Carnivora,Felidae,2884.8,2.8848,408,34,PanTHERIA_WR05
Felis chaus,Carnivora,Felidae,7157.99,7.15799,144,12,PanTHERIA_WR05
Felis nigripes,Carnivora,Felidae,1362.77,1.36277,144,12,PanTHERIA_WR05
Gulo gulo,Carnivora,Mustelidae,12792.49,12.79249,216,18,PanTHERIA_WR05
Gymnobelideus leadbeateri,Diprotodontia,Petauridae,137.32,0.13732,132,11,PanTHERIA_WR05
Halichoerus grypus,Carnivora,Phocidae,197570.01,197.57001,560.07,46.6725,PanTHERIA_WR05
Hapalemur griseus,Primates,Lemuridae,916,0.916,205.2,17.1,PanTHERIA_WR05
Haplonycteris fischeri,Chiroptera,Pteropodidae,18.25,0.01825,120,10,PanTHERIA_WR05
Helarctos malayanus,Carnivora,Ursidae,57075.78,57.07578,297.6,24.8,PanTHERIA_WR05
Heliophobius argenteocinereus,Rodentia,Bathyergidae,159.46,0.15946,37.2,3.1,PanTHERIA_WR05
Herpestes ichneumon,Carnivora,Herpestidae,2980.02,2.98002,240,20,PanTHERIA_WR05
Herpestes javanicus,Carnivora,Herpestidae,750,0.75,120,10,PanTHERIA_WR05
Herpestes urva,Carnivora,Herpestidae,2384.19,2.38419,160,13.333333,PanTHERIA_WR05
Felis silvestris,Carnivora,Felidae,4573.08,4.57308,336,28,PanTHERIA_WR05
Fossa fossana,Carnivora,Eupleridae,1853.98,1.85398,132,11,PanTHERIA_WR05
Funisciurus congicus,Rodentia,Sciuridae,112,0.112,114,9.5,PanTHERIA_WR05
Galago alleni,Primates,Galagidae,266.03,0.26603,144,12,PanTHERIA_WR05
Galago demidoff,Primates,Galagidae,66.04,0.06604,168,14,PanTHERIA_WR05
Galago moholi,Primates,Galagidae,191.96,0.19196,198,16.5,PanTHERIA_WR05
Galago senegalensis,Primates,Galagidae,215.2,0.2152,204,17,PanTHERIA_WR05
Gerbillus pyramidum,Rodentia,Muridae,42.8,0.0428,98.4,8.2,PanTHERIA_WR05
Giraffa camelopardalis,Artiodactyla,Giraffidae,964654.73,964.65473,435.6,36.3,PanTHERIA_WR05
Glaucomys sabrinus,Rodentia,Sciuridae,137.53,0.13753,156,13,PanTHERIA_WR05
Glaucomys volans,Rodentia,Sciuridae,71.9,0.0719,144,12,PanTHERIA_WR05
Glis glis,Rodentia,Gliridae,128.09,0.12809,108,9,PanTHERIA_WR05
Globicephala macrorhynchus,Cetacea,Delphinidae,725999.99,725.99999,756,63,PanTHERIA_WR05
Globicephala melas,Cetacea,Delphinidae,800000,800,540,45,PanTHERIA_WR05
Glossophaga soricina,Chiroptera,Phyllostomidae,9.97,0.00997,120,10,PanTHERIA_WR05
Gorilla gorilla,Primates,Hominidae,112588.99,112.58899,648,54,PanTHERIA_WR05
Grampus griseus,Cetacea,Delphinidae,387500,387.5,240,20,PanTHERIA_WR05
Graphiurus murinus,Rodentia,Gliridae,20.07,0.02007,69.6,5.8,PanTHERIA_WR05
Grammomys dolichurus,Rodentia,Muridae,41.85,0.04185,52.8,4.4,PanTHERIA_WR05
Jaculus jaculus,Rodentia,Dipodidae,59.8,0.0598,72,6,PanTHERIA_WR05
Kannabateomys amblyonyx,Rodentia,Echimyidae,599.99,0.59999,19.2,1.6,PanTHERIA_WR05
Heliosciurus rufobrachium,Rodentia,Sciuridae,332.88,0.33288,106.8,8.9,PanTHERIA_WR05
Helogale parvula,Carnivora,Herpestidae,281.83,0.28183,131,10.916667,PanTHERIA_WR05
Hemibelideus lemuroides,Diprotodontia,Pseudocheiridae,993.59,0.99359,48,4,PanTHERIA_WR05
Hemicentetes nigriceps,Afrosoricida,Tenrecidae,102.99,0.10299,31.2,2.6,PanTHERIA_WR05
Hemicentetes semispinosus,Afrosoricida,Tenrecidae,134,0.134,32.4,2.7,PanTHERIA_WR05
Hemiechinus auritus,Erinaceomorpha,Erinaceidae,322.04,0.32204,81.6,6.8,PanTHERIA_WR05
Hemigalus derbyanus,Carnivora,Viverridae,1262.7,1.2627,144,12,PanTHERIA_WR05
Hemitragus hylocrius,Artiodactyla,Bovidae,74186.41,74.18641,207,17.25,PanTHERIA_WR05
Hemitragus jayakari,Artiodactyla,Bovidae,22210.18,22.21018,168,14,PanTHERIA_WR05
Hemitragus jemlahicus,Artiodactyla,Bovidae,68616.43,68.61643,261.6,21.8,PanTHERIA_WR05
Hexaprotodon liberiensis,Artiodactyla,Hippopotamidae,235001.16,235.00116,525.6,43.8,PanTHERIA_WR05
Hippocamelus antisensis,Artiodactyla,Cervidae,68599.35,68.59935,127.2,10.6,PanTHERIA_WR05
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,1536310.4,1536.3104,654,54.5,PanTHERIA_WR05
Hipposideros fulvus,Chiroptera,Hipposideridae,8.83,0.00883,144,12,PanTHERIA_WR05
Hippotragus equinus,Artiodactyla,Bovidae,264173.96,264.17396,240,20,PanTHERIA_WR05
